Texas,Louisiana,Washington,New Jersey,Arkansas,Montana,North Dakota,Nebraska,New Mexico,Indiana,California,Ohio,South Carolina,Rhode Island,Michigan,Georgia,Wyoming,New Hampshire,Maryland,Mississippi,Connecticut,West Virginia,Iowa,Illinois,Vermont,Tennessee,Missouri,Wisconsin,North Carolina,Pennsylvania,Kentucky,Delaware,Kansas,Oregon,Massachusetts,Alabama,Arizona,Minnesota,Maine,Nevada,Idaho,Utah,Virginia,New York,Oklahoma,South Dakota,Colorado
0,2.06514,2.28108,0.510041,2.31534,0.696056,0.0371195,0.671355,2.19978,2.13191,0.518962,1.95412,0.228257,0.446127,0.235036,0.671831,1.6049,0.632911,0.0759301,1.3192,2.9098,0.0783085,1.59741,0.563063,1.28205,1.47641,0.274655,1.10176,0.465022,0.53143,0.703292,0.142932,0.100125,0.442227,0.551334,0.604621,2.13477,0.674721,0.5748,0.357724,1.66683,0.414938,0.747696,1.14343,0.26299,0.624179,1.10275,0.660684
1,2.09394,2.04776,1.04007,2.47836,0.674157,0.180963,0.721961,2.73532,1.9635,0.653137,2.15266,0.361628,0.765523,0.201545,0.585011,1.71307,0.440621,0.0924642,2.09879,2.97075,0.238095,1.58968,0.860956,1.45089,1.35777,0.499492,0.930521,0.581832,0.53653,0.910726,0.223975,0.36855,0.57749,0.624076,0.887866,2.05999,0.749939,0.541293,0.434855,1.63633,1.45798,0.410939,1.23653,0.369729,0.958678,0.793794,0.628621
2,2.10072,2.42974,0.904393,2.24812,0.514217,0.185874,0.567477,3.31103,1.67486,0.584346,2.24173,0.52356,0.38943,0.362845,0.524238,2.01249,0.441798,0.29361,1.45439,2.98141,0.374158,1.52672,0.407,1.56607,1.48221,0.49955,0.98989,1.18822,0.457107,0.881081,0.156152,0.337025,0.47975,0.484848,0.744806,1.94224,0.953365,0.521162,0.421743,1.5086,1.40814,0.440583,1.22545,0.362121,2.07039,0.791023,0.80402
3,2.20655,1.92854,0.95511,2.79286,0.41365,0.0363901,0.339239,2.05761,2.35498,0.581084,1.91748,0.329518,0.418354,0.322675,0.921435,2.38747,0.490305,0.178795,1.26769,3.14804,0.333542,1.81171,0.183225,1.45762,1.44393,0.401638,0.959713,1.01049,0.511163,0.72118,0.150108,0.460494,0.538071,0.751771,0.783721,2.2765,0.888804,0.637716,0.338409,2.14451,1.28007,0.755957,1.26902,0.358981,1.67073,0.801311,0.909658
4,2.36381,2.80934,0.78637,1.82877,1.09028,0.0405186,0.713749,0.376712,2.37983,0.842254,2.52326,0.831798,0.44531,0.530256,0.863417,2.65614,0.566636,0.294372,1.45386,3.3557,0.396743,1.83986,0.35878,1.4893,1.25276,0.528096,1.16768,1.09649,0.649925,0.991455,0.289678,0.222332,0.481289,0.764895,0.812421,2.83371,1.18573,0.805802,0.176471,1.76761,1.82724,0.651859,1.26547,0.527357,1.62845,0.779833,0.971705
5,2.51778,2.08577,1.06724,2.2031,1.19736,0.243902,0.75811,2.96108,2.3776,0.752055,2.74562,0.51801,0.5111,0.477403,0.806639,3.41305,0.463336,0.304414,1.42159,3.93095,0.319562,2.06875,0.41866,1.55392,1.12705,0.593704,1.22374,1.03383,0.476862,1.03377,0.222995,0.79466,0.724993,0.775305,0.732931,3.46224,0.945337,0.82012,0.356622,0.805239,1.49434,0.6639,1.41165,0.504756,2.57453,0.743424,0.719015
6,2.24622,2.81506,1.33132,2.13716,1.55462,0.10993,0.644192,2.42303,2.87842,0.820837,2.81963,0.533199,0.455927,0.504177,0.655481,4.55518,0.744725,0.279281,1.50014,4.46575,0.618847,1.99804,0.484206,1.63242,1.79054,0.676526,1.20367,1.12402,0.484569,0.946337,0.46321,0.390879,0.595801,0.657895,0.803486,3.53248,1.09665,0.702763,0.520341,2.63276,1.95882,0.907845,1.53242,0.503441,3.35068,1.00136,0.696032
7,2.59866,2.92706,1.87333,2.41758,2.02599,0.537057,0.590551,0.614754,2.9782,0.795053,3.16132,0.454502,0.513049,0.67804,0.855178,5.4632,0.500147,0.205181,2.01258,4.83811,0.716612,1.68525,0.533689,1.81669,1.94011,0.821849,1.41407,0.978261,0.63197,1.10846,0.539615,0.503356,0.890511,1.06383,0.958095,4.27655,1.1338,1.10096,0.617566,3.10198,3.06882,0.743569,1.62726,0.54919,2.6523,0.891996,0.754401
8,2.56617,2.66482,0.981767,2.60116,1.39295,0.0380518,0.347088,2.8157,2.8547,0.887189,2.60631,0.349567,0.509782,0.765766,0.564609,3.48178,0.593776,0.138806,1.86342,4.88509,0.442994,1.39059,0.827498,1.62132,1.57528,0.805777,1.56732,1.27081,0.657793,1.20878,0.673462,0.270005,0.719424,0.718276,0.903185,4.44043,1.42227,0.855418,0.347958,2.89043,1.80142,0.838308,1.57146,1.62591,2.14477,1.10714,0.849729
9,2.40335,2.80486,0.96463,2.65371,1.02064,0.0359454,0.23753,2.46212,2.32423,0.949958,3.05613,0.342466,0.484707,0.635497,0.563399,4.48962,0.418323,0.247015,1.55109,5.33836,0.654897,1.58682,0.954329,1.85288,1.15663,1.10577,1.37036,1.27947,0.613611,1.22407,0.598723,0.361156,0.828437,0.980101,0.96749,5.81097,2.14835,0.584334,0.435219,3.28279,1.72267,1.16492,1.69937,2.1629,2.33623,1.16321,0.809504
