,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
beta0[0],-4.789,22.662,-63.115,28.631,6.045,4.367,14.0,14.0,12.0,16.0,1.81
beta0[1],-8.489,35.624,-73.351,68.681,11.557,8.437,10.0,10.0,10.0,10.0,2.24
beta0[2],-2.427,23.377,-29.551,55.504,7.811,5.714,9.0,9.0,10.0,24.0,2.29
beta0[3],5.519,25.079,-34.183,61.897,7.446,5.407,11.0,11.0,11.0,15.0,1.87
beta0[4],5.344,18.078,-25.327,41.949,3.932,2.82,21.0,21.0,15.0,45.0,1.7
beta0[5],-5.826,21.292,-63.0,22.91,7.053,5.156,9.0,9.0,11.0,14.0,2.26
beta0[6],7.934,30.872,-43.353,64.039,9.574,6.969,10.0,10.0,11.0,21.0,2.07
beta0[7],-13.341,19.774,-54.889,20.262,5.963,4.334,11.0,11.0,11.0,24.0,2.11
beta0[8],26.631,25.854,-7.52,78.821,7.537,5.467,12.0,12.0,12.0,26.0,1.77
beta0[9],9.457,29.4,-24.298,84.837,7.717,5.57,15.0,15.0,14.0,31.0,1.63
beta0[10],2.921,28.142,-37.024,66.215,8.555,6.22,11.0,11.0,12.0,22.0,1.98
beta0[11],4.517,18.594,-33.792,43.441,5.903,4.303,10.0,10.0,10.0,14.0,2.33
beta0[12],-0.498,17.225,-34.499,27.676,5.819,4.26,9.0,9.0,9.0,12.0,3.21
beta0[13],3.103,9.01,-15.762,20.832,3.06,2.241,9.0,9.0,9.0,19.0,3.05
beta0[14],18.802,57.033,-79.134,156.193,18.859,13.915,9.0,9.0,10.0,10.0,2.35
beta0[15],-8.327,31.382,-97.435,35.23,9.896,7.211,10.0,10.0,10.0,12.0,2.41
beta0[16],-3.086,13.139,-37.711,13.966,3.877,2.814,11.0,11.0,11.0,16.0,2.11
beta0[17],-10.223,39.944,-118.65,31.796,12.92,9.689,10.0,9.0,13.0,23.0,2.38
beta0[18],-8.528,23.93,-59.898,36.021,5.777,4.219,17.0,17.0,16.0,19.0,1.47
beta0[19],-0.99,47.764,-95.342,107.182,15.227,11.103,10.0,10.0,10.0,11.0,2.7
beta0[20],-2.345,21.693,-36.281,28.696,6.249,4.53,12.0,12.0,12.0,24.0,1.88
beta0[21],3.763,17.286,-21.284,35.211,5.662,4.136,9.0,9.0,10.0,45.0,2.32
beta0[22],1.102,23.654,-42.307,40.993,7.342,5.345,10.0,10.0,11.0,25.0,2.1
beta0[23],0.618,12.595,-24.488,15.911,4.131,3.018,9.0,9.0,11.0,12.0,2.07
beta0[24],0.275,19.896,-31.184,37.393,6.697,4.901,9.0,9.0,9.0,21.0,2.78
beta0[25],-2.881,30.394,-49.675,68.534,8.735,6.332,12.0,12.0,12.0,24.0,2.0
beta0[26],3.237,21.421,-24.698,63.616,6.95,5.073,10.0,10.0,10.0,20.0,2.57
beta0[27],0.826,35.547,-78.938,66.866,10.901,7.93,11.0,11.0,11.0,23.0,2.17
beta0[28],-25.266,35.838,-101.333,40.657,12.157,8.902,9.0,9.0,9.0,10.0,3.28
beta0[29],-11.797,19.783,-45.568,8.39,5.009,3.611,16.0,16.0,12.0,34.0,1.99
beta0[30],-10.601,15.517,-45.092,5.279,4.866,3.545,10.0,10.0,10.0,19.0,2.28
beta0[31],7.954,19.282,-28.595,43.04,3.341,2.383,33.0,33.0,21.0,44.0,1.47
beta0[32],6.556,27.268,-39.999,54.45,9.253,6.776,9.0,9.0,9.0,10.0,3.28
beta0[33],-7.26,28.706,-68.727,31.408,7.237,5.215,16.0,16.0,13.0,32.0,1.7
beta0[34],-7.65,38.936,-122.028,46.813,12.764,9.325,9.0,9.0,9.0,16.0,2.7
beta0[35],7.017,34.985,-47.098,75.552,9.686,7.008,13.0,13.0,14.0,56.0,1.57
beta0[36],8.255,32.271,-37.718,92.005,9.069,6.566,13.0,13.0,15.0,25.0,1.9
beta0[37],-5.632,23.265,-44.662,45.242,7.594,5.546,9.0,9.0,10.0,23.0,2.58
beta0[38],8.332,28.938,-47.036,65.032,6.68,4.799,19.0,19.0,17.0,40.0,1.67
beta0[39],8.154,19.642,-32.126,42.197,5.818,4.224,11.0,11.0,11.0,19.0,1.87
beta0[40],-4.948,22.782,-70.681,31.981,7.252,5.412,10.0,9.0,11.0,10.0,2.03
beta0[41],-15.223,29.189,-91.441,35.805,7.115,5.595,17.0,14.0,16.0,17.0,1.54
beta0[42],-4.623,31.206,-67.076,53.965,10.218,7.464,9.0,9.0,9.0,14.0,2.64
beta0[43],3.785,21.882,-42.324,50.311,6.606,4.801,11.0,11.0,11.0,14.0,2.12
