time,wili
2010-40,2.13477
2010-41,2.05999
2010-42,1.94224
2010-43,2.2765
2010-44,2.83371
2010-45,3.46224
2010-46,3.53248
2010-47,4.27655
2010-48,4.44043
2010-49,5.81097
2010-50,10.4359
2010-51,13.0878
2010-52,11.6592
2011-1,9.73755
2011-2,11.944
2011-3,13.1063
2011-4,14.7376
2011-5,12.5984
2011-6,11.5078
2011-7,11.9696
2011-8,9.67196
2011-9,6.80203
2011-10,5.82572
2011-11,4.04606
2011-12,3.43834
2011-13,3.17374
2011-14,2.74659
2011-15,2.67592
2011-16,2.76866
2011-17,3.28311
2011-18,3.00455
2011-19,2.64628
2011-20,2.46441
2011-21,2.72831
2011-22,2.54511
2011-23,2.38925
2011-24,2.51859
2011-25,1.79372
2011-26,2.36038
2011-27,1.84216
2011-28,1.88256
2011-29,1.3618
2011-30,1.3122
2011-31,0.340219
2011-32,1.79206
2011-33,2.1645
2011-34,2.3037
2011-35,2.34438
2011-36,3.44828
2011-37,3.55951
2011-38,3.38738
2011-39,3.46445
2011-40,2.49486
2011-41,2.82808
2011-42,3.4254
2011-43,3.83396
2011-44,3.79415
2011-45,4.19269
2011-46,3.28321
2011-47,4.25935
2011-48,3.32254
2011-49,4.55241
2011-50,4.85437
2011-51,5.43074
2011-52,5.80195
2012-1,4.61064
2012-2,4.90335
2012-3,5.7911
2012-4,6.26227
2012-5,6.59096
2012-6,6.43108
2012-7,6.75035
2012-8,6.07355
2012-9,6.24526
2012-10,6.25613
2012-11,5.94763
2012-12,4.58877
2012-13,4.43559
2012-14,3.89306
2012-15,3.75332
2012-16,4.34298
2012-17,4.44388
2012-18,4.74534
2012-19,4.27042
2012-20,5.21549
2012-21,3.83966
2012-22,4.1884
2012-23,4.56501
2012-24,3.64437
2012-25,1.05795
2012-26,3.61162
2012-27,3.61815
2012-28,3.42731
2012-29,3.02515
2012-30,3.19846
2012-31,3.32887
2012-32,2.69509
2012-33,3.37965
2012-34,4.09013
2012-35,4.86064
2012-36,4.88327
2012-37,5.23432
2012-38,4.4622
2012-39,4.94924
2012-40,1.49404
2012-41,1.98826
2012-42,1.70858
2012-43,1.564
2012-44,1.71254
2012-45,2.11597
2012-46,3.00274
2012-47,5.24099
2012-48,5.29602
2012-49,8.76414
2012-50,9.77209
2012-51,10.3316
2012-52,12.1174
2013-1,7.66104
2013-2,7.4161
2013-3,5.90845
2013-4,4.76343
2013-5,4.46756
2013-6,3.86127
2013-7,4.12844
2013-8,3.0586
2013-9,3.39632
2013-10,3.19473
2013-11,3.33361
2013-12,3.89456
2013-13,2.08523
2013-14,1.90824
2013-15,1.19202
2013-16,1.10686
2013-17,0.660815
2013-18,0.739447
2013-19,0.677577
2013-20,0.597222
2013-21,0.803646
2013-22,0.522759
2013-23,0.382433
2013-24,0.42735
2013-25,0.598395
2013-26,0.396983
2013-27,0.228945
2013-28,0.246689
2013-29,0.285963
2013-30,0.401091
2013-31,0.416287
2013-32,0.318121
2013-33,0.307495
2013-34,0.420382
2013-35,0.449848
2013-36,0.794538
2013-37,0.73914
2013-38,0.665083
2013-39,1.55075
2013-40,1.59044
2013-41,1.71352
2013-42,1.58193
2013-43,3.05901
2013-44,2.89768
2013-45,3.31035
2013-46,3.30741
2013-47,3.76957
2013-48,3.86408
2013-49,5.90269
2013-50,6.3419
2013-51,7.01148
2013-52,7.46047
2014-1,6.91366
2014-2,5.12425
2014-3,4.12286
2014-4,4.90589
2014-5,4.19172
2014-6,3.62115
2014-7,3.06381
2014-8,1.96498
2014-9,2.17243
2014-10,1.99863
2014-11,1.75817
2014-12,1.44337
2014-13,1.40019
2014-14,0.983607
2014-15,0.993455
2014-16,1.3658
2014-17,1.56836
2014-18,1.35659
2014-19,1.45459
2014-20,1.52174
2014-21,1.48944
2014-22,1.12015
2014-23,1.26949
2014-24,1.31662
2014-25,0.935829
2014-26,0.923861
2014-27,0.907477
2014-28,0.728079
2014-29,0.758799
2014-30,0.881921
2014-31,0.648324
2014-32,1.0201
