time,wili
2010-40,0.875146
2010-41,1.12827
2010-42,0.586042
2010-43,0.967742
2010-44,0.683851
2010-45,0.951904
2010-46,0.962567
2010-47,0.652316
2010-48,0.45977
2010-49,0.797721
2010-50,1.05581
2010-51,0.852273
2010-52,1.13086
2011-1,0.592593
2011-2,1.48227
2011-3,1.66821
2011-4,1.40127
2011-5,3.67868
2011-6,1.95891
2011-7,4.4316
2011-8,2.93454
2011-9,4.8801
2011-10,3.53371
2011-11,2.68747
2011-12,3.02457
2011-13,2.14376
2011-14,2.2082
2011-15,1.36504
2011-16,1.4123
2011-17,0.854271
2011-18,0.798122
2011-19,0.359712
2011-20,0.306279
2011-21,0.716846
2011-22,0.366492
2011-23,0.601751
2011-24,0.552486
2011-25,0.764192
2011-26,0.559284
2011-27,0.500835
2011-28,0.668896
2011-29,0.31746
2011-30,0.410678
2011-31,0.369393
2011-32,0.488865
2011-33,0.322754
2011-34,0.165107
2011-35,0.913978
2011-36,0.864865
2011-37,0.98242
2011-38,1.22699
2011-39,1.21644
2011-40,1.64913
2011-41,1.50376
2011-42,0.997817
2011-43,0.87007
2011-44,0.74174
2011-45,1.17426
2011-46,0.510204
2011-47,0.578704
2011-48,0.958313
2011-49,0.703235
2011-50,0.564682
2011-51,0.516529
2011-52,0.662252
2012-1,0.696304
2012-2,0.507042
2012-3,0.763775
2012-4,1.49653
2012-5,0.838415
2012-6,0.615822
2012-7,0.360685
2012-8,0.465983
2012-9,0.84482
2012-10,0.636943
2012-11,1.3312
2012-12,1.1358
2012-13,0.920716
2012-14,1.67877
2012-15,2.32058
2012-16,2.19072
2012-17,1.83076
2012-18,1.8611
2012-19,1.47679
2012-20,1.04216
2012-21,0.753546
2012-22,0.522814
2012-23,0.277316
2012-24,0.339559
2012-25,0.268097
2012-26,0.428036
2012-27,0.380435
2012-28,0.326797
2012-29,0.30426
2012-30,0.292398
2012-31,0.262881
2012-32,0.272035
2012-33,0.0980392
2012-34,0.149775
2012-35,0.150527
2012-36,0.611621
2012-37,0.628627
2012-38,0.229226
2012-39,0.568182
2012-40,1.19893
2012-41,0.847035
2012-42,0.986278
2012-43,1.17493
2012-44,1.37533
2012-45,1.32979
2012-46,1.03704
2012-47,1.66667
2012-48,1.52439
2012-49,1.49953
2012-50,2.81818
2012-51,2.21687
2012-52,4.07855
2013-1,2.16573
2013-2,2.26433
2013-3,2.53279
2013-4,0.979858
2013-5,2.47636
2013-6,1.56726
2013-7,1.04879
2013-8,0.89782
2013-9,1.0296
2013-10,0.57923
2013-11,1.13086
2013-12,1.01351
2013-13,0.91623
2013-14,0.333778
2013-15,0.71475
2013-16,1.31579
2013-17,0.786885
2013-18,0.856164
2013-19,0.17301
2013-20,1.13452
2013-21,0.600109
2013-22,0.163399
2013-23,0.176991
2013-24,0.123839
2013-25,0.0565291
2013-26,0.0001
2013-27,0.0001
2013-28,0.221076
2013-29,0.212314
2013-30,0.163577
2013-31,0.0521376
2013-32,0.361228
2013-33,0.279486
2013-34,0.180505
2013-35,0.234742
2013-36,0.369549
2013-37,0.608519
2013-38,0.894454
2013-39,0.517241
2013-40,0.6238
2013-41,0.838926
2013-42,0.655431
2013-43,0.640732
2013-44,0.457666
2013-45,0.563258
2013-46,0.429185
2013-47,0.439883
2013-48,0.321543
2013-49,0.589181
2013-50,1.38122
2013-51,3.22917
2013-52,5.30883
2014-1,3.92749
2014-2,3.4096
2014-3,2.49351
2014-4,1.85097
2014-5,1.86667
2014-6,1.60976
2014-7,1.71518
2014-8,0.664084
2014-9,0.84246
2014-10,0.942588
2014-11,0.452148
2014-12,0.740096
2014-13,0.92233
2014-14,0.868373
2014-15,0.656234
2014-16,0.848256
2014-17,0.735294
2014-18,0.562527
2014-19,0.858369
2014-20,0.255754
2014-21,1.00182
