time,wili
2010-40,0.674721
2010-41,0.749939
2010-42,0.953365
2010-43,0.888804
2010-44,1.18573
2010-45,0.945337
2010-46,1.09665
2010-47,1.1338
2010-48,1.42227
2010-49,2.14835
2010-50,2.01836
2010-51,2.3027
2010-52,1.51649
2011-1,1.59667
2011-2,1.71146
2011-3,2.38773
2011-4,2.33506
2011-5,2.43798
2011-6,2.77627
2011-7,2.63356
2011-8,2.28608
2011-9,1.71211
2011-10,1.70064
2011-11,1.32819
2011-12,0.996642
2011-13,1.11316
2011-14,0.997526
2011-15,0.895053
2011-16,1.09028
2011-17,0.835587
2011-18,0.772679
2011-19,0.686106
2011-20,0.569434
2011-21,0.555511
2011-22,0.550731
2011-23,0.468237
2011-24,0.392619
2011-25,0.409738
2011-26,0.385402
2011-27,0.469806
2011-28,0.449364
2011-29,0.36858
2011-30,0.328126
2011-31,0.418026
2011-32,0.307596
2011-33,0.436195
2011-34,0.586
2011-35,0.67383
2011-36,0.431582
2011-37,0.498943
2011-38,0.457754
2011-39,0.516018
2011-40,0.697181
2011-41,0.65652
2011-42,0.720644
2011-43,0.819184
2011-44,0.993083
2011-45,0.998739
2011-46,1.20499
2011-47,1.32543
2011-48,1.16257
2011-49,1.13851
2011-50,1.05126
2011-51,1.09834
2011-52,1.36416
2012-1,1.28667
2012-2,1.01845
2012-3,1.09919
2012-4,1.03044
2012-5,1.4499
2012-6,1.39264
2012-7,1.91291
2012-8,1.92211
2012-9,1.83021
2012-10,1.74732
2012-11,1.67984
2012-12,1.69287
2012-13,1.65915
2012-14,1.69054
2012-15,1.57702
2012-16,1.33121
2012-17,1.13843
2012-18,1.17545
2012-19,1.0765
2012-20,1.09432
2012-21,0.918007
2012-22,0.832352
2012-23,0.699726
2012-24,0.797623
2012-25,0.697134
2012-26,0.733859
2012-27,0.545768
2012-28,0.506594
2012-29,0.507653
2012-30,0.623532
2012-31,1.13044
2012-32,1.23854
2012-33,1.10109
2012-34,1.24289
2012-35,1.48956
2012-36,1.26366
2012-37,1.12897
2012-38,1.05352
2012-39,1.03794
2012-40,0.756794
2012-41,0.787402
2012-42,0.977281
2012-43,0.767786
2012-44,1.0733
2012-45,1.10721
2012-46,1.24527
2012-47,1.30998
2012-48,1.0837
2012-49,1.39933
2012-50,1.72026
2012-51,2.05506
2012-52,2.92172
2013-1,3.0312
2013-2,2.82776
2013-3,3.90697
2013-4,5.05778
2013-5,3.63893
2013-6,3.19126
2013-7,3.03784
2013-8,2.4249
2013-9,2.10216
2013-10,1.7443
2013-11,1.55869
2013-12,1.30751
2013-13,0.924276
2013-14,0.971765
2013-15,1.03507
2013-16,0.935564
2013-17,0.959781
2013-18,1.18592
2013-19,0.84028
2013-20,0.800176
2013-21,0.668103
2013-22,0.670314
2013-23,0.717252
2013-24,0.730257
2013-25,0.573628
2013-26,0.578577
2013-27,0.522146
2013-28,0.423953
2013-29,0.466611
2013-30,0.570179
2013-31,0.585106
2013-32,0.773709
2013-33,0.791116
2013-34,0.454139
2013-35,0.773549
2013-36,0.860215
2013-37,0.746062
2013-38,0.784434
2013-39,0.947648
2013-40,0.792311
2013-41,1.00148
2013-42,1.05946
2013-43,0.840393
