time,wili
2010-40,0.696056
2010-41,0.674157
2010-42,0.514217
2010-43,0.41365
2010-44,1.09028
2010-45,1.19736
2010-46,1.55462
2010-47,2.02599
2010-48,1.39295
2010-49,1.02064
2010-50,2.10551
2010-51,3.61163
2010-52,2.5771
2011-1,3.36738
2011-2,4.84672
2011-3,6.77669
2011-4,7.29689
2011-5,6.48838
2011-6,8.08052
2011-7,8.18854
2011-8,6.03429
2011-9,6.93537
2011-10,2.61015
2011-11,3.26913
2011-12,2.31362
2011-13,1.66325
2011-14,0.850906
2011-15,0.438757
2011-16,0.675676
2011-17,0.455754
2011-18,0.630347
2011-19,0.711744
2011-20,0.520382
2011-21,1.03627
2011-22,0.939306
2011-23,0.686642
2011-24,0.926999
2011-25,0.393185
2011-26,0.4329
2011-27,0.260417
2011-28,0.260417
2011-29,0.0001
2011-30,0.127065
2011-31,0.0001
2011-32,0.753012
2011-33,0.380228
2011-34,0.576369
2011-35,0.663507
2011-36,0.914286
2011-37,1.09671
2011-38,0.827206
2011-39,0.498008
2011-40,0.753348
2011-41,0.866406
2011-42,1.30332
2011-43,1.00068
2011-44,1.27136
2011-45,1.37662
2011-46,1.30236
2011-47,1.60684
2011-48,1.8759
2011-49,1.56684
2011-50,1.43531
2011-51,1.94252
2011-52,1.81371
2012-1,1.75685
2012-2,1.83187
2012-3,1.84231
2012-4,2.12689
2012-5,1.37882
2012-6,2.49863
2012-7,2.21891
2012-8,2.59587
2012-9,3.32388
2012-10,4.70283
2012-11,6.04436
2012-12,3.76876
2012-13,1.87587
2012-14,1.44578
2012-15,1.10435
2012-16,0.755996
2012-17,0.808369
2012-18,0.744879
2012-19,1.14943
2012-20,1.05622
2012-21,0.505689
2012-22,0.590967
2012-23,0.0733138
2012-24,0.0001
2012-25,0.160686
2012-26,0.199734
2012-27,0.0001
2012-28,0.0001
2012-29,0.0001
2012-30,0.212917
2012-31,0.806452
2012-32,0.431034
2012-33,0.0001
2012-34,0.0001
2012-35,0.0001
2012-36,0.0001
2012-37,0.0001
2012-38,0.0001
2012-39,0.431034
2012-40,0.471698
2012-41,0.580955
2012-42,0.649734
2012-43,0.94605
2012-44,0.336178
2012-45,0.522689
2012-46,0.558988
2012-47,1.09307
2012-48,1.45013
2012-49,1.74494
2012-50,2.8537
2012-51,5.52285
2012-52,5.8592
2013-1,4.89199
2013-2,5.77181
2013-3,5.90369
2013-4,4.93274
2013-5,3.94113
2013-6,2.82872
2013-7,2.08218
2013-8,1.34731
2013-9,1.46972
2013-10,1.78891
2013-11,1.41136
2013-12,1.34111
2013-13,0.930899
2013-14,0.398248
2013-15,0.518379
2013-16,0.270514
2013-17,0.533175
2013-18,0.265957
2013-19,0.118906
2013-20,0.214823
2013-21,0.0858369
2013-22,0.088968
2013-23,0.0001
2013-24,0.0001
2013-25,0.176523
2013-26,0.499376
2013-27,0.0001
2013-28,0.0001
2013-29,0.203666
2013-30,0.0001
2013-31,0.0915751
2013-32,0.102564
2013-33,0.0865801
2013-34,0.0672043
2013-35,0.0576369
2013-36,0.123153
2013-37,0.220872
2013-38,0.715137
2013-39,0.0001
2013-40,1.63326
2013-41,1.58351
2013-42,1.67325
2013-43,1.7695
2013-44,2.37823
2013-45,1.96604
2013-46,1.76103
2013-47,2.06209
2013-48,2.90023
2013-49,2.79739
2013-50,1.83861
2013-51,3.5453
2013-52,7.82313
2014-1,8.09035
2014-2,6.71369
2014-3,6.18
2014-4,6.45527
2014-5,7.05495
2014-6,5.30612
2014-7,4.12917
2014-8,2.90946
2014-9,2.24778
2014-10,2.30399
2014-11,1.69389
2014-12,1.16215
2014-13,0.817661
2014-14,0.786164
2014-15,0.945626
2014-16,0.672202
2014-17,1.13972
2014-18,1.08032
2014-19,0.787402
2014-20,1.57658
2014-21,0.627615
2014-22,0.602007
2014-23,0.134048
2014-24,0.370142
2014-25,0.15456
2014-26,0.151286
2014-27,0.178571
2014-28,0.42735
2014-29,0.255428
2014-30,0.139276
2014-31,0.0001
2014-32,0.294985
2014-33,0.125313
2014-34,0.0001
2014-35,0.144823
2014-36,0.242522
2014-37,0.209205
2014-38,0.2079
2014-39,0.144718
2014-40,1.07239
2014-41,1.24595
2014-42,1.21241
2014-43,1.44473
2014-44,1.46085
2014-45,1.64339
2014-46,1.53528
2014-47,1.44857
2014-48,1.72964
2014-49,2.52893
2014-50,4.4004
2014-51,8.46911
2014-52,10.5263
2015-1,5.00131
2015-2,5.29005
2015-3,7.43509
2015-4,7.92445
2015-5,7.30102
2015-6,6.58605
2015-7,5.82108
2015-8,5.44362
2015-9,3.47714
2015-10,4.51475
2015-11,3.46331
2015-12,3.08406
2015-13,2.43525
2015-14,1.73516
2015-15,1.37409
2015-16,1.06967
2015-17,0.90527
2015-18,0.731198
2015-19,0.498132
2015-20,0.476872
2015-21,0.396629
2015-22,0.75067
2015-23,0.736016
2015-24,0.55332
2015-25,0.708144
2015-26,0.180668
2015-27,0.111235
2015-28,0.712468
2015-29,0.326797
2015-30,0.309917
2015-31,0.195886
2015-32,0.168634
2015-33,0.114811
2015-34,0.0792393
2015-35,0.186451
2015-36,0.243309
2015-37,0.346741
2015-38,0.172712
2015-39,0.309215
2015-40,0.2574
2015-41,1.14799
2015-42,0.863984
2015-43,0.997208
2015-44,0.845899
2015-45,0.967296
2015-46,1.07014
2015-47,1.25613
2015-48,1.21043
2015-49,1.0763
2015-50,1.32599
2015-51,1.29193
2015-52,1.57804
2015-53,1.34382
2016-1,1.24318
2016-2,1.63324
2016-3,1.72027
2016-4,2.21743
2016-5,2.07073
2016-6,2.53538
2016-7,2.69906
2016-8,3.17365
2016-9,4.87194
2016-10,5.62608
2016-11,4.29502
2016-12,3.59551
2016-13,3.22581
2016-14,2.81646
2016-15,3.6989
2016-16,3.62797
2016-17,1.98698
2016-18,2.99667
2016-19,2.23945
2016-20,1.45472
2016-21,0.389864
2016-22,0.0001
2016-23,0.218579
2016-24,0.194742
2016-25,0.0001
2016-26,0.0993049
2016-27,0.330396
2016-28,0.298805
2016-29,0.111235
2016-30,0.320513
2016-31,0.318979
2016-32,0.437318
2016-33,0.182815
2016-34,0.0001
2016-35,0.150038
2016-36,0.242131
2016-37,0.970874
2016-38,0.341064
2016-39,0.326442
2016-40,0.917431
2016-41,0.815935
2016-42,0.997783
2016-43,1.19597
2016-44,1.32564
2016-45,1.64953
2016-46,1.76317
2016-47,1.63339
2016-48,1.32763
2016-49,1.31547
2016-50,1.95973
2016-51,1.61128
2016-52,2.30608
2017-1,1.92242
2017-2,2.39415
2017-3,3.08824
2017-4,4.0372
2017-5,6.71024
2017-6,9.78239
2017-7,9.19692
2017-8,7.89474
2017-9,4.47866
2017-10,4.59387
2017-11,3.55401
2017-12,3.99485
2017-13,2.73072
2017-14,2.15995
2017-15,2.01602
2017-16,1.5602
2017-17,1.36827
2017-18,1.87861
2017-19,0.960549
2017-20,1.35482
2017-21,1.20265
2017-22,0.77837
2017-23,0.527108
2017-24,0.536481
2017-25,0.63762
2017-26,0.686106
2017-27,0.257898
2017-28,0.537057
2017-29,0.605394
2017-30,0.260688
2017-31,0.519211
2017-32,0.394997
2017-33,0.0001
2017-34,1.0453
2017-35,1.5002
2017-36,0.815101
2017-37,0.88856
2017-38,0.64836
2017-39,1.06829
2017-40,0.812294
2017-41,1.09866
2017-42,0.788999
2017-43,1.35109
2017-44,1.18
2017-45,1.19928
2017-46,2.12528
2017-47,1.70636
2017-48,2.55597
2017-49,3.69318
2017-50,5.11499
2017-51,9.77581
2017-52,10.9495
2018-1,7.69231
2018-2,10.1826
2018-3,9.54877
2018-4,8.6248
2018-5,11.0532
