time,wili
2010-40,1.95412
2010-41,2.15266
2010-42,2.24173
2010-43,1.91748
2010-44,2.52326
2010-45,2.74562
2010-46,2.81963
2010-47,3.16132
2010-48,2.60631
2010-49,3.05613
2010-50,3.6598
2010-51,4.62077
2010-52,4.6895
2011-1,3.56213
2011-2,3.79325
2011-3,4.02689
2011-4,4.60501
2011-5,4.33983
2011-6,4.88711
2011-7,5.07162
2011-8,5.17402
2011-9,5.00087
2011-10,4.69447
2011-11,4.4379
2011-12,3.29703
2011-13,3.2
2011-14,2.64683
2011-15,2.57193
2011-16,2.24199
2011-17,2.34436
2011-18,2.14632
2011-19,2.05279
2011-20,2.13285
2011-21,2.10667
2011-22,2.5765
2011-23,2.26424
2011-24,1.84762
2011-25,1.73298
2011-26,1.67684
2011-27,1.68774
2011-28,1.60432
2011-29,1.45437
2011-30,1.35141
2011-31,0.553292
2011-32,1.35688
2011-33,1.1637
2011-34,1.34833
2011-35,1.47857
2011-36,1.60215
2011-37,1.74891
2011-38,1.75994
2011-39,1.84745
2011-40,1.80295
2011-41,2.06534
2011-42,2.38294
2011-43,2.29128
2011-44,2.48358
2011-45,2.1744
2011-46,2.6274
2011-47,2.51216
2011-48,1.6858
2011-49,2.7037
2011-50,3.02135
2011-51,3.60781
2011-52,4.3531
2012-1,3.50589
2012-2,2.94298
2012-3,2.73705
2012-4,3.53247
2012-5,3.85357
2012-6,3.29788
2012-7,3.57343
2012-8,4.20562
2012-9,3.54025
2012-10,2.69266
2012-11,3.12447
2012-12,2.83205
2012-13,3.89886
2012-14,2.99164
2012-15,2.87193
2012-16,2.15102
2012-17,2.15365
2012-18,2.36106
2012-19,2.17778
2012-20,2.04531
2012-21,2.22589
2012-22,2.21439
2012-23,2.01533
2012-24,1.81274
2012-25,2.03814
2012-26,1.875
2012-27,1.93357
2012-28,1.82661
2012-29,1.69307
2012-30,1.68499
2012-31,1.75422
2012-32,1.61435
2012-33,1.07686
2012-34,1.88368
2012-35,2.0159
2012-36,2.3227
2012-37,2.2445
2012-38,2.43955
2012-39,2.40973
2012-40,2.10133
2012-41,2.26502
2012-42,2.35697
2012-43,2.37177
2012-44,2.45736
2012-45,2.56157
2012-46,2.51209
2012-47,2.73042
2012-48,2.56313
2012-49,2.45937
2012-50,2.70899
2012-51,3.37338
2012-52,5.49621
2013-1,3.62306
2013-2,3.7083
2013-3,4.98923
2013-4,5.83965
2013-5,6.10146
2013-6,5.4357
2013-7,4.86921
2013-8,4.14831
2013-9,3.70949
2013-10,3.98337
2013-11,3.45064
2013-12,3.237
2013-13,2.96289
2013-14,2.50403
2013-15,1.97829
2013-16,1.82625
2013-17,1.7337
2013-18,1.6856
2013-19,1.62542
2013-20,1.69397
2013-21,1.59179
2013-22,1.52385
2013-23,1.54648
2013-24,1.58567
2013-25,1.59109
2013-26,1.41541
2013-27,1.43255
2013-28,1.25056
2013-29,1.30391
2013-30,1.3224
2013-31,1.22818
2013-32,1.32131
2013-33,1.21946
2013-34,1.19376
2013-35,1.53035
2013-36,1.63164
2013-37,1.70543
2013-38,1.67839
2013-39,1.94581
2013-40,1.52479
2013-41,1.75269
2013-42,1.74662
2013-43,1.77965
2013-44,1.99307
2013-45,2.29774
2013-46,2.29161
2013-47,2.13404
2013-48,2.59558
2013-49,2.32553
2013-50,2.77058
2013-51,3.1557
2013-52,5.10491
2014-1,5.1101
2014-2,4.61744
2014-3,4.57287
2014-4,5.04872
2014-5,4.28707
2014-6,3.83781
2014-7,3.46235
2014-8,3.38719
2014-9,3.03955
2014-10,2.72134
2014-11,2.31375
2014-12,2.39688
2014-13,1.99261
2014-14,2.01378
2014-15,1.84637
2014-16,1.87291
2014-17,1.83302
2014-18,1.69241
2014-19,1.72803
2014-20,1.80206
2014-21,2.0838
2014-22,1.86448
2014-23,1.88064
2014-24,1.80584
2014-25,1.77155
2014-26,1.76479
2014-27,1.80666
2014-28,1.49365
2014-29,1.48858
2014-30,1.26523
2014-31,1.27847
2014-32,1.05709
2014-33,1.05714
2014-34,1.20447
2014-35,1.31574
2014-36,1.58283
2014-37,1.87174
2014-38,1.86948
2014-39,1.78656
2014-40,1.9089
2014-41,2.01872
2014-42,1.88158
2014-43,1.84197
2014-44,1.88603
2014-45,2.22964
2014-46,2.21797
2014-47,2.48984
2014-48,2.72718
2014-49,2.40936
2014-50,2.57737
2014-51,2.90369
2014-52,4.47729
2015-1,4.77128
2015-2,3.99683
2015-3,4.33141
2015-4,4.88005
2015-5,5.01063
2015-6,4.505
2015-7,4.0094
2015-8,3.44632
2015-9,3.17311
2015-10,3.07302
2015-11,3.17645
2015-12,2.9528
2015-13,2.65624
2015-14,2.655
2015-15,2.39851
2015-16,2.11801
2015-17,2.13528
2015-18,2.14816
2015-19,2.22859
2015-20,2.26505
2015-21,2.10943
2015-22,2.07654
2015-23,2.17739
2015-24,1.96065
2015-25,1.86878
2015-26,1.65902
