time,wili
2010-40,0.660684
2010-41,0.628621
2010-42,0.80402
2010-43,0.909658
2010-44,0.971705
2010-45,0.719015
2010-46,0.696032
2010-47,0.754401
2010-48,0.849729
2010-49,0.809504
2010-50,0.901601
2010-51,0.833503
2010-52,1.06009
2011-1,0.919508
2011-2,1.01411
2011-3,1.14098
2011-4,1.88811
2011-5,2.52049
2011-6,2.63779
2011-7,2.92775
2011-8,2.85625
2011-9,2.67784
2011-10,2.10423
2011-11,1.78431
2011-12,1.37731
2011-13,0.984413
2011-14,0.896684
2011-15,0.814396
2011-16,0.764121
2011-17,0.909698
2011-18,0.759519
2011-19,0.604343
2011-20,0.627459
2011-21,0.59322
2011-22,0.55124
2011-23,0.433862
2011-24,0.372321
2011-25,0.310244
2011-26,0.250892
2011-27,0.422777
2011-28,0.30888
2011-29,0.406306
2011-30,0.368984
2011-31,0.479629
2011-32,0.351199
2011-33,0.392137
2011-34,0.40142
2011-35,0.615878
2011-36,0.642398
2011-37,0.644817
2011-38,0.727571
2011-39,0.751578
2011-40,0.744344
2011-41,0.567713
2011-42,0.572413
2011-43,0.631621
2011-44,0.581424
2011-45,0.512845
2011-46,0.703834
2011-47,0.513353
2011-48,0.681719
2011-49,0.691814
2011-50,0.695644
2011-51,0.686738
2011-52,0.739672
2012-1,0.652822
2012-2,0.712891
2012-3,0.727438
2012-4,1.02699
2012-5,1.00453
2012-6,1.05944
2012-7,1.05263
2012-8,1.36395
2012-9,1.43858
2012-10,1.37062
2012-11,1.47807
2012-12,1.19068
2012-13,0.864606
2012-14,0.923766
2012-15,0.733014
2012-16,0.598441
2012-17,0.631349
2012-18,0.598802
2012-19,0.48608
2012-20,0.6247
2012-21,0.372593
2012-22,0.475391
2012-23,0.428474
2012-24,0.382495
2012-25,0.39582
2012-26,0.318319
2012-27,0.329042
2012-28,0.344321
2012-29,0.342296
2012-30,0.362629
2012-31,0.28364
2012-32,0.295435
2012-33,0.334806
2012-34,0.447606
2012-35,0.508083
2012-36,0.509824
2012-37,0.465295
2012-38,0.472835
2012-39,0.627645
2012-40,0.503232
2012-41,0.555582
2012-42,0.465602
2012-43,0.490101
2012-44,0.59501
2012-45,0.633262
2012-46,0.748448
2012-47,0.88736
2012-48,1.01563
2012-49,1.41383
2012-50,1.86206
2012-51,2.63295
2012-52,2.9987
2013-1,2.65444
2013-2,2.97167
2013-3,3.87965
2013-4,3.32689
2013-5,2.90437
2013-6,2.54059
2013-7,1.90076
2013-8,1.73183
2013-9,1.44617
2013-10,1.11722
2013-11,1.02991
2013-12,0.697425
2013-13,0.701403
2013-14,0.6436
2013-15,0.541377
2013-16,0.562016
2013-17,0.567389
2013-18,0.590158
2013-19,0.583766
2013-20,0.47352
2013-21,0.488355
2013-22,0.425671
