time,wili
2010-40,0.100125
2010-41,0.36855
2010-42,0.337025
2010-43,0.460494
2010-44,0.222332
2010-45,0.79466
2010-46,0.390879
2010-47,0.503356
2010-48,0.270005
2010-49,0.361156
2010-50,0.293902
2010-51,0.504267
2010-52,0.508974
2011-1,0.783904
2011-2,2.53041
2011-3,1.98627
2011-4,1.99336
2011-5,1.99868
2011-6,2.1037
2011-7,2.6928
2011-8,2.32987
2011-9,2.14613
2011-10,1.68552
2011-11,0.947763
2011-12,0.526316
2011-13,0.96858
2011-14,0.475119
2011-15,0.11534
2011-16,0.082012
2011-17,0.0457247
2011-18,0.0863309
2011-19,0.0455996
2011-20,0.107643
2011-21,0.0001
2011-22,0.0001
2011-23,0.0001
2011-24,0.0001
2011-25,0.0001
2011-26,0.0001
2011-27,0.0001
2011-28,0.0001
2011-29,0.0001
2011-30,0.0001
2011-31,0.0001
2011-32,0.0001
2011-33,0.0001
2011-34,0.0001
2011-35,0.0001
2011-36,0.0001
2011-37,0.0001
2011-38,0.0001
2011-39,0.0001
2011-40,0.160772
2011-41,0.113058
2011-42,0.0638162
2011-43,0.0831947
2011-44,0.222505
2011-45,0.283366
2011-46,0.357143
2011-47,0.0957854
2011-48,0.4208
2011-49,0.684182
2011-50,0.421496
2011-51,0.159617
2011-52,0.238663
2012-1,0.512267
2012-2,0.313808
2012-3,0.224143
2012-4,0.263366
2012-5,0.407166
2012-6,0.159702
2012-7,0.370468
2012-8,0.106129
2012-9,0.354484
2012-10,0.544
2012-11,0.468637
2012-12,0.41958
2012-13,0.141093
2012-14,0.45156
2012-15,0.57732
2012-16,0.149589
2012-17,0.0001
2012-18,0.115785
2012-19,0.203749
2012-20,0.0913659
2012-21,0.0001
2012-22,0.184843
2012-23,0.0001
2012-24,0.0001
2012-25,0.0001
2012-26,0.0001
2012-27,0.0001
2012-28,0.0001
2012-29,0.0001
2012-30,0.0001
2012-31,0.0001
2012-32,0.0001
2012-33,0.113507
2012-34,0.2849
2012-35,0.56338
2012-36,0.174216
2012-37,0.0001
2012-38,0.0001
2012-39,0.0001
2012-40,0.15949
2012-41,0.268998
2012-42,0.298013
2012-43,0.456621
2012-44,0.239349
2012-45,0.457516
2012-46,0.485909
2012-47,0.905524
2012-48,0.837258
2012-49,1.45421
2012-50,2.05458
2012-51,2.38636
2012-52,4.21053
2013-1,5.16278
2013-2,5.11518
2013-3,5.49981
2013-4,5.04705
2013-5,3.08789
2013-6,2.01085
2013-7,1.63743
2013-8,1.67555
2013-9,1.11643
2013-10,1.12108
2013-11,0.967492
2013-12,0.858369
2013-13,0.806045
2013-14,0.552741
2013-15,0.243072
2013-16,0.363967
2013-17,0.0434028
2013-18,0.0001
2013-19,0.0001
2013-20,0.0001
2013-21,0.0001
2013-22,0.0001
2013-23,0.0001
2013-24,0.0001
2013-25,0.0001
2013-26,0.0001
2013-27,0.0001
2013-28,0.0001
2013-29,0.0001
2013-30,0.0001
2013-31,0.0001
2013-32,0.0001
2013-33,0.0001
2013-34,0.0001
2013-35,0.0001
2013-36,0.0001
2013-37,0.0001
2013-38,0.0001
2013-39,0.0001
2013-40,0.49636
2013-41,0.0378215
2013-42,0.758725
2013-43,1.43247
2013-44,1.11441
2013-45,1.22997
2013-46,1.28205
2013-47,0.840598
2013-48,1.12896
2013-49,1.29994
2013-50,1.08902
2013-51,1.78201
2013-52,3.23232
2014-1,1.84014
2014-2,2.02367
2014-3,2.40964
2014-4,3.70828
2014-5,2.48214
2014-6,2.98507
2014-7,2.2707
2014-8,1.72612
2014-9,1.86263
2014-10,1.95587
2014-11,1.18017
2014-12,1.29005
2014-13,1.51104
2014-14,1.72552
2014-15,1.48209
2014-16,0.274977
2014-17,0.097229
2014-18,0.0514403
2014-19,0.0001
2014-20,0.0001
2014-21,0.0001
2014-22,0.0001
2014-23,0.0675676
2014-24,0.074239
2014-25,0.137741
2014-26,0.0001
2014-27,0.0001
2014-28,0.0001
2014-29,0.0001
2014-30,0.0001
2014-31,0.0001
2014-32,0.0001
2014-33,0.0001
2014-34,0.0001
2014-35,0.0001
2014-36,0.0001
2014-37,0.134771
2014-38,0.0001
2014-39,0.144092
2014-40,0.0629723
2014-41,0.113314
2014-42,0.0001
2014-43,0.0001
2014-44,0.0538213
2014-45,0.0993542
2014-46,0.0569801
2014-47,0.0557103
2014-48,0.162338
2014-49,0.281215
2014-50,0.111421
2014-51,0.660793
2014-52,1.16183
2015-1,1.65687
2015-2,1.35514
2015-3,4.00863
2015-4,3.54913
2015-5,2.77865
2015-6,1.95035
2015-7,1.23839
2015-8,0.895639
2015-9,0.86741
2015-10,0.790663
2015-11,0.418545
2015-12,0.242204
2015-13,0.384862
2015-14,0.239973
2015-15,0.196657
2015-16,0.191205
2015-17,0.0954198
2015-18,0.0484496
2015-19,0.0462107
2015-20,0.0001
2015-21,0.0001
2015-22,0.0761035
2015-23,0.0001
2015-24,0.068918
2015-25,0.0001
2015-26,0.0001
2015-27,0.0001
2015-28,0.0001
2015-29,0.0001
2015-30,0.0001
2015-31,0.0001
2015-32,0.0001
2015-33,0.0001
2015-34,0.0001
2015-35,0.0001
2015-36,0.0001
2015-37,0.0001
2015-38,0.0001
2015-39,0.0602773
2015-40,0.0001
2015-41,0.0994777
2015-42,0.0235738
2015-43,0.0697188
2015-44,0.123885
2015-45,0.204918
2015-46,0.167866
2015-47,0.273496
2015-48,0.261292
2015-49,0.148588
2015-50,0.148331
2015-51,0.144265
2015-52,0.0001
2015-53,0.202634
2016-1,0.266351
2016-2,0.214988
2016-3,0.0820008
2016-4,0.10101
2016-5,0.186625
2016-6,0.0978793
2016-7,0.0641643
2016-8,0.658307
2016-9,1.03028
2016-10,1.73697
2016-11,1.35218
2016-12,1.53739
2016-13,0.867152
2016-14,0.747238
2016-15,0.280199
2016-16,0.30656
2016-17,0.570853
