time,wili
2010-40,2.80877
2010-41,2.89079
2010-42,2.41042
2010-43,3.11632
2010-44,2.99118
2010-45,2.32951
2010-46,1.5844
2010-47,3.33519
2010-48,4.15896
2010-49,3.26052
2010-50,4.33125
2010-51,5.76822
2010-52,6.84746
2011-1,4.75874
2011-2,4.8618
2011-3,3.89466
2011-4,3.92447
2011-5,3.35762
2011-6,3.47826
2011-7,2.7957
2011-8,1.64396
2011-9,2.02952
2011-10,2.30938
2011-11,2.99166
2011-12,2.89299
2011-13,2.37252
2011-14,0.195185
2011-15,0.068306
2011-16,0.0754148
2011-17,0.0001
2011-18,0.0001
2011-19,0.0001
2011-20,2.1322
2011-21,2.08451
2011-22,2.37671
2011-23,2.39674
2011-24,2.72306
2011-25,1.94529
2011-26,2.40416
2011-27,1.82186
2011-28,3.40909
2011-29,1.97669
2011-30,2.01149
2011-31,1.98068
2011-32,1.97224
2011-33,2.39398
2011-34,2.99927
2011-35,2.41935
2011-36,4.17007
2011-37,4.24528
2011-38,5.13532
2011-39,4.66228
2011-40,3.87097
2011-41,4.13112
2011-42,4.86462
2011-43,4.17001
2011-44,3.91914
2011-45,5.40657
2011-46,5.67207
2011-47,6.2333
2011-48,4.62874
2011-49,5.20887
2011-50,4.59471
2011-51,4.07767
2011-52,6.99931
2012-1,5.34629
2012-2,3.88206
2012-3,3.56537
2012-4,3.98374
2012-5,3.61897
2012-6,3.97065
2012-7,4.63646
2012-8,4.34116
2012-9,3.37948
2012-10,2.81987
2012-11,3.61045
2012-12,3.39294
2012-13,2.29661
2012-14,1.90011
2012-15,2.80857
2012-16,2.22902
2012-17,3.0024
2012-18,2.75182
2012-19,2.64901
2012-20,2.61932
2012-21,3.20513
2012-22,2.42588
2012-23,3.42707
2012-24,3.27124
2012-25,2.3798
2012-26,3.64931
2012-27,3.06588
2012-28,2.62541
2012-29,2.8072
2012-30,2.99252
2012-31,3.13253
2012-32,3.10749
2012-33,2.42424
2012-34,3.32397
2012-35,2.81474
2012-36,3.358
2012-37,2.93057
2012-38,3.38897
2012-39,2.98913
2012-40,2.84238
2012-41,3.72421
2012-42,3.27949
2012-43,4.59653
2012-44,3.64146
2012-45,4.85437
2012-46,4.64865
2012-47,6.81606
2012-48,6.44302
2012-49,6.32514
2012-50,8.11623
2012-51,8.49941
2012-52,8.92086
2013-1,6.20821
2013-2,6.84584
2013-3,7.19162
2013-4,6.97269
2013-5,5.30071
2013-6,5.28531
2013-7,4.76893
2013-8,4.53053
2013-9,4.42177
2013-10,4.90134
2013-11,5.33869
2013-12,4.39252
2013-13,2.7278
2013-14,4.4098
2013-15,4.06863
2013-16,3.61174
2013-17,5.45455
2013-18,5.7732
2013-19,4.74198
2013-20,4.96503
2013-21,5.93645
2013-22,3.99628
2013-23,5.26742
2013-24,3.99079
2013-25,5.07084
2013-26,3.9968
2013-27,4.26885
2013-28,4.6396
2013-29,3.4846
2013-30,4.42073
2013-31,6.70978
2013-32,5.18653
2013-33,5.05576
2013-34,5.8296
2013-35,5.1149
2013-36,4.07659
2013-37,5.61511
2013-38,5.92142
2013-39,5.34351
2013-40,5.41463
2013-41,6.02353
2013-42,5.67605
2013-43,6.50195
2013-44,5.20038
2013-45,7.20887
2013-46,7.79841
2013-47,8.19936
2013-48,9.6956
2013-49,11.0972
2013-50,9.10415
2013-51,10.6426
2013-52,13.7076
2014-1,16.3476
2014-2,13.3748
2014-3,8.77411
2014-4,9.20716
2014-5,8.93569
2014-6,9.0053
2014-7,7.20721
2014-8,7.97153
2014-9,8.52626
2014-10,7.78073
2014-11,8.17052
2014-12,9.03674
2014-13,11.3695
2014-14,9.7337
2014-15,7.63274
2014-16,6.62162
2014-17,6.63073
2014-18,4.7014
2014-19,5.53746
2014-20,7.2335
2014-21,9.6064
2014-22,9.62464
2014-23,7.63077
2014-24,8.20084
2014-25,8.50291
2014-26,7.06349
2014-27,6.23116
2014-28,6.8328
2014-29,4.14747
2014-30,3.85233
2014-31,3.63077
2014-32,4.67405
2014-33,4.08035
2014-34,4.91071
2014-35,5.2103
2014-36,5.62771
2014-37,6.77349
2014-38,8.36785
2014-39,8.56793
2014-40,5.85054
2014-41,5.46912
2014-42,5.03445
2014-43,5.6615
2014-44,6.35436
2014-45,7.22467
2014-46,5.93824
2014-47,7.19027
2014-48,9.61123
2014-49,11.7008
2014-50,9.75309
2014-51,12.9854
2014-52,13.6364
2015-1,14.8148
2015-2,12.6485
2015-3,10.8407
2015-4,6.64606
2015-5,8.43223
2015-6,10.2489
2015-7,6.7302
2015-8,6.72269
2015-9,5.82294
2015-10,5.53977
2015-11,7.28424
2015-12,5.33507
2015-13,5.54156
2015-14,6.58328
2015-15,4.45092
2015-16,4.66667
2015-17,4.90358
2015-18,5.77689
2015-19,5.03401
2015-20,5.25909
2015-21,6.64305
2015-22,7.95148
2015-23,8.86076
2015-24,7.70053
2015-25,6.80174
2015-26,7.2093
2015-27,7.3913
2015-28,5.58539
2015-29,5.64617
2015-30,5.39906
2015-31,6.2422
2015-32,0.0001
2015-33,0.0001
2015-34,0.0001
2015-35,0.0001
2015-36,0.0001
2015-37,0.0001
2015-38,0.0001
2015-39,0.0001
2015-40,0.0001
2015-41,0.0001
2015-42,0.108932
2015-43,0.487805
2015-44,2.58663
2015-45,5.83764
2015-46,4.2378
2015-47,6.85539
2015-48,7.21118
2015-49,5.67077
2015-50,6.5342
2015-51,6.71418
2015-52,9.51359
2015-53,8.20996
2016-1,9.30537
2016-2,6.23525
2016-3,4.66491
2016-4,5.86047
2016-5,5.19972
2016-6,5.65627
2016-7,5.99214
2016-8,7.911
2016-9,9.23582
2016-10,9.33902
2016-11,9.6564
2016-12,8.65231
2016-13,8.34061
2016-14,5.93434
2016-15,5.66696
2016-16,5.81347
2016-17,4.69592
2016-18,9.14668
2016-19,7.1152
2016-20,8.3871
2016-21,9.15649
2016-22,9.33243
2016-23,8.6386
2016-24,7.15123
2016-25,6.88259
2016-26,5.40915
2016-27,4.18195
2016-28,4.89039
2016-29,3.53874
2016-30,4.47248
2016-31,4.88677
2016-32,3.7961
2016-33,2.42174
2016-34,3.82536
2016-35,3.76569
2016-36,4.79317
2016-37,5.33927
2016-38,5.09926
2016-39,4.59265
2016-40,5.52486
2016-41,4.954
2016-42,5.25217
