time,wili
2010-40,1.6049
2010-41,1.71307
2010-42,2.01249
2010-43,2.38747
2010-44,2.65614
2010-45,3.41305
2010-46,4.55518
2010-47,5.4632
2010-48,3.48178
2010-49,4.48962
2010-50,6.30401
2010-51,7.27884
2010-52,6.06827
2011-1,4.82214
2011-2,4.11148
2011-3,3.52076
2011-4,4.36671
2011-5,4.79551
2011-6,4.87195
2011-7,4.71214
2011-8,4.05653
2011-9,2.82145
2011-10,2.36845
2011-11,2.15871
2011-12,1.76585
2011-13,1.64046
2011-14,1.52942
2011-15,1.33095
2011-16,1.32493
2011-17,1.35877
2011-18,1.30999
2011-19,1.45429
2011-20,1.57802
2011-21,1.24069
2011-22,1.32078
2011-23,0.965748
2011-24,0.817922
2011-25,0.667853
2011-26,0.607222
2011-27,0.744043
2011-28,0.598637
2011-29,0.513128
2011-30,0.629303
2011-31,0.690295
2011-32,0.807668
2011-33,0.911454
2011-34,1.19306
2011-35,1.1908
2011-36,1.49351
2011-37,1.3952
2011-38,1.30154
2011-39,1.6361
2011-40,1.4885
2011-41,1.47743
2011-42,1.30289
2011-43,1.38503
2011-44,1.62884
2011-45,1.73634
2011-46,1.53357
2011-47,2.12336
2011-48,1.5674
2011-49,1.82293
2011-50,2.33955
2011-51,3.56635
2011-52,3.57518
2012-1,2.44657
2012-2,1.68191
2012-3,1.92474
2012-4,1.8684
2012-5,2.10746
2012-6,2.00977
2012-7,2.06283
2012-8,1.17643
2012-9,2.01304
2012-10,1.92451
2012-11,2.26454
2012-12,1.92018
2012-13,1.80723
2012-14,1.62493
2012-15,1.44511
2012-16,1.37667
2012-17,1.01402
2012-18,0.650388
2012-19,0.685379
2012-20,0.827498
2012-21,1.5661
2012-22,1.6129
2012-23,1.23034
2012-24,1.16573
2012-25,0.879528
2012-26,0.830607
2012-27,0.981229
2012-28,0.820068
2012-29,0.842697
2012-30,0.851801
2012-31,0.777749
2012-32,1.00992
2012-33,1.10938
2012-34,1.4053
2012-35,1.30468
2012-36,0.787488
2012-37,0.83772
2012-38,0.775279
2012-39,0.84413
2012-40,0.95134
2012-41,1.16844
2012-42,1.04194
2012-43,1.24957
2012-44,1.29223
2012-45,1.82259
2012-46,2.44775
2012-47,3.24457
2012-48,3.26126
2012-49,4.1396
2012-50,4.74738
2012-51,5.03625
2012-52,5.18475
2013-1,4.14659
2013-2,3.55827
2013-3,2.92425
2013-4,2.32237
2013-5,2.45549
2013-6,2.495
2013-7,2.2694
2013-8,2.4042
2013-9,2.39994
2013-10,2.61697
2013-11,2.1634
2013-12,1.8007
2013-13,1.73544
2013-14,1.40911
2013-15,1.0082
2013-16,0.941882
2013-17,0.631108
2013-18,0.571364
2013-19,0.770743
2013-20,0.612261
2013-21,0.636416
2013-22,0.522969
2013-23,0.388242
2013-24,0.381727
2013-25,0.363967
2013-26,0.283298
2013-27,0.370136
2013-28,0.230965
2013-29,0.224542
2013-30,0.327948
