time,wili
2010-40,1.02934
2010-41,1.75246
2010-42,0.755124
2010-43,1.57434
2010-44,1.77398
2010-45,1.17429
2010-46,1.31204
2010-47,1.57422
2010-48,1.96305
2010-49,2.42215
2010-50,2.51225
2010-51,2.21704
2010-52,3.34378
2011-1,2.44275
2011-2,2.01871
2011-3,3.2167
2011-4,3.9489
2011-5,3.73887
2011-6,4.71753
2011-7,5.72271
2011-8,5.54855
2011-9,5.25433
2011-10,5.17388
2011-11,4.2368
2011-12,1.97368
2011-13,2.75953
2011-14,2.79948
2011-15,1.85053
2011-16,2.55447
2011-17,1.77134
2011-18,0.603774
2011-19,1.41176
2011-20,1.40741
2011-21,1.86625
2011-22,1.13754
2011-23,1.2334
2011-24,0.756534
2011-25,1.1612
2011-26,1.57618
2011-27,2.35097
2011-28,1.63205
2011-29,1.12755
2011-30,1.51976
2011-31,0.143062
2011-32,0.468933
2011-33,0.736842
2011-34,0.97032
2011-35,0.643317
2011-36,0.887574
2011-37,1.28552
2011-38,0.815217
2011-39,0.914962
2011-40,0.726625
2011-41,0.466828
2011-42,0.737279
2011-43,0.830454
2011-44,1.00836
2011-45,0.955864
2011-46,0.910101
2011-47,0.95725
2011-48,0.931267
2011-49,0.889587
2011-50,0.946826
2011-51,0.854254
2011-52,1.08755
2012-1,1.14798
2012-2,0.893751
2012-3,1.27564
2012-4,1.01896
2012-5,1.10465
2012-6,0.926658
2012-7,1.09158
2012-8,1.06421
2012-9,1.2074
2012-10,1.27213
2012-11,1.57938
2012-12,2.30525
2012-13,2.89528
2012-14,2.75811
2012-15,2.88608
2012-16,2.90607
2012-17,2.50523
2012-18,2.54814
2012-19,2.738
2012-20,2.67055
2012-21,2.70538
2012-22,2.81913
2012-23,1.87505
2012-24,1.70995
2012-25,1.39322
2012-26,1.21387
2012-27,1.45957
2012-28,0.936373
2012-29,1.23042
2012-30,1.58856
2012-31,1.76282
2012-32,1.80966
2012-33,1.74881
2012-34,1.7048
2012-35,1.53789
2012-36,1.53008
2012-37,1.23419
2012-38,1.26986
2012-39,1.34981
2012-40,1.40314
2012-41,1.44613
2012-42,1.24869
2012-43,1.40326
2012-44,1.25823
2012-45,1.3894
2012-46,1.48123
2012-47,1.96122
2012-48,1.37343
2012-49,1.59971
2012-50,1.86986
2012-51,1.87202
2012-52,1.63839
2013-1,2.52944
2013-2,2.8331
2013-3,3.35174
2013-4,4.84493
2013-5,3.77211
2013-6,4.02789
2013-7,3.20233
2013-8,3.14626
2013-9,4.05101
2013-10,4.51183
2013-11,3.08503
2013-12,3.17965
2013-13,2.45536
2013-14,1.95695
2013-15,3.45588
2013-16,2.45098
2013-17,3.50584
2013-18,2.866
2013-19,3.93836
2013-20,3.79464
2013-21,1.51844
2013-22,2.56696
2013-23,2.24949
2013-24,3.41297
2013-25,1.40187
2013-26,1.40977
2013-27,0.753498
2013-28,0.551181
2013-29,0.508906
2013-30,0.567721
2013-31,0.587248
2013-32,0.160128
2013-33,0.613497
2013-34,0.527357
2013-35,1.33983
2013-36,1.427
2013-37,1.61663
2013-38,1.37195
2013-39,1.77353
2013-40,1.25261
2013-41,1.98556
2013-42,1.98925
2013-43,1.95767
2013-44,2.10403
2013-45,2.20936
2013-46,2.1264
2013-47,2.53583
2013-48,1.74064
2013-49,2.10035
2013-50,2.86248
2013-51,3.265
2013-52,2.06044
2014-1,2.95858
2014-2,3.61589
2014-3,3.38421
2014-4,5.30303
2014-5,4.99376
2014-6,5.58968
2014-7,5.77617
2014-8,8.10466
2014-9,6.84524
2014-10,6.30225
2014-11,4.625
2014-12,2.62123
2014-13,3.03721
2014-14,3.0303
2014-15,2.15783
2014-16,3.24977
2014-17,2.49844
2014-18,1.78462
2014-19,1.81932
2014-20,2.41477
2014-21,3.3213
2014-22,2.83286
2014-23,1.30971
2014-24,2.92154
2014-25,1.61638
2014-26,2.82609
2014-27,1.67286
2014-28,1.68577
2014-29,1.61064
2014-30,1.7673
2014-31,1.03774
2014-32,1.07875
2014-33,1.41176
2014-34,0.566251
2014-35,1.32626
2014-36,2.32198
2014-37,2.53502
2014-38,3.02419
2014-39,1.9385
2014-40,4.81841
2014-41,4.95225
2014-42,4.42924
2014-43,4.43332
2014-44,4.48448
2014-45,5.23318
2014-46,5.19622
2014-47,3.79275
2014-48,3.86473
2014-49,4.66793
2014-50,4.77601
2014-51,6.84982
2014-52,10.3704
2015-1,13.8313
2015-2,11.99
2015-3,16.1445
2015-4,15.7855
2015-5,15.5854
2015-6,13.8272
2015-7,11.6471
2015-8,10.6383
2015-9,8.05215
2015-10,8.73866
2015-11,8.16012
2015-12,4.90196
2015-13,6.49029
2015-14,6.16184
2015-15,6.63667
2015-16,6.00693
2015-17,4.33333
2015-18,4.70639
2015-19,5.75365
2015-20,5.51905
2015-21,5.65386
2015-22,5.62566
2015-23,4.81513
2015-24,1.17139
2015-25,0.992282
2015-26,0.7922
2015-27,1.45128
2015-28,1.00711
2015-29,0.931099
2015-30,1.30516
2015-31,0.624025
2015-32,1.35811
2015-33,0.573248
2015-34,0.676133
2015-35,1.14141
2015-36,1.13208
2015-37,2.0979
2015-38,2.0552
2015-39,2.17267
2015-40,1.89255
2015-41,2.33303
2015-42,1.79028
2015-43,1.30685
2015-44,1.5625
2015-45,2.18274
2015-46,1.69851
2015-47,1.47727
2015-48,2.48344
