time,wili
2010-40,0.414938
2010-41,1.45798
2010-42,1.40814
2010-43,1.28007
2010-44,1.82724
2010-45,1.49434
2010-46,1.95882
2010-47,3.06882
2010-48,1.80142
2010-49,1.72267
2010-50,1.36502
2010-51,3.20553
2010-52,2.59815
2011-1,2.03906
2011-2,2.25623
2011-3,3.5809
2011-4,3.4288
2011-5,3.94244
2011-6,4.56026
2011-7,6.01038
2011-8,6.26091
2011-9,5.59846
2011-10,6.48731
2011-11,4.38749
2011-12,4.3877
2011-13,2.83491
2011-14,2.86096
2011-15,2.93392
2011-16,1.48645
2011-17,1.86047
2011-18,1.58513
2011-19,1.45138
2011-20,1.8346
2011-21,1.55424
2011-22,2.35294
2011-23,1.70604
2011-24,1.49102
2011-25,1.60446
2011-26,1.25705
2011-27,0.899594
2011-28,0.645161
2011-29,0.925658
2011-30,0.657462
2011-31,0.387366
2011-32,0.697604
2011-33,0.71964
2011-34,0.418911
2011-35,1.23423
2011-36,1.29168
2011-37,0.657895
2011-38,0.857679
2011-39,0.841884
2011-40,0.914077
2011-41,1.25885
2011-42,1.18925
2011-43,1.52601
2011-44,1.87855
2011-45,1.53879
2011-46,2.02675
2011-47,1.44769
2011-48,2.10753
2011-49,1.62801
2011-50,2.11416
2011-51,1.66142
2011-52,2.78114
2012-1,1.62407
2012-2,1.5286
2012-3,1.75866
2012-4,2.00946
2012-5,2.38663
2012-6,1.97495
2012-7,3.41361
2012-8,2.32095
2012-9,2.82019
2012-10,2.37288
2012-11,3.35112
2012-12,3.55525
2012-13,2.8144
2012-14,3.17543
2012-15,2.39486
2012-16,2.78354
2012-17,2.38095
2012-18,2.32839
2012-19,1.82768
2012-20,1.96078
2012-21,2.05436
2012-22,1.85996
2012-23,1.39565
2012-24,0.990426
2012-25,0.95989
2012-26,0.709975
2012-27,0.702302
2012-28,0.608883
2012-29,0.8
2012-30,0.651466
2012-31,0.739247
2012-32,0.625
2012-33,0.531561
2012-34,0.708079
2012-35,0.849772
2012-36,1.26398
2012-37,0.814536
2012-38,1.28247
2012-39,1.89816
2012-40,0.988849
2012-41,1.03135
2012-42,0.920999
2012-43,0.598205
2012-44,1.09622
2012-45,1.37957
2012-46,2.19938
2012-47,2.54892
2012-48,2.01177
2012-49,1.86216
2012-50,2.09696
2012-51,2.97389
2012-52,5.056
2013-1,3.01935
2013-2,3.59773
2013-3,2.95283
2013-4,3.67372
2013-5,2.97558
2013-6,3.50244
2013-7,2.83275
2013-8,2.53615
2013-9,0.918459
2013-10,0.747621
2013-11,1.34878
2013-12,1.45557
2013-13,0.933461
2013-14,0.509287
2013-15,0.326023
2013-16,0.39984
2013-17,0.469484
2013-18,0.387597
2013-19,0.129997
2013-20,0.198282
