time,wili
2010-40,1.28205
2010-41,1.45089
2010-42,1.56607
2010-43,1.45762
2010-44,1.4893
2010-45,1.55392
2010-46,1.63242
2010-47,1.81669
2010-48,1.62132
2010-49,1.85288
2010-50,2.05097
2010-51,3.09033
2010-52,3.55156
2011-1,2.99071
2011-2,3.28357
2011-3,4.03462
2011-4,4.71879
2011-5,4.9683
2011-6,4.23328
2011-7,4.04362
2011-8,3.85922
2011-9,3.6953
2011-10,3.19015
2011-11,3.373
2011-12,2.63603
2011-13,2.55181
2011-14,2.15318
2011-15,1.57063
2011-16,1.72191
2011-17,1.52495
2011-18,1.34804
2011-19,1.59068
2011-20,1.19695
2011-21,1.23846
2011-22,1.68385
2011-23,1.2613
2011-24,1.10723
2011-25,1.06486
2011-26,1.24786
2011-27,1.5216
2011-28,0.822823
2011-29,1.14027
2011-30,1.18249
2011-31,1.39115
2011-32,1.01159
2011-33,1.14914
2011-34,1.21631
2011-35,1.3125
2011-36,1.41258
2011-37,1.33621
2011-38,1.93042
2011-39,1.53657
2011-40,1.83997
2011-41,1.64447
2011-42,1.65353
2011-43,1.69384
2011-44,1.7088
2011-45,1.64647
2011-46,1.76848
2011-47,2.03392
2011-48,1.71415
2011-49,1.62628
2011-50,2.09914
2011-51,2.14258
2011-52,2.68846
2012-1,2.20216
2012-2,1.86664
2012-3,2.08198
2012-4,2.06257
2012-5,2.4577
2012-6,2.40434
2012-7,2.92657
2012-8,3.36853
2012-9,3.38003
2012-10,3.94913
2012-11,4.66875
2012-12,3.37912
2012-13,2.44384
2012-14,2.32242
2012-15,2.2553
2012-16,1.98418
2012-17,1.93371
2012-18,1.79573
2012-19,1.38429
2012-20,1.41021
2012-21,1.41798
2012-22,1.50898
2012-23,1.40542
2012-24,1.10976
2012-25,1.15051
2012-26,1.20623
2012-27,1.24848
2012-28,1.18019
2012-29,1.19658
2012-30,1.22362
2012-31,1.58305
2012-32,1.27548
2012-33,1.19505
2012-34,1.34114
2012-35,1.47584
2012-36,1.59901
2012-37,1.66453
2012-38,1.63744
2012-39,1.65217
2012-40,1.58214
2012-41,1.69269
2012-42,1.71016
2012-43,1.72181
2012-44,1.89033
2012-45,2.02857
2012-46,1.99806
2012-47,2.32818
2012-48,2.39121
2012-49,3.22268
2012-50,4.239
2012-51,5.07826
2012-52,6.27165
2013-1,5.05566
2013-2,4.34811
2013-3,3.88902
2013-4,3.54367
2013-5,3.50275
2013-6,3.12585
2013-7,3.05967
2013-8,2.55517
2013-9,2.81471
2013-10,2.62175
2013-11,3.03716
2013-12,2.64034
2013-13,2.44904
2013-14,2.31881
2013-15,1.89672
2013-16,1.82598
2013-17,1.69867
2013-18,1.64719
2013-19,1.61373
2013-20,1.89015
2013-21,1.42293
2013-22,1.58659
2013-23,1.57555
2013-24,1.64654
2013-25,1.37145
2013-26,1.21819
2013-27,1.17423
2013-28,1.16156
2013-29,0.96345
2013-30,0.991386
2013-31,0.949602
2013-32,0.902903
2013-33,1.07404
2013-34,0.941708
2013-35,1.03193
2013-36,1.18983
2013-37,1.37006
2013-38,1.45643
2013-39,1.43988
2013-40,1.41144
2013-41,1.52682
2013-42,1.60253
2013-43,1.73267
2013-44,1.84818
2013-45,1.79131
2013-46,1.80678
2013-47,1.93023
2013-48,2.33875
2013-49,2.38091
2013-50,2.78107
2013-51,3.00035
2013-52,4.50831
2014-1,4.44242
2014-2,3.44904
2014-3,2.99557
2014-4,2.81371
2014-5,2.31313
2014-6,2.09311
2014-7,2.02027
2014-8,2.07339
2014-9,2.04208
2014-10,1.849
2014-11,1.98314
2014-12,1.75208
2014-13,2.03628
2014-14,1.96344
2014-15,1.95187
2014-16,1.78886
2014-17,1.86204
2014-18,1.7144
2014-19,1.99132
2014-20,1.63255
2014-21,1.73257
2014-22,1.56121
2014-23,1.48708
2014-24,1.42806
2014-25,1.40261
2014-26,1.08399
2014-27,0.875356
2014-28,0.898938
2014-29,0.826602
2014-30,0.788524
2014-31,0.770412
2014-32,0.810804
2014-33,0.79646
2014-34,0.993506
2014-35,0.850544
2014-36,1.17051
2014-37,1.87919
2014-38,1.80433
2014-39,1.59832
2014-40,1.47637
2014-41,1.4802
2014-42,1.64143
2014-43,1.59675
2014-44,1.74722
2014-45,1.95543
