time,wili
2010-40,0.518962
2010-41,0.653137
2010-42,0.584346
2010-43,0.581084
2010-44,0.842254
2010-45,0.752055
2010-46,0.820837
2010-47,0.795053
2010-48,0.887189
2010-49,0.949958
2010-50,0.964187
2010-51,1.36295
2010-52,1.7327
2011-1,1.75182
2011-2,2.40376
2011-3,4.38823
2011-4,6.90447
2011-5,6.7716
2011-6,6.07211
2011-7,5.97522
2011-8,5.02345
2011-9,3.80817
2011-10,2.72749
2011-11,2.05007
2011-12,1.66513
2011-13,0.984447
2011-14,0.922334
2011-15,0.581147
2011-16,0.474655
2011-17,0.513118
2011-18,0.443973
2011-19,0.683028
2011-20,0.520077
2011-21,0.458475
2011-22,0.721805
2011-23,0.432961
2011-24,0.441631
2011-25,0.310973
2011-26,0.517443
2011-27,0.44712
2011-28,0.235651
2011-29,0.298039
2011-30,0.280987
2011-31,0.212379
2011-32,0.192864
2011-33,0.240215
2011-34,0.337634
2011-35,0.327392
2011-36,0.464989
2011-37,0.382742
2011-38,0.654159
2011-39,0.850359
2011-40,0.835991
2011-41,1.1312
2011-42,1.21314
2011-43,1.06163
2011-44,1.34108
2011-45,1.12788
2011-46,1.0255
2011-47,1.10343
2011-48,1.12444
2011-49,1.11361
2011-50,1.03663
2011-51,1.12758
2011-52,1.49254
2012-1,1.06865
2012-2,1.11591
2012-3,0.972222
2012-4,1.29289
2012-5,1.38354
2012-6,1.29026
2012-7,1.11044
2012-8,1.87577
2012-9,1.76911
2012-10,2.0077
2012-11,2.44256
2012-12,2.00895
2012-13,1.6112
2012-14,1.73466
2012-15,1.03984
2012-16,0.915862
2012-17,0.713822
2012-18,0.780267
2012-19,0.735294
2012-20,0.527395
2012-21,0.502513
2012-22,0.83968
2012-23,0.315985
2012-24,0.291705
2012-25,0.367715
2012-26,0.571767
2012-27,0.484731
2012-28,0.430954
2012-29,0.345954
2012-30,0.46906
2012-31,0.672447
2012-32,0.371025
2012-33,0.42707
2012-34,0.581649
2012-35,0.639422
2012-36,0.786276
2012-37,0.669672
2012-38,0.850362
2012-39,0.571354
2012-40,0.704945
2012-41,0.646532
2012-42,0.715717
2012-43,0.506139
2012-44,0.6508
2012-45,1.00503
2012-46,0.736934
2012-47,1.02361
2012-48,1.47923
2012-49,2.41508
2012-50,4.45092
2012-51,5.22257
2012-52,7.17515
2013-1,4.39602
2013-2,4.11404
2013-3,4.82472
2013-4,3.19107
2013-5,3.50093
2013-6,3.14203
2013-7,2.63581
2013-8,2.74562
2013-9,2.59448
2013-10,2.55328
2013-11,2.39939
2013-12,1.9318
2013-13,1.52966
2013-14,1.22368
2013-15,1.05047
2013-16,0.828228
2013-17,0.608924
2013-18,0.340216
2013-19,0.433265
2013-20,0.382653
2013-21,0.408297
2013-22,0.368664
2013-23,0.386847
2013-24,0.491642
2013-25,0.228358
2013-26,0.322451
2013-27,0.453894
2013-28,0.299018
2013-29,0.295625
2013-30,0.189934
