time,wili
2010-40,0.442227
2010-41,0.57749
2010-42,0.47975
2010-43,0.538071
2010-44,0.481289
2010-45,0.724993
2010-46,0.595801
2010-47,0.890511
2010-48,0.719424
2010-49,0.828437
2010-50,0.8626
2010-51,0.968867
2010-52,1.36456
2011-1,1.05792
2011-2,1.06197
2011-3,1.60295
2011-4,2.84569
2011-5,3.31402
2011-6,3.19528
2011-7,3.72246
2011-8,3.39597
2011-9,3.08696
2011-10,2.50417
2011-11,1.76917
2011-12,1.55869
2011-13,1.13311
2011-14,0.892174
2011-15,0.616165
2011-16,0.562141
2011-17,0.688073
2011-18,0.4769
2011-19,0.424309
2011-20,0.638298
2011-21,0.667022
2011-22,0.517148
2011-23,0.465477
2011-24,0.152905
2011-25,0.38835
2011-26,0.107267
2011-27,0.109111
2011-28,0.0996016
2011-29,0.40311
2011-30,0.344149
2011-31,0.192555
2011-32,0.208932
2011-33,0.0457352
2011-34,0.263852
2011-35,0.419132
2011-36,0.869133
2011-37,0.981461
2011-38,0.590909
2011-39,0.88229
2011-40,0.908174
2011-41,0.815596
2011-42,0.762995
2011-43,0.892172
2011-44,0.761905
2011-45,0.796162
2011-46,0.607306
2011-47,0.952381
2011-48,0.649287
2011-49,0.743767
2011-50,0.97692
2011-51,0.915631
2011-52,1.23299
2012-1,0.76524
2012-2,0.957391
2012-3,1.2701
2012-4,1.07136
2012-5,1.52229
2012-6,2.17739
2012-7,2.66038
2012-8,3.12771
2012-9,3.30739
2012-10,3.43391
2012-11,2.64033
2012-12,1.77594
2012-13,1.04742
2012-14,0.927798
2012-15,0.453361
2012-16,0.463623
2012-17,0.389842
2012-18,0.355366
2012-19,0.280005
2012-20,0.255138
2012-21,0.267523
2012-22,0.178763
2012-23,0.115785
2012-24,0.11236
2012-25,0.0402414
2012-26,0.0394477
2012-27,0.171527
2012-28,0.107411
2012-29,0.0001
2012-30,0.159553
2012-31,0.1114
2012-32,0.0747384
2012-33,0.068306
2012-34,0.192369
2012-35,0.090307
2012-36,0.181488
