time,wili
2010-40,2.28108
2010-41,2.04776
2010-42,2.42974
2010-43,1.92854
2010-44,2.80934
2010-45,2.08577
2010-46,2.81506
2010-47,2.92706
2010-48,2.66482
2010-49,2.80486
2010-50,3.37939
2010-51,3.82638
2010-52,5.63071
2011-1,4.38839
2011-2,5.7204
2011-3,7.82892
2011-4,6.63419
2011-5,10.046
2011-6,7.28468
2011-7,7.37081
2011-8,5.05296
2011-9,4.11286
2011-10,3.54024
2011-11,3.35263
2011-12,2.91683
2011-13,1.82657
2011-14,2.48497
2011-15,1.48567
2011-16,1.5376
2011-17,1.90088
2011-18,1.50696
2011-19,0.747833
2011-20,1.0801
2011-21,1.1524
2011-22,0.851813
2011-23,0.968153
2011-24,1.14943
2011-25,0.973157
2011-26,1.04512
2011-27,0.739982
2011-28,0.91623
2011-29,1.22133
2011-30,1.13324
2011-31,0.872698
2011-32,1.08269
2011-33,1.12234
2011-34,1.44716
2011-35,1.36734
2011-36,1.70683
2011-37,1.98413
2011-38,3.1651
2011-39,2.97633
2011-40,2.84851
2011-41,2.89159
2011-42,2.45195
2011-43,2.35048
2011-44,2.48977
2011-45,2.47432
2011-46,2.82114
2011-47,2.52569
2011-48,2.95145
2011-49,2.68642
2011-50,3.72645
2011-51,2.72098
2011-52,3.01952
2012-1,3.41888
2012-2,2.41556
2012-3,2.63129
2012-4,2.13152
2012-5,2.05962
2012-6,2.85781
2012-7,3.17863
2012-8,2.51418
2012-9,2.4183
2012-10,2.51068
2012-11,2.74672
2012-12,2.51933
2012-13,2.60108
2012-14,2.23763
2012-15,1.81041
2012-16,2.20084
2012-17,1.99036
2012-18,2.0997
2012-19,1.83375
2012-20,1.76575
2012-21,1.65543
2012-22,0.844773
2012-23,1.62299
2012-24,1.3967
2012-25,1.24336
2012-26,1.19146
2012-27,1.16744
2012-28,1.17785
2012-29,1.06077
2012-30,0.988003
2012-31,1.2345
2012-32,1.32595
2012-33,1.1174
2012-34,1.70864
2012-35,1.97955
2012-36,1.59251
2012-37,1.79319
2012-38,1.89412
2012-39,1.81666
2012-40,2.8831
2012-41,2.88909
2012-42,2.65559
2012-43,3.26236
2012-44,3.3036
2012-45,4.23698
2012-46,4.22369
2012-47,5.20172
2012-48,4.95046
2012-49,5.5426
2012-50,6.95104
2012-51,7.91033
2012-52,8.9449
2013-1,7.14434
2013-2,6.49926
2013-3,5.71979
2013-4,5.3964
2013-5,4.67644
2013-6,4.24231
2013-7,3.45379
2013-8,3.50837
2013-9,3.06236
2013-10,3.28033
2013-11,3.76361
2013-12,2.82755
2013-13,2.91392
2013-14,2.85127
2013-15,2.26379
2013-16,1.83512
2013-17,1.88561
2013-18,1.88421
2013-19,2.06497
2013-20,2.13555
2013-21,1.90332
2013-22,1.68134
2013-23,1.34287
2013-24,1.2033
2013-25,1.29978
2013-26,1.06077
2013-27,1.18881
2013-28,1.01256
2013-29,0.932235
2013-30,1.04764
2013-31,1.5222
2013-32,1.11779
2013-33,1.22065
2013-34,1.30633
2013-35,1.57083
2013-36,1.67113
2013-37,1.82213
2013-38,1.88159
2013-39,1.99498
2013-40,2.02694
2013-41,2.23888
2013-42,2.30027
2013-43,2.62847
2013-44,2.65535
2013-45,3.02091
2013-46,3.04197
2013-47,2.83947
2013-48,3.94011
2013-49,4.19149
2013-50,5.18179
2013-51,4.19062
2013-52,8.66634
2014-1,8.01288
2014-2,7.07513
2014-3,6.03897
2014-4,4.90335
2014-5,4.26658
2014-6,3.61763
2014-7,2.96206
2014-8,2.76318
2014-9,2.70049
2014-10,2.82952
2014-11,2.13324
2014-12,2.41191
2014-13,2.22451
2014-14,2.27164
2014-15,2.21134
2014-16,2.17405
2014-17,1.95779
2014-18,1.66369
2014-19,1.75199
2014-20,1.79672
2014-21,1.7632
2014-22,1.80095
2014-23,1.4505
2014-24,1.44831
2014-25,1.2544
2014-26,1.05878
2014-27,1.32031
2014-28,1.18684
2014-29,1.12178
2014-30,0.955476
2014-31,1.19371
2014-32,1.07051
2014-33,1.14567
2014-34,1.21957
2014-35,1.52881
2014-36,1.62314
2014-37,1.59742
2014-38,1.67126
2014-39,1.50033
2014-40,1.7935
2014-41,2.072
2014-42,2.6345
2014-43,2.51817
2014-44,2.54468
2014-45,3.05093
2014-46,3.31273
2014-47,4.39541
2014-48,5.90118
2014-49,5.48934
2014-50,5.61596
2014-51,6.9655
2014-52,7.28398
2015-1,6.61988
2015-2,4.77709
2015-3,4.79875
2015-4,5.40748
2015-5,4.5006
2015-6,4.40466
2015-7,3.80911
2015-8,3.82933
2015-9,3.4337
2015-10,3.20977
2015-11,3.45693
2015-12,3.10502
2015-13,2.80059
2015-14,2.68008
2015-15,2.33665
2015-16,1.7776
2015-17,1.93687
2015-18,1.77697
2015-19,1.86324
2015-20,1.76502
2015-21,1.56764
2015-22,1.49425
2015-23,1.25034
2015-24,1.24946
2015-25,1.03637
2015-26,1.17461
2015-27,1.10747
2015-28,1.01681
2015-29,1.14152
2015-30,1.01653
2015-31,1.10476
2015-32,0.957739
2015-33,0.924169
2015-34,0.954499
2015-35,1.40946
2015-36,1.48782
2015-37,1.71873
2015-38,1.72775
2015-39,1.75498
2015-40,1.79191
2015-41,1.81531
2015-42,1.81375
2015-43,2.04177
2015-44,1.86562
2015-45,1.92489
2015-46,2.1096
2015-47,2.19967
2015-48,2.43487
2015-49,2.28758
2015-50,2.03417
2015-51,2.20889
2015-52,2.66484
2015-53,2.47861
2016-1,2.26002
2016-2,2.44385
2016-3,2.4867
2016-4,2.34685
2016-5,2.51039
2016-6,2.62713
2016-7,2.89193
2016-8,3.20624
2016-9,3.70534
2016-10,3.63969
2016-11,2.87454
2016-12,2.9295
2016-13,2.58222
2016-14,2.27786
2016-15,1.98948
2016-16,2.04664
2016-17,1.91037
2016-18,1.74936
2016-19,1.71826
2016-20,1.78963
2016-21,1.67445
2016-22,1.4716
2016-23,1.25215
2016-24,1.27622
2016-25,1.19035
2016-26,1.13014
2016-27,1.08454
2016-28,1.12144
2016-29,1.02932
2016-30,0.998078
2016-31,1.04735
2016-32,1.0265
2016-33,1.16678
2016-34,1.2678
2016-35,1.41692
2016-36,1.46866
2016-37,1.45662
2016-38,1.34151
2016-39,1.52203
2016-40,1.55987
2016-41,1.66783
2016-42,1.6578
2016-43,1.74305
2016-44,1.86931
2016-45,2.16614
2016-46,2.10318
2016-47,2.21298
2016-48,2.33506
2016-49,2.41573
2016-50,2.68997
2016-51,3.30251
2016-52,3.69227
2017-1,3.36725
2017-2,3.21637
2017-3,3.63411
2017-4,3.71262
2017-5,4.69911
2017-6,5.52013
2017-7,5.199
2017-8,4.66559
2017-9,4.37021
2017-10,3.95981
2017-11,3.73332
2017-12,3.37963
2017-13,2.77131
2017-14,2.51228
2017-15,2.27333
2017-16,2.14774
2017-17,2.06866
2017-18,1.78602
2017-19,1.90942
2017-20,1.89629
2017-21,1.90058
2017-22,1.84308
2017-23,1.51033
2017-24,1.65132
2017-25,1.53508
2017-26,1.28872
2017-27,1.39423
2017-28,1.12423
2017-29,1.26204
2017-30,1.17224
2017-31,1.33081
2017-32,1.31464
2017-33,1.50053
2017-34,1.8264
2017-35,2.07069
2017-36,2.06875
2017-37,2.06444
2017-38,1.99443
2017-39,2.17055
2017-40,2.35775
2017-41,2.35066
2017-42,2.80864
2017-43,3.08264
2017-44,3.64463
2017-45,3.97187
2017-46,4.34214
2017-47,5.16172
2017-48,5.08247
2017-49,5.24217
2017-50,6.72283
2017-51,9.61433
2017-52,11.3784
2018-1,10.2584
2018-2,10.202
2018-3,9.85901
2018-4,8.27372
2018-5,8.6669
2018-6,7.72847
2018-7,6.68204
2018-8,4.43427
2018-9,3.46841
2018-10,3.07885
2018-11,2.69237
2018-12,2.42738
2018-13,2.24774
2018-14,2.1322
2018-15,2.06125
2018-16,2.04757
2018-17,2.11199
2018-18,1.84291
2018-19,1.97468
2018-20,1.88116
2018-21,1.8401
2018-22,1.66249
2018-23,1.43664
2018-24,1.33267
2018-25,1.35339
2018-26,1.36253
2018-27,1.33875
2018-28,1.26171
2018-29,1.18918
2018-30,1.30786
2018-31,1.40713
2018-32,1.31079
2018-33,1.42011
2018-34,1.75043
2018-35,1.88723
2018-36,2.16778
2018-37,1.79334
2018-38,1.92146
2018-39,2.04466
2018-40,2.47737
2018-41,2.55452
2018-42,2.76474
2018-43,3.17727
2018-44,3.29785
2018-45,3.67614
2018-46,4.08906
2018-47,4.69982
2018-48,4.4938
2018-49,3.95995
2018-50,3.95481
2018-51,4.18465
2018-52,5.25551
2019-1,4.62762
2019-2,3.99842
2019-3,4.19386
2019-4,5.1267
2019-5,7.72597
2019-6,10.5448
2019-7,11.7402
2019-8,11.1976
2019-9,9.22489
2019-10,8.47262
2019-11,6.58929
2019-12,5.47045
2019-13,4.76415
2019-14,4.03481
2019-15,3.49741
2019-16,3.08857
2019-17,2.92558
2019-18,2.49976
2019-19,2.44035
2019-20,2.69518
2019-21,2.46884
2019-22,2.33244
2019-23,2.08549
2019-24,1.81931
2019-25,1.78423
2019-26,1.8299
2019-27,1.78289
2019-28,1.85363
2019-29,1.73031
2019-30,1.7629
2019-31,1.74522
