time,wili
2010-40,0.357724
2010-41,0.434855
2010-42,0.421743
2010-43,0.338409
2010-44,0.176471
2010-45,0.356622
2010-46,0.520341
2010-47,0.617566
2010-48,0.347958
2010-49,0.435219
2010-50,0.341472
2010-51,0.59952
2010-52,0.644828
2011-1,0.509198
2011-2,0.471204
2011-3,0.75275
2011-4,1.03409
2011-5,1.47004
2011-6,1.57754
2011-7,2.27929
2011-8,1.92711
2011-9,1.90314
2011-10,1.20046
2011-11,1.0707
2011-12,0.860451
2011-13,0.793257
2011-14,0.723634
2011-15,0.644531
2011-16,0.563317
2011-17,0.46474
2011-18,0.49682
2011-19,0.508233
2011-20,0.370028
2011-21,0.519802
2011-22,0.643537
2011-23,0.442369
2011-24,0.403035
2011-25,0.365764
2011-26,0.466029
2011-27,0.873485
2011-28,0.59657
2011-29,0.604011
2011-30,0.450024
2011-31,0.36036
2011-32,0.417478
2011-33,0.481155
2011-34,0.471175
2011-35,0.60551
2011-36,0.602601
2011-37,0.402414
2011-38,0.423392
2011-39,0.390219
2011-40,0.387205
2011-41,0.474415
2011-42,0.451739
2011-43,0.645856
2011-44,0.397128
2011-45,0.707282
2011-46,0.47041
2011-47,0.541339
2011-48,0.542169
2011-49,0.559284
2011-50,0.546355
2011-51,0.563326
2011-52,0.56844
2012-1,0.406576
2012-2,0.535386
2012-3,0.324398
2012-4,0.538993
2012-5,0.344488
2012-6,0.406886
2012-7,0.478321
2012-8,0.540641
2012-9,0.394308
2012-10,0.32344
2012-11,0.182542
2012-12,0.528677
2012-13,0.369181
2012-14,0.291451
2012-15,0.470958
2012-16,0.402091
2012-17,0.192207
2012-18,0.345006
2012-19,0.520924
2012-20,0.227591
2012-21,0.181305
2012-22,0.568316
2012-23,0.337838
2012-24,0.0514536
2012-25,0.410722
2012-26,0.573248
2012-27,0.53916
2012-28,0.38236
2012-29,0.410284
2012-30,0.569307
2012-31,0.505723
2012-32,0.433342
2012-33,0.356961
2012-34,0.342917
2012-35,0.292154
2012-36,0.311676
2012-37,0.290939
2012-38,0.456919
2012-39,0.31348
2012-40,0.618897
2012-41,0.809474
2012-42,0.697181
2012-43,0.655308
2012-44,0.702751
2012-45,0.823677
2012-46,0.941248
2012-47,0.865344
2012-48,1.00782
2012-49,0.758035
2012-50,1.36778
2012-51,2.18264
2012-52,4.19098
2013-1,2.81891
2013-2,2.89363
2013-3,3.04298
2013-4,2.06863
2013-5,1.91816
2013-6,1.57348
2013-7,1.11177
2013-8,1.06507
2013-9,1.09103
2013-10,0.840619
2013-11,0.813899
2013-12,0.772201
2013-13,0.920051
2013-14,1.19685
2013-15,0.946657
2013-16,0.642398
2013-17,0.914989
2013-18,0.736772
2013-19,0.658979
2013-20,0.437637
2013-21,0.876168
2013-22,0.828609
2013-23,0.843961
2013-24,0.830532
2013-25,0.798199
2013-26,0.800821
2013-27,1.00416
2013-28,0.810437
2013-29,0.659472
2013-30,0.623903
2013-31,0.62383
2013-32,0.694728
2013-33,0.589072
2013-34,0.377059
2013-35,0.680272
2013-36,0.517435
2013-37,0.471311
2013-38,0.207756
2013-39,0.281258
2013-40,0.823958
2013-41,0.554468
2013-42,0.826162
2013-43,0.631413
2013-44,0.31428
2013-45,0.329075
2013-46,0.698273
2013-47,0.418493
