time,wili
2010-40,1.3192
2010-41,2.09879
2010-42,1.45439
2010-43,1.26769
2010-44,1.45386
2010-45,1.42159
2010-46,1.50014
2010-47,2.01258
2010-48,1.86342
2010-49,1.55109
2010-50,2.00849
2010-51,2.738
2010-52,3.6845
2011-1,2.27061
2011-2,2.36271
2011-3,4.12421
2011-4,3.80076
2011-5,4.0101
2011-6,3.65262
2011-7,3.05647
2011-8,2.62542
2011-9,2.14094
2011-10,1.99212
2011-11,1.66098
2011-12,1.77878
2011-13,1.22569
2011-14,1.57288
2011-15,1.94079
2011-16,1.95606
2011-17,1.05199
2011-18,1.13264
2011-19,1.01451
2011-20,0.850209
2011-21,1.2498
2011-22,0.889371
2011-23,1.41586
2011-24,1.78476
2011-25,1.20923
2011-26,1.21014
2011-27,2.39544
2011-28,1.28183
2011-29,1.20808
2011-30,2.37726
2011-31,1.723
2011-32,1.02555
2011-33,0.927578
2011-34,1.46699
2011-35,1.20512
2011-36,1.13186
2011-37,1.08325
2011-38,2.0957
2011-39,1.8797
2011-40,2.00724
2011-41,1.71179
2011-42,1.38594
2011-43,1.82885
2011-44,1.70014
2011-45,1.78451
2011-46,2.12593
2011-47,2.025
2011-48,1.9118
2011-49,1.72904
2011-50,2.04082
2011-51,2.48714
2011-52,2.63112
2012-1,1.91666
2012-2,1.89331
2012-3,2.18625
2012-4,2.04349
2012-5,1.96292
2012-6,2.63717
2012-7,2.76723
2012-8,1.88416
2012-9,3.16901
2012-10,2.47261
2012-11,3.90424
2012-12,2.09246
2012-13,2.02075
2012-14,1.62208
2012-15,1.39476
2012-16,1.1973
2012-17,1.56532
2012-18,2.57455
2012-19,3.54061
2012-20,1.30009
2012-21,2.15727
2012-22,0.2589
2012-23,3.3744
2012-24,6.8152
2012-25,8.11639
2012-26,5.17007
2012-27,6.77966
2012-28,7.54717
2012-29,6.71233
2012-30,5.69307
2012-31,6.6345
2012-32,6.74603
2012-33,5.6338
2012-34,5.59876
2012-35,5.64103
2012-36,6.31277
2012-37,4.87145
2012-38,2.50417
2012-39,3.43762
2012-40,1.08842
2012-41,1.22244
2012-42,0.974202
2012-43,0.609756
2012-44,1.36444
2012-45,1.187
2012-46,0.969659
2012-47,1.89411
2012-48,1.09847
2012-49,3.00338
2012-50,2.74794
2012-51,3.83902
2012-52,10.1205
2013-1,3.41351
2013-2,4.23557
2013-3,3.81307
2013-4,3.75483
2013-5,2.44738
2013-6,1.91896
2013-7,2.06293
2013-8,2.56122
2013-9,2.29801
2013-10,5.79103
2013-11,2.48607
2013-12,1.96761
2013-13,2.81526
2013-14,1.28833
2013-15,1.82949
2013-16,1.22677
2013-17,1.21983
2013-18,1.09759
2013-19,2.70944
2013-20,2.28534
2013-21,1.54024
2013-22,2.81875
2013-23,1.81881
2013-24,2.55084
2013-25,1.27612
2013-26,1.11429
2013-27,1.19643
2013-28,0.288739
2013-29,0.892061
2013-30,0.886474
2013-31,0.907354
2013-32,0.916466
2013-33,0.935925
2013-34,1.23343
2013-35,2.21441
2013-36,1.11243
2013-37,2.35627
2013-38,2.0801
2013-39,2.27848
2013-40,0.544569
2013-41,0.985784
2013-42,0.930275
2013-43,0.838383
2013-44,0.684679
2013-45,0.722491
2013-46,1.02634
2013-47,0.886032
2013-48,1.31439
2013-49,1.10348
2013-50,1.13908
2013-51,0.86881
2013-52,2.89608
2014-1,3.02808
2014-2,1.78191
2014-3,2.257
2014-4,2.07697
2014-5,2.00847
2014-6,2.28933
2014-7,1.95654
2014-8,1.37195
2014-9,1.40081
2014-10,1.22427
2014-11,0.858779
2014-12,1.07995
2014-13,1.01566
2014-14,1.44424
2014-15,1.32054
2014-16,1.02282
2014-17,1.01355
2014-18,0.82729
2014-19,0.813391
2014-20,1.00283
2014-21,1.08874
2014-22,0.729408
2014-23,0.631639
2014-24,0.630496
2014-25,0.665273
2014-26,0.4112
2014-27,0.822846
2014-28,1.78988
2014-29,0.689799
2014-30,0.41712
2014-31,0.345669
2014-32,0.452284
2014-33,1.55786
2014-34,0.411369
2014-35,0.579648
2014-36,0.795812
2014-37,2.13869
2014-38,2.05882
2014-39,1.55096
2014-40,1.01115
2014-41,0.966228
2014-42,0.857064
2014-43,0.957198
2014-44,1.12683
2014-45,0.925521
2014-46,0.855491
2014-47,1.76296
2014-48,1.71058
2014-49,1.89161
2014-50,2.38458
2014-51,3.41734
2014-52,4.59902
2015-1,5.94148
2015-2,2.78897
2015-3,2.56252
2015-4,2.51534
2015-5,2.25146
2015-6,1.77231
2015-7,1.414
2015-8,2.36195
2015-9,1.35629
2015-10,1.02528
2015-11,1.1649
2015-12,1.19675
2015-13,1.13963
2015-14,1.27111
2015-15,1.48556
2015-16,1.17882
2015-17,1.11855
2015-18,1.23155
2015-19,1.10579
2015-20,0.901155
2015-21,1.13001
2015-22,1.87553
2015-23,1.3738
2015-24,1.80365
2015-25,1.7341
2015-26,2.1826
2015-27,1.47186
2015-28,2.14266
2015-29,1.88399
2015-30,1.54211
2015-31,1.67691
2015-32,1.19101
2015-33,2.60994
2015-34,1.41663
2015-35,0.980597
2015-36,1.30884
2015-37,1.85274
2015-38,1.60536
2015-39,1.46268
2015-40,1.24585
2015-41,1.09231
2015-42,0.792553
2015-43,1.44368
2015-44,1.44254
2015-45,1.43698
2015-46,1.44607
2015-47,1.68539
2015-48,2.64002
2015-49,2.11117
2015-50,1.91238
2015-51,2.28471
2015-52,3.08793
2015-53,3.59815
2016-1,2.27929
2016-2,3.07626
2016-3,2.80927
2016-4,2.33088
2016-5,1.34237
2016-6,2.60127
2016-7,4.37746
2016-8,3.16991
2016-9,3.00395
2016-10,3.03093
2016-11,2.38066
2016-12,1.72097
2016-13,1.38378
2016-14,1.29988
2016-15,1.30955
2016-16,1.7459
2016-17,1.37531
2016-18,1.21282
2016-19,1.42426
2016-20,1.05696
2016-21,1.0372
2016-22,2.12127
2016-23,1.74346
2016-24,1.26864
2016-25,1.52132
2016-26,1.04889
2016-27,1.33616
2016-28,1.14296
2016-29,1.13331
2016-30,0.960384
2016-31,1.06149
2016-32,0.872905
2016-33,1.18644
2016-34,1.19639
2016-35,1.12604
2016-36,1.67745
2016-37,1.14029
2016-38,1.09962
2016-39,1.05951
2016-40,0.588424
2016-41,0.742727
2016-42,0.980293
