time,wili
2010-40,0.604621
2010-41,0.887866
2010-42,0.744806
2010-43,0.783721
2010-44,0.812421
2010-45,0.732931
2010-46,0.803486
2010-47,0.958095
2010-48,0.903185
2010-49,0.96749
2010-50,1.12005
2010-51,1.30649
2010-52,1.4601
2011-1,1.17914
2011-2,1.69167
2011-3,1.52558
2011-4,1.86385
2011-5,2.37127
2011-6,2.33142
2011-7,2.65215
2011-8,2.45628
2011-9,1.93807
2011-10,2.04345
2011-11,1.7797
2011-12,1.51078
2011-13,1.5324
2011-14,1.39126
2011-15,1.28155
2011-16,1.25237
2011-17,0.991172
2011-18,0.912764
2011-19,0.750159
2011-20,0.812329
2011-21,0.954948
2011-22,0.914855
2011-23,0.875651
2011-24,0.940344
2011-25,0.814392
2011-26,0.74462
2011-27,0.771683
2011-28,0.75144
2011-29,0.742563
2011-30,0.708665
2011-31,0.651452
2011-32,0.679427
2011-33,0.607253
2011-34,0.601852
2011-35,0.620629
2011-36,0.578256
2011-37,0.637241
2011-38,0.667404
2011-39,0.837664
2011-40,0.66041
2011-41,1.1542
2011-42,0.933121
2011-43,1.02051
2011-44,1.04637
2011-45,1.00595
2011-46,0.861159
2011-47,1.0905
2011-48,0.863095
2011-49,0.834838
2011-50,1.02838
2011-51,1.28386
2011-52,1.42879
2012-1,1.21609
2012-2,1.1987
2012-3,1.26084
2012-4,1.18723
2012-5,1.14915
2012-6,1.11612
2012-7,1.13318
2012-8,1.33153
2012-9,1.07928
2012-10,0.949091
2012-11,1.14416
2012-12,1.22723
2012-13,0.727152
2012-14,1.08321
2012-15,1.04011
2012-16,1.11602
2012-17,0.858855
2012-18,0.677064
2012-19,0.845924
2012-20,0.76155
2012-21,0.787836
2012-22,0.757944
2012-23,0.665867
2012-24,0.704399
2012-25,0.714846
2012-26,0.709729
2012-27,0.810509
2012-28,0.792868
2012-29,0.730055
2012-30,0.605759
2012-31,0.666173
2012-32,0.725729
2012-33,0.666134
2012-34,0.545568
2012-35,0.604953
2012-36,0.717645
2012-37,0.756898
2012-38,0.635544
2012-39,0.660707
2012-40,0.691073
2012-41,0.721036
2012-42,1.04728
2012-43,0.700902
2012-44,0.7902
2012-45,0.657702
2012-46,0.796016
2012-47,1.04441
2012-48,1.01617
2012-49,1.61812
2012-50,2.06913
2012-51,3.07478
2012-52,4.3606
2013-1,3.0003
2013-2,2.57992
2013-3,2.37227
2013-4,2.48898
2013-5,2.06795
2013-6,1.92758
2013-7,1.66667
2013-8,1.59041
2013-9,1.30838
2013-10,1.46923
2013-11,1.40283
2013-12,1.39068
2013-13,1.46828
2013-14,1.51658
2013-15,1.57023
2013-16,1.3764
2013-17,0.870495
2013-18,0.942834
2013-19,0.908136
2013-20,0.783969
2013-21,0.610074
2013-22,0.673816
2013-23,0.513891
2013-24,0.688924
2013-25,0.585076
2013-26,0.602236
2013-27,0.602604
2013-28,0.521329
2013-29,0.603887
2013-30,0.447231
2013-31,0.481348
2013-32,0.585331
2013-33,0.44635
2013-34,0.525904
2013-35,0.37996
2013-36,0.256022
2013-37,0.431389
2013-38,0.532184
2013-39,0.495255
2013-40,0.621216
2013-41,0.702243
2013-42,0.838235
2013-43,0.714331
2013-44,0.752864
2013-45,0.792602
2013-46,0.858244
2013-47,0.808617
2013-48,1.04882
2013-49,0.840584
2013-50,1.24387
2013-51,1.3106
2013-52,1.87773
2014-1,1.93805
2014-2,1.33203
2014-3,1.82443
2014-4,1.74202
2014-5,1.58231
2014-6,1.99802
2014-7,1.65155
2014-8,1.45711
2014-9,1.2469
2014-10,1.3024
2014-11,1.27717
2014-12,1.50866
2014-13,1.37952
2014-14,1.68397
2014-15,1.89628
2014-16,1.54012
2014-17,1.39503
2014-18,1.01512
2014-19,1.07308
2014-20,1.00655
2014-21,0.749749
2014-22,0.708627
2014-23,0.757277
2014-24,0.717355
2014-25,0.662935
2014-26,0.778862
2014-27,0.84533
2014-28,0.603396
2014-29,0.601338
2014-30,0.579598
2014-31,0.481064
2014-32,0.500134
2014-33,0.552634
2014-34,0.468604
2014-35,0.489302
2014-36,0.612085
2014-37,0.575474
2014-38,0.564925
2014-39,0.664808
2014-40,0.618429
2014-41,0.706026
2014-42,0.784763
2014-43,0.605295
2014-44,0.740407
2014-45,0.943831
2014-46,0.881402
2014-47,0.938086
2014-48,1.09112
2014-49,1.00662
2014-50,1.26052
2014-51,1.43959
2014-52,2.27933
2015-1,2.01187
2015-2,1.76238
2015-3,2.46778
2015-4,3.55623
2015-5,2.97916
2015-6,2.45614
2015-7,2.16851
2015-8,1.5576
2015-9,1.13747
2015-10,1.45583
2015-11,1.50027
2015-12,1.50587
2015-13,1.56529
2015-14,1.52827
2015-15,1.37273
2015-16,1.47236
2015-17,1.32892
2015-18,0.94502
2015-19,0.948982
2015-20,0.744121
2015-21,0.757729
2015-22,0.919678
2015-23,0.730572
2015-24,0.869925
2015-25,0.695212
2015-26,0.739986
2015-27,0.810289
2015-28,0.639635
2015-29,0.578848
2015-30,0.618067
2015-31,0.60925
2015-32,0.575323
2015-33,0.582876
2015-34,0.563607
2015-35,0.666414
2015-36,0.528587
2015-37,0.662703
2015-38,0.681726
2015-39,0.629266
2015-40,0.407127
2015-41,0.790429
2015-42,0.643767
2015-43,0.733375
2015-44,0.589921
2015-45,0.667916
2015-46,0.672289
2015-47,0.645367
2015-48,0.869205
2015-49,0.793021
2015-50,0.811212
2015-51,0.791949
2015-52,1.31384
2015-53,1.24224
2016-1,1.03824
2016-2,1.09204
2016-3,1.25813
2016-4,1.43077
2016-5,1.61123
2016-6,1.49574
2016-7,1.57182
2016-8,1.57617
2016-9,1.75215
2016-10,2.58081
2016-11,2.22927
2016-12,1.9326
2016-13,1.92072
2016-14,1.53833
2016-15,1.36795
2016-16,1.57377
2016-17,0.997163
2016-18,0.958786
2016-19,0.834063
2016-20,0.807351
2016-21,0.835339
2016-22,0.582216
2016-23,0.837011
2016-24,0.580504
2016-25,0.494651
2016-26,0.454519
2016-27,0.488679
2016-28,0.426677
2016-29,0.427722
2016-30,0.414841
2016-31,0.389268
2016-32,0.333677
2016-33,0.465679
2016-34,0.406466
2016-35,0.356064
2016-36,0.477624
2016-37,0.565901
2016-38,0.587343
2016-39,0.487732
2016-40,0.61873
2016-41,0.538175
2016-42,0.677688
2016-43,0.630021
2016-44,0.767178
2016-45,0.679392
2016-46,0.807039
2016-47,0.847225
2016-48,0.691585
2016-49,0.871126
2016-50,1.01981
2016-51,1.1781
2016-52,1.55035
2017-1,1.34451
2017-2,1.32576
2017-3,1.51277
2017-4,1.79816
2017-5,2.23652
2017-6,2.73075
2017-7,2.4473
2017-8,2.53476
2017-9,1.63971
2017-10,1.67908
2017-11,1.78344
2017-12,1.82552
2017-13,2.02522
2017-14,2.10917
2017-15,1.72087
2017-16,1.27052
2017-17,0.896083
2017-18,0.704576
2017-19,0.754067
2017-20,0.820463
2017-21,0.677286
2017-22,0.757756
2017-23,0.667514
2017-24,0.708397
2017-25,0.618827
2017-26,0.430416
2017-27,0.570147
2017-28,0.493495
2017-29,0.417622
2017-30,0.374759
2017-31,0.443755
2017-32,0.462233
2017-33,0.479541
2017-34,0.446002
2017-35,0.395121
2017-36,0.416378
2017-37,0.555258
2017-38,0.557541
2017-39,0.531195
2017-40,0.68067
2017-41,0.891701
2017-42,0.807923
2017-43,0.9611
2017-44,0.995875
2017-45,1.20766
2017-46,1.27454
2017-47,1.66174
2017-48,1.39196
2017-49,1.51453
2017-50,1.72312
2017-51,2.10554
2017-52,3.11497
2018-1,2.86885
2018-2,2.29335
2018-3,3.16612
2018-4,3.89597
2018-5,5.48851
2018-6,5.42233
2018-7,5.06878
2018-8,4.61404
2018-9,3.00361
2018-10,2.39857
2018-11,2.31978
2018-12,1.75298
2018-13,1.82193
2018-14,1.92668
2018-15,1.84517
2018-16,1.65541
2018-17,1.30076
2018-18,1.20893
2018-19,1.05451
2018-20,1.01591
2018-21,1.07181
2018-22,0.89777
2018-23,0.685467
2018-24,0.650836
2018-25,0.695557
2018-26,0.719451
2018-27,0.703415
2018-28,0.802852
2018-29,0.657088
2018-30,0.667453
2018-31,0.564083
2018-32,0.655524
2018-33,0.689191
2018-34,0.71071
2018-35,0.717829
2018-36,0.862194
2018-37,0.92219
2018-38,1.00915
2018-39,1.0465
2018-40,1.00768
2018-41,1.16488
2018-42,1.27304
2018-43,1.14343
2018-44,1.11881
2018-45,1.2139
2018-46,1.1907
2018-47,1.63042
2018-48,1.39094
2018-49,1.50652
2018-50,1.68937
2018-51,2.26225
2018-52,3.31652
2019-1,3.20163
2019-2,2.9033
2019-3,3.03269
2019-4,3.16343
2019-5,3.20346
2019-6,3.47899
2019-7,2.92797
2019-8,3.20875
2019-9,2.44278
2019-10,2.32792
2019-11,2.40205
2019-12,2.23867
2019-13,2.37729
2019-14,2.31118
2019-15,2.18194
2019-16,1.91586
2019-17,1.40275
2019-18,1.32288
2019-19,1.11937
2019-20,1.2373
2019-21,1.10627
2019-22,1.34998
2019-23,1.00537
2019-24,0.858033
2019-25,0.825837
2019-26,0.839302
2019-27,0.774005
2019-28,0.584899
2019-29,0.60269
2019-30,0.573841
2019-31,0.620963
