time,wili
2010-40,0.671831
2010-41,0.585011
2010-42,0.524238
2010-43,0.921435
2010-44,0.863417
2010-45,0.806639
2010-46,0.655481
2010-47,0.855178
2010-48,0.564609
2010-49,0.563399
2010-50,0.755685
2010-51,0.683919
2010-52,0.899631
2011-1,0.687039
2011-2,0.833662
2011-3,1.0462
2011-4,1.59031
2011-5,1.73742
2011-6,2.27731
2011-7,2.29611
2011-8,2.71023
2011-9,2.1339
2011-10,2.18373
2011-11,1.70829
2011-12,1.31108
2011-13,1.08931
2011-14,0.834344
2011-15,0.558727
2011-16,0.640349
2011-17,0.49864
2011-18,0.556691
2011-19,0.584429
2011-20,0.840106
2011-21,0.527108
2011-22,0.542265
2011-23,0.53505
2011-24,0.55197
2011-25,0.482464
2011-26,0.616509
2011-27,0.580739
2011-28,0.431365
2011-29,0.385826
2011-30,0.299341
2011-31,0.564738
2011-32,0.433866
2011-33,0.430946
2011-34,0.493612
2011-35,0.696587
2011-36,0.679423
2011-37,0.542495
2011-38,0.440233
2011-39,0.653808
2011-40,0.600171
2011-41,0.606742
2011-42,0.571845
2011-43,0.514484
2011-44,0.677397
2011-45,0.671595
2011-46,0.527357
2011-47,0.654552
2011-48,0.516951
2011-49,0.556167
2011-50,0.702562
2011-51,0.6634
2011-52,0.723831
2012-1,0.604131
2012-2,0.630453
2012-3,0.679524
2012-4,0.759094
2012-5,1.04344
2012-6,0.763035
2012-7,1.03808
2012-8,0.942744
2012-9,1.11641
2012-10,1.47622
2012-11,1.65565
2012-12,1.10076
2012-13,0.679728
2012-14,0.739247
2012-15,0.711864
2012-16,0.577485
2012-17,0.573425
2012-18,0.893012
2012-19,0.825334
2012-20,0.746057
2012-21,0.531247
2012-22,0.569692
2012-23,0.549048
2012-24,0.54594
2012-25,0.642317
2012-26,0.178498
2012-27,0.828325
2012-28,0.588443
2012-29,0.43684
2012-30,0.513141
2012-31,0.541191
2012-32,0.356158
2012-33,0.509697
2012-34,0.589864
2012-35,0.503889
2012-36,0.618407
2012-37,0.456802
2012-38,0.54334
2012-39,0.304569
2012-40,0.849218
2012-41,0.923707
2012-42,1.00627
2012-43,0.770931
2012-44,1.13607
2012-45,1.01608
2012-46,1.33071
2012-47,1.45055
2012-48,1.24331
2012-49,1.45087
2012-50,1.8124
2012-51,2.94965
2012-52,4.8137
2013-1,4.43242
2013-2,3.87657
2013-3,4.07978
2013-4,4.42058
2013-5,3.39719
2013-6,3.4188
2013-7,2.95892
2013-8,2.66819
2013-9,2.69076
2013-10,2.39333
2013-11,2.84375
2013-12,2.46751
2013-13,1.98939
2013-14,1.79514
2013-15,1.58921
2013-16,1.47816
2013-17,1.39788
2013-18,0.989528
2013-19,1.32419
2013-20,1.11895
2013-21,1.31349
2013-22,1.74044
2013-23,1.5665
2013-24,1.17882
2013-25,1.56589
2013-26,1.45393
2013-27,1.86465
2013-28,1.26174
2013-29,1.61791
2013-30,1.17672
2013-31,1.20076
2013-32,0.963801
2013-33,1.13792
2013-34,1.10357
2013-35,1.3688
2013-36,1.20918
2013-37,1.71218
2013-38,1.775
2013-39,1.18761
2013-40,1.1005
2013-41,1.1484
2013-42,1.27306
2013-43,1.07441
2013-44,1.15028
2013-45,1.35071
2013-46,1.4787
2013-47,1.4711
2013-48,2.41871
2013-49,2.14276
2013-50,1.881
2013-51,2.44917
2013-52,3.35632
2014-1,3.56317
2014-2,3.15222
2014-3,2.44761
2014-4,2.5653
2014-5,2.40028
2014-6,2.33985
2014-7,2.38357
2014-8,2.53917
2014-9,1.90937
2014-10,2.25215
2014-11,2.0962
2014-12,2.02663
2014-13,1.71558
2014-14,1.65936
2014-15,1.3891
2014-16,1.15602
2014-17,0.955642
2014-18,1.08984
2014-19,1.1358
2014-20,1.08848
2014-21,1.15321
2014-22,0.990553
2014-23,1.01219
2014-24,1.09414
2014-25,0.985389
2014-26,0.944783
2014-27,1.38702
2014-28,0.463807
2014-29,0.472016
2014-30,0.544107
2014-31,0.511623
2014-32,0.928621
2014-33,0.804327
2014-34,0.522759
2014-35,0.707117
2014-36,0.411734
2014-37,0.495091
2014-38,0.666009
2014-39,0.786535
2014-40,0.320957
2014-41,0.270187
2014-42,0.394187
2014-43,0.443656
2014-44,0.494181
2014-45,0.650309
2014-46,0.54948
2014-47,0.563518
2014-48,0.897997
2014-49,0.936288
2014-50,2.0382
2014-51,2.88557
2014-52,4.93178
2015-1,4.09173
2015-2,2.35103
2015-3,2.09382
2015-4,1.89619
2015-5,1.25583
2015-6,1.22715
2015-7,1.13235
2015-8,1.3043
2015-9,0.802958
2015-10,0.967417
2015-11,0.891856
2015-12,1.0895
2015-13,0.97011
2015-14,0.661841
2015-15,1.1732
2015-16,0.74747
2015-17,0.610856
2015-18,0.646174
2015-19,0.442288
2015-20,0.373134
2015-21,0.394333
2015-22,0.374336
2015-23,0.318134
2015-24,0.157691
2015-25,0.132769
2015-26,0.111867
2015-27,0.133662
2015-28,0.336178
2015-29,0.243902
2015-30,0.0953743
2015-31,0.332478
2015-32,0.240964
2015-33,0.284437
2015-34,0.268924
2015-35,0.143258
2015-36,0.223573
2015-37,0.181549
2015-38,0.298647
2015-39,0.208333
2015-40,0.281641
2015-41,0.679905
2015-42,0.682377
2015-43,0.655234
2015-44,0.722036
2015-45,0.835379
2015-46,0.816032
2015-47,0.781501
2015-48,0.754856
2015-49,0.653595
2015-50,0.731161
2015-51,0.905253
2015-52,0.905545
2015-53,0.94131
2016-1,0.953501
2016-2,0.687134
2016-3,0.898847
2016-4,0.842919
2016-5,1.01783
2016-6,1.37645
2016-7,1.7294
2016-8,2.39001
2016-9,2.6582
2016-10,2.73456
2016-11,2.33998
2016-12,2.18061
2016-13,1.991
2016-14,1.24723
2016-15,1.46172
2016-16,1.12651
2016-17,1.07665
2016-18,0.865389
2016-19,0.887623
2016-20,0.653622
2016-21,0.594686
2016-22,0.470475
2016-23,0.471162
2016-24,0.321743
2016-25,0.357244
2016-26,0.367341
2016-27,0.301872
2016-28,0.401338
2016-29,0.285836
2016-30,0.221239
2016-31,0.309345
2016-32,0.403105
2016-33,0.300535
2016-34,0.434945
2016-35,0.425844
2016-36,0.366229
2016-37,0.368489
2016-38,0.857128
2016-39,0.839074
2016-40,0.858584
2016-41,0.931407
2016-42,1.26664
2016-43,1.25542
2016-44,1.63981
2016-45,1.63886
2016-46,1.6545
2016-47,1.52157
2016-48,1.08338
2016-49,1.86207
2016-50,1.7306
2016-51,2.12636
2016-52,2.35249
2017-1,2.18288
2017-2,2.15291
2017-3,2.14959
2017-4,2.3959
2017-5,3.16458
2017-6,3.71318
2017-7,4.60287
2017-8,4.28887
2017-9,3.26298
2017-10,3.48875
2017-11,3.26327
2017-12,3.21732
2017-13,2.69803
2017-14,1.86882
2017-15,1.45771
2017-16,1.3616
2017-17,1.1713
2017-18,0.91615
2017-19,0.951728
2017-20,1.0448
2017-21,0.770612
2017-22,0.820838
2017-23,0.645329
2017-24,0.639423
2017-25,0.616925
2017-26,0.614478
2017-27,0.679198
2017-28,0.508587
2017-29,0.400102
2017-30,0.459694
2017-31,0.471632
2017-32,0.32346
2017-33,0.441067
2017-34,0.52302
2017-35,0.726744
2017-36,0.982736
2017-37,0.876686
2017-38,1.14291
2017-39,1.21513
2017-40,1.05751
2017-41,1.18879
2017-42,1.34334
2017-43,1.37719
2017-44,1.24986
2017-45,1.5819
2017-46,1.50287
2017-47,1.86769
2017-48,1.57373
2017-49,1.87036
2017-50,2.2088
2017-51,2.75099
2017-52,3.50053
2018-1,2.95998
2018-2,4.01351
2018-3,4.90567
2018-4,5.23913
2018-5,5.63008
2018-6,5.20407
2018-7,3.99642
2018-8,3.41734
2018-9,3.03726
2018-10,2.30343
2018-11,1.73361
2018-12,2.1294
2018-13,2.28985
2018-14,1.81941
2018-15,1.6067
2018-16,1.41202
2018-17,1.26615
2018-18,0.650815
2018-19,0.851772
2018-20,0.655625
2018-21,0.626449
2018-22,0.507725
2018-23,0.393722
2018-24,0.723549
2018-25,0.405308
2018-26,0.449884
2018-27,0.37167
2018-28,0.330374
2018-29,0.260573
2018-30,0.39804
2018-31,0.508406
2018-32,0.298011
2018-33,0.394685
2018-34,0.492295
2018-35,0.435664
2018-36,0.981798
2018-37,1.19304
2018-38,1.54953
2018-39,1.536
2018-40,1.02859
2018-41,1.07104
2018-42,1.08728
2018-43,1.1997
2018-44,1.1542
2018-45,1.36638
2018-46,1.45076
2018-47,1.67806
2018-48,1.4829
2018-49,1.37479
2018-50,1.61228
2018-51,2.44056
2018-52,2.35068
2019-1,1.88872
2019-2,1.61182
2019-3,1.92351
2019-4,2.12726
2019-5,1.74689
2019-6,1.70741
2019-7,1.87009
2019-8,1.79781
2019-9,2.2047
2019-10,2.30652
2019-11,2.946
2019-12,3.21496
2019-13,2.68487
2019-14,2.23459
2019-15,1.54339
2019-16,1.47487
2019-17,1.09926
2019-18,0.951352
2019-19,0.983813
2019-20,0.888793
2019-21,0.714838
2019-22,0.693371
2019-23,0.630777
2019-24,0.581023
2019-25,0.381738
2019-26,0.491091
2019-27,0.352248
2019-28,0.304994
2019-29,0.146393
2019-30,0.355437
2019-31,0.328003
