time,wili
2010-40,0.5748
2010-41,0.541293
2010-42,0.521162
2010-43,0.637716
2010-44,0.805802
2010-45,0.82012
2010-46,0.702763
2010-47,1.10096
2010-48,0.855418
2010-49,0.584334
2010-50,1.16119
2010-51,1.0122
2010-52,1.10533
2011-1,1.37079
2011-2,1.06915
2011-3,1.83651
2011-4,1.98138
2011-5,2.56631
2011-6,2.51155
2011-7,3.1493
2011-8,2.98699
2011-9,3.23099
2011-10,2.84067
2011-11,2.80579
2011-12,2.38585
2011-13,2.18437
2011-14,2.04599
2011-15,1.40235
2011-16,1.32867
2011-17,1.01429
2011-18,0.588957
2011-19,0.582165
2011-20,0.756474
2011-21,0.59795
2011-22,0.524738
2011-23,0.523722
2011-24,0.436554
2011-25,0.811416
2011-26,0.334753
2011-27,0.936262
2011-28,0.358423
2011-29,0.468604
2011-30,0.16116
2011-31,0.562676
2011-32,0.362538
2011-33,0.950119
2011-34,0.56164
2011-35,0.761773
2011-36,0.646478
2011-37,1.0107
2011-38,1.0989
2011-39,1.75369
2011-40,0.694883
2011-41,0.848806
2011-42,1.55971
2011-43,1.06683
2011-44,1.55469
2011-45,1.66825
2011-46,1.2756
2011-47,1.94514
2011-48,1.34722
2011-49,1.26777
2011-50,1.32592
2011-51,2.1711
2011-52,3.25009
2012-1,1.80741
2012-2,1.66667
2012-3,1.16015
2012-4,1.48064
2012-5,1.65403
2012-6,1.70083
2012-7,1.77976
2012-8,1.825
2012-9,2.11864
2012-10,1.99723
2012-11,2.28088
2012-12,2.41331
2012-13,1.74662
2012-14,1.91069
2012-15,1.55039
2012-16,1.27344
2012-17,1.29018
2012-18,1.64442
2012-19,1.76962
2012-20,1.36265
2012-21,0.529942
2012-22,0.694225
2012-23,0.75266
2012-24,0.705467
2012-25,0.383142
2012-26,0.898802
2012-27,1.02547
2012-28,0.765373
2012-29,0.467897
2012-30,0.676956
2012-31,0.709906
2012-32,0.659898
2012-33,0.278862
2012-34,0.475059
2012-35,0.300996
2012-36,0.431144
2012-37,0.641711
2012-38,0.704225
2012-39,0.649491
2012-40,0.871795
2012-41,0.483092
2012-42,0.556816
2012-43,0.598555
2012-44,0.765358
2012-45,0.730519
2012-46,0.61894
2012-47,1.05714
2012-48,0.966879
2012-49,0.953961
2012-50,1.78823
2012-51,3.05277
2012-52,6.67769
2013-1,5.54971
2013-2,4.0914
2013-3,3.07692
2013-4,2.86423
2013-5,2.67437
2013-6,3.01697
2013-7,2.63502
2013-8,1.77297
2013-9,1.64868
2013-10,1.71015
2013-11,2.04417
2013-12,1.06414
2013-13,1.07527
2013-14,0.707808
2013-15,0.863371
2013-16,1.23119
2013-17,0.729927
2013-18,0.860737
2013-19,0.509613
2013-20,0.61263
2013-21,0.687548
2013-22,0.567503
2013-23,0.631912
2013-24,0.664084
2013-25,0.121212
2013-26,0.574413
2013-27,1.09127
2013-28,0.449438
2013-29,0.490463
2013-30,0.680094
2013-31,0.607983
2013-32,0.509626
2013-33,0.829099
2013-34,0.750939
2013-35,0.769804
2013-36,0.117786
2013-37,0.126904
2013-38,0.0637552
2013-39,0.125905
2013-40,0.259572
2013-41,0.660264
2013-42,0.510856
2013-43,1.12782
2013-44,1.32789
2013-45,0.953188
2013-46,0.463714
2013-47,0.376189
2013-48,1.08668
2013-49,1.17106
2013-50,0.904621
2013-51,2.01371
2013-52,3.51852
2014-1,3.34739
2014-2,2.51268
2014-3,3.1093
2014-4,3.26496
2014-5,2.53456
2014-6,2.15726
2014-7,2.13796
2014-8,2.65642
2014-9,1.96669
2014-10,2.27225
2014-11,1.88838
2014-12,2.06639
2014-13,1.7914
2014-14,2.11676
2014-15,1.33506
2014-16,1.2565
2014-17,1.56118
2014-18,1.73495
2014-19,1.3382
2014-20,1.41359
2014-21,1.82819
2014-22,0.137221
2014-23,1.11949
2014-24,0.840116
2014-25,0.861829
2014-26,1.02194
2014-27,0.765931
2014-28,0.893796
2014-29,0.693518
2014-30,0.408677
2014-31,0.847458
2014-32,0.478334
2014-33,1.02477
2014-34,0.624321
2014-35,0.564668
2014-36,1.28317
2014-37,1.03321
2014-38,1.42687
2014-39,0.631821
2014-40,0.766983
2014-41,0.754446
2014-42,0.892164
2014-43,0.856198
2014-44,0.826598
2014-45,0.827719
2014-46,0.775054
2014-47,1.41224
2014-48,1.30183
2014-49,1.70758
2014-50,4.53885
2014-51,5.72078
2014-52,7.85111
2015-1,5.72185
2015-2,3.64327
2015-3,3.23494
2015-4,3.62635
2015-5,2.74324
2015-6,2.77726
2015-7,2.23289
2015-8,2.31372
2015-9,2.04648
2015-10,2.36808
2015-11,2.59921
2015-12,2.75626
2015-13,4.12833
2015-14,2.74203
2015-15,2.05597
2015-16,2.53521
2015-17,1.56617
2015-18,1.45709
2015-19,1.06451
2015-20,1.00184
2015-21,1.60404
2015-22,0.700935
2015-23,0.974704
2015-24,1.16138
2015-25,0.69025
2015-26,0.651042
2015-27,0.840564
2015-28,0.710702
2015-29,0.754636
2015-30,0.785469
2015-31,0.566572
2015-32,1.00865
2015-33,0.99734
2015-34,0.831328
2015-35,1.17915
2015-36,0.72381
2015-37,0.527958
2015-38,0.393332
2015-39,0.78256
2015-40,0.815059
2015-41,0.597213
2015-42,1.17073
2015-43,0.78125
2015-44,0.831601
2015-45,1.2874
2015-46,1.10984
2015-47,1.49593
2015-48,1.94823
2015-49,0.920578
2015-50,1.80049
2015-51,1.54377
2015-52,2.84483
2015-53,1.93642
2016-1,0.556836
2016-2,0.58096
2016-3,0.676788
2016-4,0.762547
2016-5,1.00438
2016-6,1.11789
2016-7,2.73241
2016-8,2.65649
2016-9,3.09101
2016-10,4.07295
2016-11,2.50569
2016-12,2.23573
2016-13,1.42236
2016-14,1.66983
2016-15,1.60559
2016-16,1.6936
2016-17,2.1065
2016-18,0.953895
2016-19,1.47287
2016-20,0.770626
2016-21,0.589319
2016-22,0.614125
2016-23,0.558919
2016-24,0.527325
2016-25,0.56899
2016-26,0.475813
2016-27,0.266193
2016-28,0.324826
2016-29,0.644202
2016-30,0.879567
2016-31,0.674252
2016-32,0.578947
2016-33,0.905701
2016-34,0.880503
2016-35,0.634115
2016-36,1.11016
2016-37,0.672394
2016-38,1.18748
2016-39,0.803213
2016-40,1.35371
2016-41,1.35184
2016-42,1.05163
2016-43,1.54139
2016-44,0.778458
2016-45,0.673854
2016-46,0.954766
2016-47,1.0981
2016-48,1.52593
2016-49,1.10247
2016-50,1.18233
2016-51,2.19521
2016-52,2.33905
2017-1,2.27992
2017-2,2.34944
2017-3,3.40085
2017-4,3.3874
2017-5,3.44587
2017-6,4.41595
2017-7,4.54856
2017-8,4.61632
2017-9,3.02862
2017-10,3.58261
2017-11,2.78864
2017-12,3.01904
2017-13,3.16175
2017-14,3.30335
2017-15,2.76616
2017-16,2.92533
2017-17,2.43869
2017-18,2.14699
2017-19,2.20834
2017-20,1.85063
2017-21,1.34168
2017-22,1.04428
2017-23,0.805861
2017-24,0.722311
2017-25,1.27753
2017-26,0.744359
2017-27,0.633756
2017-28,0.811542
2017-29,1.12544
2017-30,1.19541
2017-31,0.935673
2017-32,0.947977
2017-33,1.09426
2017-34,0.736607
2017-35,0.623182
2017-36,0.567823
2017-37,1.00271
2017-38,0.702494
2017-39,1.16713
2017-40,1.42651
2017-41,1.43321
2017-42,1.42129
2017-43,1.24153
2017-44,1.36721
2017-45,1.42363
2017-46,1.64262
2017-47,1.6596
2017-48,1.47341
2017-49,2.15039
2017-50,2.30408
2017-51,2.93532
2017-52,3.63548
2018-1,4.23372
2018-2,5.06469
2018-3,5.81178
2018-4,6.31986
2018-5,6.45955
2018-6,6.73487
2018-7,5.68824
2018-8,5.32849
2018-9,4.47309
2018-10,4.63972
2018-11,3.55812
2018-12,2.84749
2018-13,2.64463
2018-14,1.82134
2018-15,2.14578
2018-16,2.25527
2018-17,1.87617
2018-18,1.83958
2018-19,1.64524
2018-20,1.30801
2018-21,1.06858
2018-22,0.854191
2018-23,0.545384
2018-24,0.327439
2018-25,0.702487
2018-26,0.843143
2018-27,0.443022
2018-28,0.526712
2018-29,0.8449
2018-30,0.633762
2018-31,0.904243
2018-32,0.095057
2018-33,0.304136
2018-34,0.107066
2018-35,0.317965
2018-36,0.962696
2018-37,1.28068
2018-38,1.16649
2018-39,1.03635
2018-40,1.28562
2018-41,1.71591
2018-42,1.39559
2018-43,1.53928
2018-44,2.24719
2018-45,1.75836
2018-46,1.84595
2018-47,2.20573
2018-48,2.08246
2018-49,1.89865
2018-50,2.67372
2018-51,2.58014
2018-52,3.40117
2019-1,3.27022
2019-2,4.74847
2019-3,3.21409
2019-4,3.79504
2019-5,3.77994
2019-6,3.25786
2019-7,3.4634
2019-8,3.72245
2019-9,3.3982
2019-10,3.59236
2019-11,3.56018
2019-12,3.03359
2019-13,2.28605
2019-14,2.41452
2019-15,2.2887
2019-16,2.14939
2019-17,2.42341
2019-18,2.12146
2019-19,1.7609
2019-20,2.34334
2019-21,2.13172
2019-22,2.17438
2019-23,1.80633
2019-24,1.21308
2019-25,1.46803
2019-26,1.25623
2019-27,1.40731
2019-28,0.767039
2019-29,0.630915
2019-30,1.11401
2019-31,0.228311
