time,wili
2010-40,2.9098
2010-41,2.97075
2010-42,2.98141
2010-43,3.14804
2010-44,3.3557
2010-45,3.93095
2010-46,4.46575
2010-47,4.83811
2010-48,4.88509
2010-49,5.33836
2010-50,8.81573
2010-51,10.8166
2010-52,9.03389
2011-1,6.75844
2011-2,5.94459
2011-3,6.62632
2011-4,6.58129
2011-5,6.80856
2011-6,6.14754
2011-7,5.96418
2011-8,5.0174
2011-9,4.25786
2011-10,4.01552
2011-11,3.77297
2011-12,3.04018
2011-13,3.35792
2011-14,3.13642
2011-15,3.1314
2011-16,2.85882
2011-17,2.72215
2011-18,2.32148
2011-19,2.40229
2011-20,2.18672
2011-21,2.27182
2011-22,2.40786
2011-23,2.13416
2011-24,1.88371
2011-25,1.8323
2011-26,1.63593
2011-27,1.7163
2011-28,1.64122
2011-29,1.83892
2011-30,1.51907
2011-31,1.46256
2011-32,1.61967
2011-33,1.95423
2011-34,2.57653
2011-35,2.05144
2011-36,2.48053
2011-37,2.35249
2011-38,2.43185
2011-39,2.79782
2011-40,2.62725
2011-41,2.59877
2011-42,2.61265
2011-43,2.69223
2011-44,2.85042
2011-45,3.22581
2011-46,3.53311
2011-47,2.8728
2011-48,3.36865
2011-49,4.28481
2011-50,3.77676
2011-51,3.97266
2011-52,4.14514
2012-1,2.97906
2012-2,3.46842
2012-3,3.05138
2012-4,3.17245
2012-5,4.15225
2012-6,4.07314
2012-7,3.86596
2012-8,3.83416
2012-9,4.67671
2012-10,5.17955
2012-11,5.32075
2012-12,4.37794
2012-13,4.1368
2012-14,3.82471
2012-15,3.21383
2012-16,2.77607
2012-17,2.9274
2012-18,3.18757
2012-19,3.09789
2012-20,3.35361
2012-21,3.72832
2012-22,2.77309
2012-23,2.96261
2012-24,2.84244
2012-25,1.93061
2012-26,2.54899
2012-27,2.21041
2012-28,2.04362
2012-29,2.06145
2012-30,2.77476
2012-31,3.34141
2012-32,2.56314
2012-33,2.02938
2012-34,2.32719
2012-35,2.83371
2012-36,2.40038
2012-37,2.16875
