time,wili
2010-40,1.10176
2010-41,0.930521
2010-42,0.98989
2010-43,0.959713
2010-44,1.16768
2010-45,1.22374
2010-46,1.20367
2010-47,1.41407
2010-48,1.56732
2010-49,1.37036
2010-50,1.41003
2010-51,2.34292
2010-52,2.68029
2011-1,2.12687
2011-2,2.35408
2011-3,2.2551
2011-4,3.66952
2011-5,5.05806
2011-6,4.89771
2011-7,6.10616
2011-8,5.4344
2011-9,3.89713
2011-10,4.21369
2011-11,2.54097
2011-12,2.44453
2011-13,1.99634
2011-14,1.61195
2011-15,1.33698
2011-16,0.99348
2011-17,0.711214
2011-18,0.603942
2011-19,0.901051
2011-20,0.717913
2011-21,0.804039
2011-22,0.0808407
2011-23,0.103448
2011-24,0.03885
2011-25,0.315831
2011-26,0.109131
2011-27,0.162668
2011-28,0.109569
2011-29,0.0745156
2011-30,0.0380807
2011-31,0.122599
2011-32,0.0385802
2011-33,0.0346861
2011-34,0.0318167
2011-35,0.141603
2011-36,0.247219
2011-37,0.254813
2011-38,0.270433
2011-39,0.161421
2011-40,0.900155
2011-41,0.831085
2011-42,0.718889
2011-43,0.690193
2011-44,0.944003
2011-45,0.678149
2011-46,1.08447
2011-47,1.18463
2011-48,1.02662
2011-49,0.885827
2011-50,1.33616
2011-51,1.27138
2011-52,1.94731
2012-1,1.82245
2012-2,1.74426
2012-3,1.62369
2012-4,2.24756
2012-5,3.48837
2012-6,3.79789
2012-7,4.36207
2012-8,4.11684
2012-9,4.39352
2012-10,3.97808
2012-11,3.36105
2012-12,1.97747
2012-13,1.19574
2012-14,0.798828
2012-15,0.838245
2012-16,0.650325
2012-17,0.723914
2012-18,0.682325
2012-19,0.222816
2012-20,0.184049
2012-21,0.124224
2012-22,0.25878
2012-23,0.0947867
2012-24,0.0001
2012-25,0.0001
2012-26,0.0614817
2012-27,0.0001
2012-28,0.234035
2012-29,0.193361
2012-30,0.0644538
2012-31,0.0325521
2012-32,0.0629525
2012-33,0.146628
2012-34,0.121007
2012-35,0.0463392
2012-36,0.224909
2012-37,0.406688
2012-38,0.133958
2012-39,0.639269
2012-40,1.09343
2012-41,1.15393
2012-42,1.59635
2012-43,1.38299
2012-44,1.38699
2012-45,2.01608
2012-46,2.45792
2012-47,3.53357
2012-48,3.07673
2012-49,2.97351
2012-50,3.49486
2012-51,4.7619
2012-52,6.97715
2013-1,5.2717
2013-2,4.59826
2013-3,4.42954
2013-4,4.89124
2013-5,4.95706
2013-6,4.4439
2013-7,3.33773
2013-8,3.15217
2013-9,2.36915
2013-10,2.59259
2013-11,2.10808
2013-12,1.81256
2013-13,1.86999
2013-14,1.2985
2013-15,1.25548
2013-16,0.901675
2013-17,1.24487
2013-18,0.918209
2013-19,0.839965
2013-20,0.52705
2013-21,0.816168
2013-22,0.743633
2013-23,0.209351
2013-24,0.211045
2013-25,0.236327
2013-26,0.074184
2013-27,0.040783
2013-28,0.0352113
2013-29,0.0759013
2013-30,0.0001
2013-31,0.0773994
2013-32,0.0680504
2013-33,0.095057
2013-34,0.105263
2013-35,0.081389
2013-36,0.306279
2013-37,0.337838
2013-38,0.431566
2013-39,0.354724
2013-40,1.10175
2013-41,1.32619
2013-42,1.00076
2013-43,1.24873
2013-44,1.06213
2013-45,1.16895
2013-46,1.23795
2013-47,1.4448
2013-48,1.6266
2013-49,1.90597
2013-50,2.27721
2013-51,4.55016
2013-52,6.69931
2014-1,5.92605
2014-2,3.97493
2014-3,3.3622
2014-4,3.19497
2014-5,3.17951
2014-6,2.43792
2014-7,2.00081
2014-8,1.68301
2014-9,1.63679
2014-10,1.40174
2014-11,1.78872
2014-12,1.32347
2014-13,1.37779
2014-14,1.56726
2014-15,0.902869
2014-16,0.8907
2014-17,0.990099
2014-18,0.779697
2014-19,0.963817
2014-20,0.616698
2014-21,0.785388
2014-22,0.723487
2014-23,0.0359583
2014-24,0.108421
2014-25,0.039604
2014-26,0.036523
2014-27,0.0394789
2014-28,0.035524
2014-29,0.0730727
2014-30,0.10442
2014-31,0.218898
2014-32,0.178253
2014-33,0.180245
2014-34,0.0543331
2014-35,0.0262605
2014-36,0.0682128
2014-37,0.330368
2014-38,0.284164
2014-39,0.276451
2014-40,1.03915
2014-41,1.28882
2014-42,1.40453
2014-43,1.32654
2014-44,0.948386
2014-45,1.04767
2014-46,1.616
2014-47,1.09715
2014-48,2.70174
2014-49,2.50949
2014-50,5.39804
2014-51,6.14749
2014-52,8.54034
2015-1,7.63245
2015-2,4.37008
2015-3,3.3668
2015-4,3.2881
2015-5,3.71205
2015-6,2.88219
2015-7,2.46064
2015-8,2.33557
2015-9,2.40867
2015-10,2.20076
2015-11,2.44123
2015-12,2.01586
2015-13,2.066
2015-14,1.93118
2015-15,1.83448
2015-16,1.46409
2015-17,1.31024
2015-18,1.41824
2015-19,1.04167
2015-20,1.09926
2015-21,0.958637
2015-22,0.129758
2015-23,0.195389
2015-24,0.0755572
