time,wili
2010-40,0.0371195
2010-41,0.180963
2010-42,0.185874
2010-43,0.0363901
2010-44,0.0405186
2010-45,0.243902
2010-46,0.10993
2010-47,0.537057
2010-48,0.0380518
2010-49,0.0359454
2010-50,0.0772798
2010-51,0.062422
2010-52,0.234926
2011-1,0.0001
2011-2,0.221926
2011-3,0.251004
2011-4,0.207828
2011-5,0.836972
2011-6,0.355114
2011-7,0.701262
2011-8,1.10193
2011-9,1.11654
2011-10,0.801165
2011-11,0.815376
2011-12,0.835189
2011-13,0.4662
2011-14,0.27933
2011-15,0.235018
2011-16,0.0297885
2011-17,0.0001
2011-18,0.0001
2011-19,0.0001
2011-20,0.0001
2011-21,0.0001
2011-22,0.0001
2011-23,0.0001
2011-24,0.0001
2011-25,0.0001
2011-26,0.0001
2011-27,0.0001
2011-28,0.0001
2011-29,0.0001
2011-30,0.0001
2011-31,0.0001
2011-32,0.0001
2011-33,0.0001
2011-34,0.0001
2011-35,0.0001
2011-36,0.0001
2011-37,0.0001
2011-38,0.0530223
2011-39,0.0001
2011-40,0.0001
2011-41,0.0907853
2011-42,0.039604
2011-43,0.15949
2011-44,0.177148
2011-45,0.0001
2011-46,0.120289
2011-47,0.45425
2011-48,0.294985
2011-49,0.174749
2011-50,0.129814
2011-51,0.19305
2011-52,0.165837
2012-1,0.120555
2012-2,0.201918
2012-3,0.180397
2012-4,0.171453
2012-5,0.247117
2012-6,0.27933
2012-7,0.211238
2012-8,0.741084
2012-9,0.46875
2012-10,0.845899
2012-11,1.17335
2012-12,0.744806
2012-13,0.15674
2012-14,0.185759
2012-15,0.394737
2012-16,0.0821693
2012-17,0.401768
2012-18,0.0001
2012-19,0.119522
2012-20,0.0001
2012-21,0.0001
2012-22,0.0001
2012-23,0.0001
2012-24,0.0001
2012-25,0.0001
2012-26,0.0001
2012-27,0.0001
2012-28,0.0001
2012-29,0.0001
2012-30,0.0001
2012-31,0.0001
2012-32,0.0001
2012-33,0.0001
2012-34,0.0001
2012-35,0.0001
2012-36,0.0001
2012-37,0.0001
2012-38,0.0001
2012-39,0.0001
2012-40,0.170474
2012-41,0.148976
2012-42,0.17325
2012-43,0.0769231
2012-44,0.188182
2012-45,0.120822
2012-46,0.15829
2012-47,0.426743
2012-48,0.101317
2012-49,0.186986
2012-50,0.18315
2012-51,1.22505
2012-52,0.631136
2013-1,1.06045
2013-2,1.05949
2013-3,1.3905
2013-4,1.22777
2013-5,1.32319
2013-6,0.956938
2013-7,0.2886
2013-8,1.03766
2013-9,0.837277
2013-10,0.778066
2013-11,1.38462
2013-12,0.389656
2013-13,0.580998
2013-14,0.155925
2013-15,0.21606
2013-16,0.0362056
2013-17,0.177054
2013-18,0.0001
2013-19,0.0001
2013-20,0.0412541
2013-21,0.110011
2013-22,0.0001
2013-23,0.245218
2013-24,0.0791139
2013-25,0.226929
2013-26,0.0784314
2013-27,0.0001
2013-28,0.0001
2013-29,0.0001
2013-30,0.0729395
2013-31,0.0001
2013-32,0.0001
2013-33,0.0001
2013-34,0.0001
2013-35,0.0001
2013-36,0.0001
