time,wili
2010-40,2.19978
2010-41,2.73532
2010-42,3.31103
2010-43,2.05761
2010-44,0.376712
2010-45,2.96108
2010-46,2.42303
2010-47,0.614754
2010-48,2.8157
2010-49,2.46212
2010-50,3.2371
2010-51,2.22063
2010-52,3.82883
2011-1,3.00619
2011-2,2.95939
2011-3,3.12049
2011-4,4.47843
2011-5,6.28019
2011-6,3.68098
2011-7,4.43182
2011-8,8.24176
2011-9,6.80219
2011-10,5.88957
2011-11,2.89517
2011-12,1.56352
2011-13,1.16105
2011-14,0.894234
2011-15,1.43939
2011-16,1.05422
2011-17,0.513834
2011-18,0.421546
2011-19,0.283286
2011-20,0.395062
2011-21,0.185071
2011-22,0.183374
2011-23,0.330251
2011-24,0.0875657
2011-25,0.168067
2011-26,0.0656599
2011-27,0.123609
2011-28,0.0517063
2011-29,0.148478
2011-30,0.264375
2011-31,0.0746269
2011-32,0.134953
2011-33,0.369822
2011-34,0.191083
2011-35,0.31348
2011-36,0.932994
2011-37,3.05206
2011-38,1.09546
2011-39,0.933707
2011-40,0.592639
2011-41,0.379703
2011-42,0.284991
2011-43,2.12194
2011-44,2.50852
2011-45,2.52708
2011-46,0.331736
2011-47,0.6413
2011-48,2.35746
2011-49,0.749064
2011-50,2.91712
2011-51,2.5609
2011-52,4.84754
2012-1,2.38516
2012-2,2.99539
2012-3,3.42776
2012-4,2.77476
2012-5,4.11413
2012-6,3.47065
2012-7,3.28767
2012-8,3.03721
2012-9,4.29316
2012-10,3.45146
2012-11,2.75108
2012-12,2.16561
2012-13,2.30399
2012-14,2.01005
2012-15,1.90753
2012-16,2.04753
2012-17,1.65508
2012-18,3.22203
2012-19,3.58402
2012-20,2.82455
2012-21,2.43228
2012-22,0.930233
2012-23,0.15186
2012-24,0.435098
2012-25,0.235294
2012-26,0.224972
2012-27,0.974513
2012-28,0.293255
2012-29,0.359454
2012-30,0.549073
2012-31,1.03022
2012-32,0.530786
2012-33,0.540054
2012-34,2.25485
2012-35,3.18318
2012-36,3.65591
2012-37,4.41065
2012-38,4.86275
2012-39,4.35403
2012-40,2.80287
2012-41,2.66876
2012-42,2.52572
2012-43,3.18166
2012-44,3.04601
2012-45,1.92698
2012-46,3.09826
2012-47,2.12982
2012-48,3.26223
2012-49,2.2716
2012-50,2.82964
2012-51,6.81524
2012-52,10.1455
2013-1,8.65229
2013-2,10.1024
2013-3,9.41499
2013-4,9.67664
2013-5,8.77193
2013-6,6.27462
2013-7,5.84396
2013-8,5.60621
2013-9,4.66401
2013-10,3.06711
2013-11,3.87945
2013-12,3.07491
2013-13,3.34101
2013-14,2.66117
2013-15,2.08668
2013-16,2.99728
2013-17,2.43995
2013-18,2.36794
2013-19,2.20905
2013-20,2.32681
2013-21,2.48705
2013-22,2.81955
2013-23,0.358423
2013-24,0.312175
2013-25,0.855615
2013-26,0.439078
2013-27,0.336134
2013-28,0.37831
2013-29,0.490196
2013-30,0.900901
2013-31,0.55788
2013-32,4.83736
2013-33,2.94302
2013-34,2.9601
2013-35,0.763359
2013-36,3.4678
2013-37,4.96134
2013-38,3.85941
2013-39,4.7043
2013-40,0.469484
2013-41,0.76
2013-42,0.79698
2013-43,0.947672
2013-44,0.472306
2013-45,0.690407
2013-46,0.953107
2013-47,0.679456
2013-48,0.900424
2013-49,0.712946
2013-50,0.899743
2013-51,1.17925
2013-52,1.56863
2014-1,1.87768
2014-2,1.77795
2014-3,1.97794
2014-4,2.49233
2014-5,2.04842
2014-6,1.99442
2014-7,1.21046
2014-8,0.808081
2014-9,0.574713
2014-10,0.97269
2014-11,1.09393
2014-12,0.747664
2014-13,0.44428
2014-14,0.652842
2014-15,0.678989
2014-16,0.510204
2014-17,0.405515
2014-18,0.235849
2014-19,0.647059
2014-20,0.436137
2014-21,0.666667
2014-22,0.564061
2014-23,1.35135
2014-24,0.244898
2014-25,0.776531
2014-26,0.738916
2014-27,1.18519
2014-28,0.40201
2014-29,0.740741
2014-30,0.786517
2014-31,0.753498
2014-32,0.925926
2014-33,0.686695
2014-34,1.21382
2014-35,1.0979
2014-36,1.07914
2014-37,1.89019
2014-38,1.44788
2014-39,1.06075
2014-40,0.630564
2014-41,0.741565
2014-42,0.855545
2014-43,0.530906
2014-44,0.420008
2014-45,0.293871
2014-46,0.684671
2014-47,0.676397
2014-48,0.872516
2014-49,1.12994
2014-50,1.3936
2014-51,2.57791
2014-52,4.92802
2015-1,3.54312
2015-2,2.82328
2015-3,2.54025
2015-4,5.80942
2015-5,4.06442
2015-6,2.80483
2015-7,1.70599
2015-8,1.54268
2015-9,1.48305
2015-10,1.75055
2015-11,2.20345
2015-12,2.3017
2015-13,2.39542
2015-14,2.08991
2015-15,1.28593
2015-16,0.962567
2015-17,0.796312
2015-18,0.679348
2015-19,0.932744
2015-20,0.90854
2015-21,0.614628
2015-22,0.630517
2015-23,0.68408
2015-24,0.667111
2015-25,0.480513
2015-26,0.561224
2015-27,0.373134
2015-28,0.366838
2015-29,0.933908
2015-30,0.785546
2015-31,0.832702
2015-32,1.01664
2015-33,0.44843
2015-34,0.783699
2015-35,0.609756
2015-36,0.507614
2015-37,0.820896
2015-38,0.572519
2015-39,0.720839
2015-40,1.19403
2015-41,0.428878
2015-42,0.451722
2015-43,0.498287
2015-44,0.331583
2015-45,0.489663
2015-46,0.565771
2015-47,0.921788
2015-48,0.697293
2015-49,0.350263
2015-50,0.833066
2015-51,0.545455
2015-52,0.459982
2015-53,0.421151
2016-1,0.529412
2016-2,0.527395
2016-3,0.328554
2016-4,0.406858
2016-5,0.437158
2016-6,0.704424
2016-7,0.699097
2016-8,1.00546
2016-9,1.48835
2016-10,1.60966
2016-11,0.845728
2016-12,1.05159
2016-13,1.08728
2016-14,0.730337
2016-15,0.472953
2016-16,0.350058
2016-17,0.597015
2016-18,0.347442
2016-19,0.336474
2016-20,0.396825
2016-21,0.236546
2016-22,0.564175
2016-23,0.383352
2016-24,0.265957
2016-25,0.554401
2016-26,0.632911
2016-27,0.428266
2016-28,0.369588
2016-29,0.146987
2016-30,0.203046
2016-31,0.380771
2016-32,0.334821
2016-33,0.353565
2016-34,0.316957
2016-35,0.394477
2016-36,0.378993
2016-37,0.381316
2016-38,0.435493
2016-39,0.220386
2016-40,0.335161
2016-41,0.253991
2016-42,0.27907
2016-43,0.15758
2016-44,0.416295
2016-45,0.584966
2016-46,0.409707
2016-47,0.572246
2016-48,0.796266
2016-49,0.466708
2016-50,0.498287
2016-51,0.942737
2016-52,1.00209
2017-1,1.47908
2017-2,1.6377
2017-3,2.86899
2017-4,2.60756
2017-5,3.20242
2017-6,4.17193
2017-7,2.29617
2017-8,1.93638
2017-9,1.24297
2017-10,1.54799
2017-11,1.98883
2017-12,1.35802
2017-13,0.888585
2017-14,0.887282
2017-15,0.635425
2017-16,0.258207
2017-17,0.348888
2017-18,0.266548
2017-19,0.261666
2017-20,0.449583
2017-21,0.0643915
2017-22,0.192123
2017-23,0.351906
2017-24,0.369231
2017-25,0.236827
2017-26,0.416667
2017-27,0.170503
2017-28,0.191083
2017-29,0.232423
2017-30,0.0001
2017-31,0.910643
2017-32,0.524781
2017-33,0.198939
2017-34,0.972447
2017-35,0.674663
2017-36,1.2966
2017-37,0.423131
2017-38,0.928074
2017-39,0.705219
2017-40,1.28434
2017-41,1.32443
2017-42,1.82091
2017-43,1.89781
2017-44,2.09036
2017-45,2.57595
2017-46,2.63039
2017-47,3.22741
2017-48,2.3439
2017-49,2.43848
2017-50,3.29828
2017-51,3.91286
2017-52,5.50255
2018-1,5.05129
2018-2,3.46301
2018-3,4.35676
2018-4,6.76716
2018-5,6.87682
2018-6,8.88565
2018-7,7.36749
2018-8,6.49497
2018-9,5.66446
2018-10,5.87974
2018-11,4.80683
2018-12,3.52334
2018-13,3.44186
2018-14,3.11688
2018-15,2.17447
2018-16,1.81505
2018-17,2.19037
2018-18,1.4425
2018-19,1.23775
2018-20,1.22853
2018-21,1.88078
2018-22,1.87467
2018-23,1.26456
2018-24,1.10222
2018-25,0.307587
2018-26,0.358365
2018-27,1.37981
2018-28,1.00085
2018-29,0.985687
2018-30,0.573643
2018-31,0.544239
2018-32,1.21916
2018-33,1.09091
2018-34,2.13704
2018-35,2.13551
2018-36,2.27183
2018-37,1.65388
2018-38,1.24807
2018-39,1.45166
2018-40,1.94323
2018-41,2.57421
2018-42,1.52995
2018-43,2.06318
2018-44,2.22141
2018-45,2.22559
2018-46,2.61819
2018-47,3.07619
2018-48,2.68817
2018-49,2.32166
2018-50,3.27928
2018-51,5.35202
2018-52,8.70194
2019-1,7.64405
2019-2,6.20358
2019-3,8.0
2019-4,7.49806
2019-5,6.78426
2019-6,6.69291
2019-7,5.44769
2019-8,5.02667
2019-9,3.83595
2019-10,2.97012
2019-11,3.07095
2019-12,2.41402
2019-13,2.60417
2019-14,2.51489
2019-15,2.06493
2019-16,1.88657
2019-17,1.51636
2019-18,1.58991
2019-19,1.55838
2019-20,1.28423
2019-21,1.43474
2019-22,1.36808
2019-23,1.09319
2019-24,1.09668
2019-25,1.02929
2019-26,0.89608
2019-27,1.00604
2019-28,0.773495
2019-29,0.987686
2019-30,1.04733
2019-31,0.82399
