time,wili
2010-40,1.66683
2010-41,1.63633
2010-42,1.5086
2010-43,2.14451
2010-44,1.76761
2010-45,0.805239
2010-46,2.63276
2010-47,3.10198
2010-48,2.89043
2010-49,3.28279
2010-50,4.28725
2010-51,3.46784
2010-52,3.88664
2011-1,3.08241
2011-2,3.31421
2011-3,3.78455
2011-4,3.83545
2011-5,4.03184
2011-6,3.71371
2011-7,4.06365
2011-8,4.06769
2011-9,4.78919
2011-10,3.27375
2011-11,3.08045
2011-12,4.29749
2011-13,2.27938
2011-14,2.21222
2011-15,2.11339
2011-16,3.12605
2011-17,1.55288
2011-18,2.51242
2011-19,2.4206
2011-20,0.789052
2011-21,0.67815
2011-22,0.731602
2011-23,1.03003
2011-24,0.882801
2011-25,0.754663
2011-26,0.644963
2011-27,0.388814
2011-28,0.500303
2011-29,0.45427
2011-30,0.516717
2011-31,0.558824
2011-32,0.431034
2011-33,0.447524
2011-34,0.498753
2011-35,0.358262
2011-36,0.558735
2011-37,0.608026
2011-38,0.541932
2011-39,0.773054
2011-40,0.415097
2011-41,0.428521
2011-42,0.507265
2011-43,0.626484
2011-44,1.02051
2011-45,0.582707
2011-46,0.550545
2011-47,0.679316
2011-48,0.61838
2011-49,0.805185
2011-50,0.687715
2011-51,1.08307
2011-52,1.32617
2012-1,0.945201
2012-2,0.806064
2012-3,0.830691
2012-4,1.53987
2012-5,1.86857
2012-6,2.58051
2012-7,1.6504
2012-8,1.54657
2012-9,1.7139
2012-10,2.19914
2012-11,1.93149
2012-12,2.07832
2012-13,1.46968
2012-14,1.19556
2012-15,0.822174
2012-16,0.773096
2012-17,0.581966
2012-18,0.826145
2012-19,1.07256
2012-20,0.646247
2012-21,1.27596
2012-22,1.43885
2012-23,0.446229
2012-24,0.601904
2012-25,0.772141
2012-26,0.323749
2012-27,0.374532
2012-28,0.173595
2012-29,0.348788
2012-30,0.297547
2012-31,0.147944
2012-32,0.495266
2012-33,0.618151
2012-34,0.475996
2012-35,0.594979
2012-36,0.6239
2012-37,1.55991
2012-38,0.682303
2012-39,0.573813
2012-40,0.540606
2012-41,0.474664
2012-42,0.600396
2012-43,0.821041
2012-44,0.527619
2012-45,0.593159
2012-46,0.735592
2012-47,0.757751
2012-48,0.868032
2012-49,0.691995
2012-50,1.0532
2012-51,1.63702
2012-52,1.71037
2013-1,1.97276
2013-2,2.38245
2013-3,3.02318
2013-4,3.57443
2013-5,2.32686
2013-6,3.55964
2013-7,3.38641
2013-8,2.88354
2013-9,3.18243
2013-10,2.39382
2013-11,2.72161
2013-12,1.81388
2013-13,1.95603
2013-14,1.57446
2013-15,1.31522
2013-16,1.0496
2013-17,1.08536
2013-18,1.03443
2013-19,0.960045
2013-20,1.35322
2013-21,0.92672
2013-22,1.04712
2013-23,0.887989
2013-24,0.574163
2013-25,1.09746
2013-26,0.773071
2013-27,0.682196
2013-28,0.345185
2013-29,0.481506
2013-30,0.682594
2013-31,0.500762
2013-32,0.329649
2013-33,0.511229
2013-34,0.42186
2013-35,0.55931
2013-36,0.696926
2013-37,0.663538
2013-38,0.629987
2013-39,0.228224
2013-40,0.584908
2013-41,0.777235
2013-42,0.714734
2013-43,0.745461
2013-44,0.804817
2013-45,1.00333
2013-46,0.93076
2013-47,1.0488
2013-48,1.54363
2013-49,1.39576
2013-50,1.64318
2013-51,2.48553
2013-52,4.12023
2014-1,3.68822
2014-2,3.22084
2014-3,2.63852
2014-4,2.09538
2014-5,2.25962
2014-6,1.89535
2014-7,1.47948
2014-8,1.02141
2014-9,1.07607
2014-10,0.972376
2014-11,1.02816
2014-12,0.947539
2014-13,0.854943
2014-14,0.737705
2014-15,0.817784
2014-16,0.917431
2014-17,0.543696
2014-18,0.786346
2014-19,0.653013
2014-20,0.789083
2014-21,0.869619
2014-22,0.948859
2014-23,0.755287
2014-24,0.730076
2014-25,0.565903
2014-26,0.532632
2014-27,0.697674
2014-28,0.435852
2014-29,0.42203
2014-30,0.369324
2014-31,0.245204
2014-32,0.242269
2014-33,0.331383
2014-34,0.288382
2014-35,0.507998
2014-36,0.413763
2014-37,0.481026
2014-38,0.583847
2014-39,0.560659
2014-40,0.494334
2014-41,0.587345
2014-42,0.551651
2014-43,0.435894
2014-44,0.562972
2014-45,0.544813
2014-46,0.814036
2014-47,0.790485
2014-48,1.80027
2014-49,1.26213
2014-50,1.42665
2014-51,1.80069
2014-52,3.27054
2015-1,4.10995
2015-2,3.93077
2015-3,3.4213
2015-4,3.99324
2015-5,3.09628
2015-6,2.34095
2015-7,2.38325
2015-8,1.69153
2015-9,1.16532
2015-10,1.16225
2015-11,1.49568
2015-12,1.06904
2015-13,0.786713
2015-14,0.972887
2015-15,0.903882
2015-16,0.800924
2015-17,0.53934
2015-18,0.397475
2015-19,0.593662
2015-20,0.290604
2015-21,0.493659
2015-22,0.608654
2015-23,0.346852
2015-24,0.364282
2015-25,0.25413
2015-26,0.195991
2015-27,0.179033
2015-28,0.134156
2015-29,0.210681
2015-30,0.111535
2015-31,0.247219
2015-32,0.134048
2015-33,0.28028
2015-34,0.762777
2015-35,0.739504
2015-36,0.795756
2015-37,0.842156
2015-38,0.497512
2015-39,0.94541
2015-40,1.30785
2015-41,0.62855
2015-42,0.397966
2015-43,0.488183
2015-44,0.689338
2015-45,0.660979
2015-46,0.663507
2015-47,0.49005
2015-48,0.844991
2015-49,0.721364
2015-50,0.96706
2015-51,1.04183
2015-52,1.2116
2015-53,1.43746
2016-1,1.18955
2016-2,0.909577
2016-3,1.23082
2016-4,1.19691
2016-5,1.38714
2016-6,1.80372
2016-7,2.24189
2016-8,2.34118
2016-9,2.76263
2016-10,2.5523
2016-11,2.77078
2016-12,1.27855
2016-13,1.00711
2016-14,1.14353
2016-15,0.877486
2016-16,0.553683
2016-17,0.530293
2016-18,0.571705
2016-19,0.432289
2016-20,0.307999
2016-21,0.307542
2016-22,0.404401
2016-23,0.330291
2016-24,0.202169
2016-25,0.26932
2016-26,0.276187
2016-27,0.252398
2016-28,0.260116
2016-29,0.395294
2016-30,0.259393
2016-31,0.171319
2016-32,0.190133
2016-33,0.203384
2016-34,0.233483
2016-35,0.270225
2016-36,0.375834
2016-37,0.354578
2016-38,0.402145
2016-39,0.379147
2016-40,0.428964
2016-41,0.450626
2016-42,0.540632
2016-43,0.58743
2016-44,0.877819
2016-45,1.07815
2016-46,0.887933
2016-47,1.18386
2016-48,1.28977
2016-49,1.9248
2016-50,1.45363
2016-51,1.70873
2016-52,2.1243
2017-1,1.91924
2017-2,1.66173
