time,wili
2010-40,2.31534
2010-41,2.47836
2010-42,2.24812
2010-43,2.79286
2010-44,1.82877
2010-45,2.2031
2010-46,2.13716
2010-47,2.41758
2010-48,2.60116
2010-49,2.65371
2010-50,3.20073
2010-51,4.6438
2010-52,4.91358
2011-1,3.95271
2011-2,4.97268
2011-3,5.12435
2011-4,5.90291
2011-5,5.5993
2011-6,5.86393
2011-7,6.11392
2011-8,6.69849
2011-9,5.74113
2011-10,5.05526
2011-11,4.68859
2011-12,3.41036
2011-13,4.60678
2011-14,3.39574
2011-15,2.74671
2011-16,2.79318
2011-17,2.76842
2011-18,2.01081
2011-19,2.22222
2011-20,2.69103
2011-21,2.94975
2011-22,2.52839
2011-23,2.77982
2011-24,3.07871
2011-25,2.93454
2011-26,0.885138
2011-27,0.278035
2011-28,0.226693
2011-29,0.107411
2011-30,0.282486
2011-31,0.376921
2011-32,0.725295
2011-33,0.374208
2011-34,0.288517
2011-35,0.262536
2011-36,0.3003
2011-37,0.318979
2011-38,0.458891
2011-39,0.577327
2011-40,0.892694
2011-41,0.786838
2011-42,0.849558
2011-43,0.800712
2011-44,1.10031
2011-45,1.00402
2011-46,1.21234
2011-47,1.40955
2011-48,1.10861
2011-49,1.10777
2011-50,1.10917
2011-51,0.643678
2011-52,0.621891
2012-1,1.05178
2012-2,0.575402
2012-3,0.785512
2012-4,0.758214
2012-5,0.807918
2012-6,0.813166
2012-7,0.816933
2012-8,0.838095
2012-9,0.975707
2012-10,1.34273
2012-11,0.885591
2012-12,0.95732
2012-13,0.801221
2012-14,1.15403
2012-15,0.847647
2012-16,0.978394
2012-17,0.749906
2012-18,1.02529
2012-19,0.440222
2012-20,0.509793
2012-21,0.164204
2012-22,0.279764
2012-23,0.0912686
2012-24,0.152532
2012-25,0.141393
2012-26,0.153092
2012-27,0.343495
2012-28,0.0576535
2012-29,0.0359195
2012-30,0.193517
2012-31,0.115009
2012-32,0.0548847
2012-33,0.0512295
2012-34,0.331492
2012-35,0.466563
2012-36,0.609537
2012-37,0.65872
2012-38,0.699913
2012-39,0.795837
2012-40,1.36904
2012-41,1.70536
2012-42,1.39434
2012-43,1.45544
2012-44,1.27737
2012-45,1.80709
2012-46,1.39585
2012-47,1.36441
2012-48,2.2386
2012-49,2.2145
2012-50,2.15569
2012-51,3.84972
2012-52,5.44188
2013-1,5.00187
2013-2,4.94719
2013-3,5.61734
2013-4,4.94037
2013-5,4.63762
2013-6,4.45368
2013-7,4.79113
2013-8,3.44288
2013-9,2.78825
2013-10,3.74782
2013-11,3.21132
2013-12,2.85293
2013-13,2.76671
2013-14,2.25873
2013-15,1.86459
2013-16,0.997195
2013-17,1.63898
2013-18,1.83739
2013-19,1.45819
2013-20,1.80754
2013-21,1.56784
2013-22,1.52316
2013-23,1.33617
2013-24,1.47947
2013-25,1.75008
2013-26,1.72084
2013-27,0.110619
2013-28,1.21655
2013-29,1.24601
2013-30,0.883281
2013-31,1.36849
2013-32,2.13599
2013-33,1.21781
2013-34,1.14529
2013-35,1.34721
2013-36,0.901886
2013-37,0.896861
2013-38,1.12296
2013-39,0.911906
2013-40,1.51614
2013-41,1.49528
2013-42,1.75227
2013-43,1.73516
2013-44,1.66137
2013-45,1.60633
2013-46,1.5635
2013-47,1.99283
2013-48,2.30253
2013-49,1.99525
2013-50,1.32384
2013-51,1.95949
2013-52,2.32845
2014-1,3.74359
2014-2,3.19855
2014-3,3.25342
2014-4,2.56233
2014-5,3.57187
2014-6,3.41817
2014-7,3.34581
2014-8,2.57067
2014-9,2.72978
2014-10,2.75766
2014-11,2.67035
2014-12,2.77386
2014-13,3.27521
2014-14,2.90237
2014-15,3.34845
2014-16,2.87107
2014-17,2.188
2014-18,2.03609
2014-19,2.38206
2014-20,2.30849
2014-21,2.03737
2014-22,2.67133
2014-23,2.32336
2014-24,2.20694
2014-25,1.94622
2014-26,1.78492
2014-27,1.37905
2014-28,1.28438
2014-29,1.06916
2014-30,1.24073
2014-31,1.08446
2014-32,1.25285
2014-33,0.883838
2014-34,0.990574
2014-35,1.24827
2014-36,1.12265
2014-37,1.29467
2014-38,1.74856
2014-39,1.73814
2014-40,1.4055
2014-41,2.17104
2014-42,1.60945
2014-43,1.86151
2014-44,1.57613
2014-45,1.60939
2014-46,1.76267
2014-47,2.13929
2014-48,1.92804
2014-49,2.0331
2014-50,2.25696
2014-51,3.31837
2014-52,4.33593
2015-1,3.75445
2015-2,3.62311
2015-3,3.34287
2015-4,4.97434
2015-5,4.80625
2015-6,3.53148
2015-7,3.8961
2015-8,3.03839
2015-9,4.0146
2015-10,2.53917
2015-11,2.24284
2015-12,2.88725
2015-13,2.44113
2015-14,1.87555
2015-15,1.57618
2015-16,1.60819
2015-17,1.8738
2015-18,1.6005
2015-19,1.60158
2015-20,1.35915
2015-21,1.26336
2015-22,1.46145
2015-23,1.20608
2015-24,1.62835
2015-25,1.60348
2015-26,1.56856
2015-27,1.21354
2015-28,1.50991
2015-29,1.36033
2015-30,1.16115
2015-31,1.15761
2015-32,1.50245
2015-33,1.19066
2015-34,1.17442
2015-35,0.555374
2015-36,0.867137
2015-37,1.28706
2015-38,0.959693
2015-39,1.91625
2015-40,1.44609
2015-41,0.896943
2015-42,0.608305
2015-43,0.605908
2015-44,0.426487
2015-45,0.744961
2015-46,0.430005
2015-47,0.652884
2015-48,0.672043
2015-49,0.987224
2015-50,1.06728
2015-51,1.09957
2015-52,1.17736
2015-53,1.40393
2016-1,1.54976
2016-2,1.343
2016-3,1.58053
2016-4,1.85906
2016-5,1.69208
2016-6,2.60692
2016-7,3.01218
2016-8,2.58117
2016-9,3.76333
2016-10,4.47187
2016-11,4.86093
2016-12,3.9079
2016-13,2.88483
2016-14,2.34506
2016-15,3.02083
2016-16,2.98913
2016-17,1.87012
2016-18,1.58913
2016-19,1.56684
2016-20,1.6298
2016-21,1.23648
2016-22,1.03712
2016-23,1.19112
2016-24,0.944625
2016-25,0.994546
2016-26,0.770003
2016-27,0.580945
2016-28,0.45134
2016-29,0.341207
2016-30,0.490798
2016-31,0.29633
2016-32,0.307152
2016-33,0.330033
2016-34,0.265565
2016-35,0.147275
2016-36,0.522648
2016-37,0.452899
2016-38,0.875947
2016-39,0.906056
2016-40,2.35421
2016-41,2.4617
2016-42,2.53861
2016-43,2.65366
2016-44,2.76608
2016-45,2.6012
2016-46,2.72173
2016-47,3.31243
2016-48,2.95628
2016-49,3.02365
2016-50,3.67201
2016-51,4.21506
2016-52,5.77482
2017-1,5.51108
2017-2,5.12789
2017-3,5.9981
2017-4,6.19741
2017-5,6.76102
2017-6,6.92602
2017-7,5.55885
2017-8,4.8848
2017-9,4.05102
2017-10,3.8477
2017-11,3.37878
2017-12,3.26398
2017-13,3.98586
2017-14,3.52109
2017-15,3.0516
2017-16,2.30231
2017-17,2.21879
