time,wili
2010-40,2.13191
2010-41,1.9635
2010-42,1.67486
2010-43,2.35498
2010-44,2.37983
2010-45,2.3776
2010-46,2.87842
2010-47,2.9782
2010-48,2.8547
2010-49,2.32423
2010-50,2.72335
2010-51,3.41176
2010-52,3.87493
2011-1,2.95452
2011-2,2.89821
2011-3,3.72137
2011-4,5.0758
2011-5,5.56121
2011-6,4.90175
2011-7,6.43468
2011-8,5.32783
2011-9,4.83437
2011-10,3.72878
2011-11,3.60762
2011-12,2.85169
2011-13,2.67527
2011-14,2.32261
2011-15,1.72675
2011-16,1.87243
2011-17,1.75745
2011-18,1.65705
2011-19,1.75462
2011-20,1.55547
2011-21,1.61633
2011-22,1.56185
2011-23,1.39423
2011-24,1.51659
2011-25,0.875827
2011-26,0.856766
2011-27,1.1833
2011-28,0.944753
2011-29,1.21225
2011-30,0.942211
2011-31,0.958525
2011-32,0.948947
2011-33,1.15533
2011-34,1.18256
2011-35,1.89318
2011-36,1.5885
2011-37,1.66233
2011-38,1.44248
2011-39,1.99089
2011-40,1.77268
2011-41,1.41792
2011-42,1.88524
2011-43,2.13822
2011-44,2.52885
2011-45,1.88471
2011-46,2.99745
2011-47,3.24894
2011-48,2.62334
2011-49,2.30193
2011-50,1.91833
2011-51,2.5587
2011-52,2.8922
2012-1,2.5439
2012-2,2.28729
2012-3,2.08926
2012-4,2.54792
2012-5,2.52296
2012-6,2.16022
2012-7,2.63637
2012-8,2.95269
2012-9,3.65699
2012-10,2.89737
2012-11,3.1945
2012-12,2.61767
2012-13,2.3236
2012-14,2.72257
2012-15,2.61172
2012-16,2.10271
2012-17,1.72897
2012-18,1.48205
2012-19,1.4108
2012-20,1.3578
2012-21,1.89533
2012-22,1.47128
2012-23,1.81009
2012-24,1.60517
2012-25,1.04141
2012-26,1.98142
2012-27,1.21469
2012-28,1.64474
2012-29,2.26527
2012-30,1.39041
2012-31,1.80332
2012-32,2.19212
2012-33,1.44127
2012-34,2.14811
2012-35,2.44779
