time,wili
2010-40,1.18222
2010-41,1.4023
2010-42,1.29124
2010-43,1.30236
2010-44,1.51508
2010-45,1.73829
2010-46,1.92684
2010-47,2.33103
2010-48,2.54207
2010-49,2.73001
2010-50,3.28095
2010-51,4.26261
2010-52,4.39746
2011-1,3.31107
2011-2,3.17028
2011-3,2.88202
2011-4,2.66343
2011-5,2.47319
2011-6,2.5069
2011-7,2.60075
2011-8,2.61527
2011-9,2.02996
2011-10,1.87236
2011-11,1.81647
2011-12,1.78756
2011-13,1.78081
2011-14,1.81267
2011-15,1.51109
2011-16,1.53094
2011-17,1.20351
2011-18,1.1382
2011-19,1.19437
2011-20,1.1343
2011-21,1.2915
2011-22,1.17933
2011-23,1.23374
2011-24,1.20635
2011-25,1.02117
2011-26,1.04582
2011-27,0.99031
2011-28,0.851914
2011-29,0.739156
2011-30,0.77875
2011-31,0.767207
2011-32,0.79368
2011-33,0.796782
2011-34,0.85468
2011-35,0.794999
2011-36,0.797847
2011-37,0.881381
2011-38,0.837761
2011-39,1.10942
2011-40,1.50103
2011-41,1.70548
2011-42,1.69853
2011-43,1.74476
2011-44,2.07693
2011-45,2.0803
2011-46,2.08287
2011-47,2.4584
2011-48,2.4683
2011-49,2.51266
2011-50,2.52157
2011-51,2.76592
2011-52,2.77299
2012-1,2.47646
2012-2,2.00634
2012-3,2.17501
2012-4,2.09783
2012-5,2.07838
2012-6,2.03964
2012-7,2.08228
2012-8,2.26111
2012-9,2.05097
2012-10,1.97496
2012-11,2.17971
2012-12,2.0823
2012-13,2.01098
2012-14,2.06684
2012-15,1.93912
2012-16,1.74484
2012-17,1.56293
2012-18,1.68538
2012-19,1.77798
2012-20,1.64471
2012-21,1.59546
2012-22,1.49906
2012-23,1.48473
2012-24,1.45167
2012-25,1.54553
2012-26,1.52182
2012-27,1.37382
2012-28,1.38497
2012-29,1.27012
2012-30,1.17396
2012-31,1.10202
2012-32,1.01143
2012-33,1.06097
2012-34,1.24091
2012-35,1.0461
2012-36,1.09383
2012-37,1.26664
2012-38,1.46317
2012-39,1.41944
2012-40,1.45904
2012-41,1.58339
2012-42,1.62795
2012-43,1.70925
2012-44,1.82661
2012-45,1.59117
2012-46,1.69433
2012-47,2.1401
2012-48,2.33752
2012-49,2.85764
2012-50,3.29368
2012-51,4.09728
2012-52,5.05315
2013-1,4.79065
2013-2,5.52524
2013-3,6.13491
2013-4,5.14435
2013-5,4.19967
2013-6,3.75588
2013-7,3.05157
2013-8,3.40389
2013-9,2.91814
2013-10,3.02633
2013-11,2.73555
2013-12,2.58595
2013-13,2.34374
2013-14,2.06217
2013-15,1.72724
2013-16,1.72304
2013-17,1.64981
2013-18,1.64971
2013-19,1.61222
2013-20,1.53328
2013-21,1.47278
2013-22,1.47378
2013-23,1.30581
2013-24,1.37941
2013-25,1.31122
2013-26,1.17955
2013-27,1.23853
2013-28,1.14439
2013-29,1.06048
2013-30,0.98942
2013-31,0.995388
2013-32,0.902398
2013-33,0.801465
2013-34,0.875043
2013-35,0.846482
2013-36,0.843707
2013-37,0.919671
2013-38,1.30989
2013-39,1.55648
2013-40,1.52274
2013-41,1.42045
2013-42,1.50881
2013-43,1.69964
2013-44,1.81474
2013-45,1.90385
2013-46,1.95433
2013-47,2.06103
2013-48,2.41456
2013-49,2.56005
2013-50,2.6628
2013-51,2.87206
2013-52,3.51214
2014-1,3.54888
2014-2,2.93798
2014-3,3.1625
2014-4,3.09483
2014-5,2.66786
2014-6,2.58455
2014-7,2.37673
2014-8,2.28816
2014-9,2.01194
2014-10,2.41774
2014-11,2.8097
2014-12,3.5795
2014-13,3.74441
2014-14,3.63529
2014-15,3.27608
2014-16,2.52071
2014-17,1.9973
2014-18,1.64839
2014-19,1.66449
2014-20,1.55204
2014-21,1.57367
2014-22,1.54584
2014-23,1.49711
2014-24,1.31701
2014-25,1.60143
2014-26,1.48212
2014-27,1.40725
2014-28,1.23012
2014-29,1.11591
2014-30,1.04352
2014-31,1.09667
2014-32,1.07978
2014-33,1.06601
2014-34,1.0006
2014-35,0.916645
2014-36,0.941927
2014-37,1.10362
2014-38,1.61514
2014-39,1.60663
2014-40,1.54549
2014-41,1.61982
2014-42,1.73901
2014-43,1.72474
2014-44,1.79443
2014-45,1.87235
2014-46,1.77205
2014-47,1.88456
2014-48,2.09412
2014-49,2.24143
2014-50,2.39186
2014-51,2.57445
2014-52,3.29122
2015-1,3.4571
2015-2,2.97957
2015-3,3.23343
2015-4,3.53847
2015-5,3.17927
2015-6,2.99822
2015-7,2.65508
2015-8,2.14247
2015-9,1.85326
2015-10,1.62769
2015-11,1.72961
2015-12,1.75095
2015-13,1.90063
2015-14,1.84952
