time,wili
2010-40,0.26299
2010-41,0.369729
2010-42,0.362121
2010-43,0.358981
2010-44,0.527357
2010-45,0.504756
2010-46,0.503441
2010-47,0.54919
2010-48,1.62591
2010-49,2.1629
2010-50,2.68099
2010-51,3.84844
2010-52,4.19925
2011-1,2.87699
2011-2,3.45107
2011-3,3.07852
2011-4,3.35509
2011-5,4.04412
2011-6,3.89805
2011-7,4.03668
2011-8,3.74332
2011-9,2.72493
2011-10,2.7215
2011-11,3.02193
2011-12,2.3114
2011-13,2.02105
2011-14,2.22854
2011-15,2.3652
2011-16,2.23407
2011-17,1.35642
2011-18,1.66576
2011-19,1.72106
2011-20,0.703443
2011-21,1.56349
2011-22,1.77814
2011-23,0.14752
2011-24,0.0909091
2011-25,0.134901
2011-26,0.13616
2011-27,0.0538358
2011-28,0.0580608
2011-29,0.145591
2011-30,0.137255
2011-31,0.17105
2011-32,0.125418
2011-33,0.131926
2011-34,0.0888099
2011-35,0.157159
2011-36,0.152759
2011-37,0.127805
2011-38,0.282595
2011-39,0.323494
2011-40,0.532345
2011-41,0.553468
2011-42,0.440685
2011-43,0.41135
2011-44,0.527118
2011-45,0.399433
2011-46,0.443537
2011-47,0.36716
2011-48,0.61654
2011-49,0.696024
2011-50,0.58086
2011-51,0.491337
2011-52,0.455005
2012-1,0.657054
2012-2,0.719363
2012-3,0.6694
2012-4,0.509789
2012-5,0.593152
2012-6,0.508223
2012-7,0.586107
2012-8,0.988678
2012-9,0.785869
2012-10,0.745669
2012-11,0.996782
2012-12,0.686682
2012-13,0.598435
2012-14,0.796178
2012-15,0.812633
2012-16,0.689763
2012-17,0.665368
2012-18,0.46507
2012-19,0.557581
2012-20,0.560839
2012-21,0.416259
2012-22,0.394802
2012-23,0.291215
2012-24,0.163845
2012-25,0.224875
2012-26,0.155581
2012-27,0.29796
2012-28,0.13872
2012-29,0.124978
2012-30,0.0886682
2012-31,0.170487
2012-32,0.092302
2012-33,0.125045
2012-34,0.0612089
2012-35,0.083692
2012-36,0.117768
2012-37,0.173953
2012-38,0.108998
2012-39,0.283052
2012-40,0.293219
2012-41,0.572891
2012-42,1.00283
2012-43,0.778846
2012-44,0.633484
2012-45,0.832931
2012-46,0.991707
2012-47,1.70477
2012-48,1.67709
2012-49,2.11123
2012-50,3.03139
2012-51,3.62908
2012-52,5.95238
2013-1,3.99638
2013-2,4.13807
2013-3,4.53812
2013-4,4.06893
2013-5,2.9484
2013-6,2.7859
2013-7,3.39217
2013-8,3.48492
2013-9,2.67505
2013-10,2.38434
2013-11,2.70502
2013-12,2.2772
2013-13,1.6205
2013-14,1.58092
2013-15,1.33984
2013-16,1.47142
2013-17,1.19106
2013-18,0.979474
2013-19,0.859476
2013-20,0.830614
2013-21,0.678931
2013-22,1.19891
2013-23,0.893277
2013-24,0.881857
2013-25,0.564902
2013-26,0.606616
2013-27,0.826295
2013-28,0.635846
2013-29,0.449186
2013-30,0.784753
2013-31,0.43209
2013-32,0.561798
2013-33,0.367747
2013-34,0.455093
2013-35,0.396396
2013-36,0.347315
2013-37,0.32359
2013-38,0.38431
2013-39,0.266016
2013-40,0.582589
2013-41,0.552562
2013-42,0.573782
2013-43,0.753849
2013-44,0.719563
2013-45,0.850487
2013-46,0.809817
2013-47,0.915243
2013-48,0.990182
2013-49,0.958767
2013-50,1.03744
2013-51,1.35515
2013-52,2.99457
2014-1,2.97304
2014-2,1.99698
2014-3,2.80846
2014-4,2.91725
2014-5,3.13798
2014-6,3.65359
2014-7,2.90014
2014-8,1.88879
2014-9,1.54231
2014-10,1.78227
2014-11,1.9047
2014-12,2.19795
2014-13,2.73789
2014-14,3.06605
2014-15,3.09776
2014-16,2.37233
2014-17,1.50943
2014-18,1.59652
2014-19,1.362
2014-20,1.32629
2014-21,1.06975
2014-22,0.905888
2014-23,1.02176
2014-24,1.28228
2014-25,1.08052
2014-26,0.863077
2014-27,0.96
2014-28,0.662061
2014-29,0.7849
2014-30,0.633318
2014-31,0.790175
2014-32,0.585309
2014-33,0.552118
2014-34,0.449357
2014-35,0.530206
2014-36,0.337711
2014-37,0.645665
2014-38,0.835488
2014-39,0.796167
2014-40,0.693823
2014-41,0.609081
2014-42,0.76846
2014-43,0.872553
2014-44,0.95177
2014-45,1.10596
2014-46,1.11014
2014-47,1.38222
2014-48,1.84683
2014-49,1.41337
2014-50,1.64571
2014-51,2.65033
2014-52,6.18794
2015-1,4.54991
2015-2,4.20694
2015-3,5.391
2015-4,5.58831
2015-5,6.32707
2015-6,6.69472
2015-7,5.70743
2015-8,4.02477
2015-9,2.72662
2015-10,2.51903
2015-11,1.8082
2015-12,2.28283
2015-13,2.15005
2015-14,2.7072
2015-15,2.46135
2015-16,1.91507
2015-17,1.4716
2015-18,1.58698
2015-19,1.8077
2015-20,1.18835
2015-21,1.3621
2015-22,1.64894
2015-23,1.80865
2015-24,1.2451
2015-25,0.441726
2015-26,0.823114
2015-27,1.23305
2015-28,1.31579
2015-29,1.17908
2015-30,0.900576
2015-31,1.36986
2015-32,1.50362
2015-33,1.48782
2015-34,0.839793
2015-35,1.27684
2015-36,0.708316
2015-37,0.690934
2015-38,1.23784
2015-39,1.01226
2015-40,0.426954
2015-41,0.588433
2015-42,0.557203
2015-43,0.85962
2015-44,0.816171
2015-45,0.655665
2015-46,0.723665
2015-47,1.18498
2015-48,0.97867
2015-49,1.1818
2015-50,1.51335
2015-51,1.25511
2015-52,2.14651
2015-53,1.97842
2016-1,1.15723
2016-2,2.56989
2016-3,1.90067
2016-4,1.6013
2016-5,1.7329
2016-6,2.71642
2016-7,1.76664
2016-8,2.83297
2016-9,3.41463
2016-10,3.41609
2016-11,3.80303
2016-12,2.89463
2016-13,1.59898
2016-14,1.35135
2016-15,1.53967
2016-16,1.09692
2016-17,1.0275
2016-18,0.858972
2016-19,0.552289
2016-20,0.529832
2016-21,0.327198
2016-22,0.0001
2016-23,0.0001
2016-24,0.0979912
2016-25,0.0453926
2016-26,0.0457247
2016-27,0.0001
2016-28,0.0838926
2016-29,0.0001
2016-30,0.0001
2016-31,0.110742
2016-32,0.0001
2016-33,0.182039
2016-34,0.031506
2016-35,0.0001
2016-36,0.0777605
2016-37,0.183486
2016-38,0.0412967
2016-39,0.164406
2016-40,0.725918
2016-41,0.945864
2016-42,1.10167
2016-43,0.898849
2016-44,0.918
2016-45,1.22738
2016-46,1.12103
2016-47,1.74806
2016-48,1.62637
2016-49,1.45618
2016-50,1.47612
2016-51,3.14039
2016-52,5.42753
2017-1,5.17272
2017-2,5.93932
2017-3,6.78861
2017-4,7.54014
2017-5,8.68115
2017-6,9.81455
2017-7,8.27769
2017-8,6.33198
2017-9,2.9721
2017-10,3.20508
2017-11,3.91216
2017-12,3.57547
2017-13,4.58545
2017-14,4.82565
2017-15,3.25149
2017-16,1.9606
2017-17,1.9738
2017-18,1.96009
2017-19,1.4525
2017-20,1.47045
2017-21,1.64255
2017-22,1.66997
2017-23,1.43437
2017-24,1.36968
2017-25,1.38908
2017-26,1.18149
2017-27,1.1153
2017-28,0.998308
2017-29,1.07903
2017-30,0.944611
2017-31,0.961125
2017-32,0.904343
2017-33,0.893612
2017-34,0.899017
2017-35,0.795934
2017-36,0.932594
2017-37,0.904698
2017-38,0.938622
2017-39,1.24783
2017-40,1.19834
2017-41,1.0355
2017-42,1.37308
2017-43,1.36996
2017-44,1.50787
2017-45,1.61033
2017-46,1.6294
2017-47,1.90003
2017-48,2.09801
2017-49,2.39118
2017-50,2.65723
2017-51,3.81745
2017-52,3.58402
2018-1,4.56376
2018-2,6.19621
2018-3,7.44408
2018-4,9.17524
2018-5,10.9383
2018-6,10.7166
2018-7,10.3037
2018-8,6.97767
2018-9,5.04069
2018-10,3.71947
2018-11,3.37375
2018-12,2.35595
2018-13,2.59165
2018-14,2.34435
2018-15,2.19619
2018-16,2.22306
2018-17,1.59244
2018-18,2.20051
2018-19,1.50123
2018-20,1.42733
2018-21,1.24434
2018-22,1.40187
2018-23,0.0269724
2018-24,0.0407609
2018-25,0.0001
2018-26,0.0150943
2018-27,0.176025
2018-28,0.0001
2018-29,0.0001
2018-30,0.0135135
2018-31,0.0136836
2018-32,0.0001
2018-33,0.0001
2018-34,0.0001
2018-35,0.0001
2018-36,0.0857633
2018-37,0.289645
2018-38,0.358657
2018-39,0.228311
2018-40,0.964829
2018-41,0.981513
2018-42,1.1082
2018-43,1.13599
2018-44,1.27149
2018-45,1.09671
2018-46,1.13752
2018-47,1.34073
2018-48,1.31868
2018-49,1.46959
2018-50,1.95869
2018-51,2.42469
2018-52,3.02337
2019-1,2.79803
2019-2,2.54146
2019-3,3.09061
2019-4,3.47772
2019-5,3.43723
2019-6,3.87422
2019-7,4.53999
2019-8,4.05558
2019-9,3.24448
2019-10,3.18991
2019-11,3.24566
2019-12,3.25989
2019-13,2.75186
2019-14,2.75008
2019-15,2.08778
2019-16,1.76758
2019-17,1.26139
2019-18,1.15404
2019-19,0.898734
2019-20,0.835082
2019-21,0.899005
2019-22,0.918499
2019-23,0.799747
2019-24,0.669141
2019-25,0.730797
2019-26,0.693126
2019-27,0.678007
2019-28,0.607034
2019-29,0.4943
2019-30,0.511351
2019-31,0.562652
