time,wili
2010-40,0.53143
2010-41,0.53653
2010-42,0.457107
2010-43,0.511163
2010-44,0.649925
2010-45,0.476862
2010-46,0.484569
2010-47,0.63197
2010-48,0.657793
2010-49,0.613611
2010-50,0.628731
2010-51,0.944729
2010-52,1.58986
2011-1,1.5266
2011-2,2.53445
2011-3,3.98145
2011-4,4.89549
2011-5,5.62213
2011-6,6.0716
2011-7,5.03414
2011-8,3.73912
2011-9,2.25827
2011-10,2.32629
2011-11,1.47839
2011-12,1.0581
2011-13,0.838605
2011-14,0.536536
2011-15,0.586047
2011-16,0.370714
2011-17,0.275451
2011-18,0.320739
2011-19,0.405581
2011-20,0.313559
2011-21,0.622249
2011-22,0.607571
2011-23,0.533668
2011-24,0.605469
2011-25,0.637996
2011-26,0.654332
2011-27,0.677613
2011-28,0.422692
2011-29,0.317383
2011-30,0.37921
2011-31,0.262342
2011-32,0.275344
2011-33,0.531915
2011-34,0.293794
2011-35,0.43691
2011-36,0.389788
2011-37,0.562852
2011-38,0.52098
2011-39,0.858681
2011-40,0.350666
2011-41,0.583957
2011-42,0.793962
2011-43,0.740942
2011-44,0.797813
2011-45,0.910326
2011-46,0.864231
2011-47,0.78578
2011-48,0.795694
2011-49,0.750728
2011-50,0.883308
2011-51,1.13978
2011-52,1.52118
2012-1,0.920014
2012-2,0.889533
2012-3,1.01225
2012-4,1.0445
2012-5,1.05287
2012-6,1.29012
2012-7,1.32649
2012-8,1.70918
2012-9,1.52123
2012-10,1.63674
2012-11,0.902817
2012-12,1.29097
2012-13,0.883198
2012-14,1.10951
2012-15,0.90855
2012-16,0.793651
2012-17,0.746526
2012-18,0.622895
2012-19,0.56752
2012-20,0.508067
2012-21,0.213955
2012-22,1.01537
2012-23,0.828189
2012-24,0.744096
2012-25,0.715033
2012-26,0.705764
2012-27,0.891886
2012-28,0.849009
2012-29,0.761937
2012-30,0.91687
2012-31,0.0652884
2012-32,0.719548
2012-33,0.689545
2012-34,0.600223
2012-35,0.832662
2012-36,0.710157
2012-37,0.895777
2012-38,0.939926
2012-39,1.00538
2012-40,0.733066
2012-41,0.615732
2012-42,0.743172
2012-43,0.828717
2012-44,1.08348
2012-45,1.48342
2012-46,1.48495
2012-47,1.79899
2012-48,2.1853
2012-49,5.13223
2012-50,6.34693
2012-51,4.92009
2012-52,8.8115
2013-1,5.01979
2013-2,3.61605
2013-3,3.17627
2013-4,2.46907
2013-5,2.05758
2013-6,1.4279
2013-7,1.19998
2013-8,1.29133
2013-9,1.25905
2013-10,1.3441
2013-11,1.53947
2013-12,0.86483
2013-13,1.41025
2013-14,1.14971
2013-15,0.94323
2013-16,0.870942
2013-17,0.616857
2013-18,0.254987
2013-19,0.217481
2013-20,0.876339
2013-21,0.903974
2013-22,0.107735
2013-23,0.0676361
2013-24,0.0001
2013-25,0.881543
2013-26,0.0637755
2013-27,1.23254
2013-28,0.0001
2013-29,0.0001
2013-30,1.08192
2013-31,0.0001
2013-32,0.735059
2013-33,1.03175
2013-34,0.867679
2013-35,0.089153
2013-36,0.907323
2013-37,0.830565
2013-38,0.465297
2013-39,1.66855
2013-40,0.356983
2013-41,0.867367
2013-42,0.746314
2013-43,0.734639
2013-44,0.821066
2013-45,0.891586
2013-46,0.990508
2013-47,0.87001
2013-48,1.45934
2013-49,1.23108
2013-50,1.47999
2013-51,2.09329
2013-52,4.54545
2014-1,3.91786
2014-2,2.47585
2014-3,3.21006
2014-4,3.13997
2014-5,2.90097
2014-6,1.7691
2014-7,2.06718
2014-8,1.4358
2014-9,1.43214
2014-10,1.312
2014-11,1.15326
2014-12,1.07253
2014-13,0.901358
2014-14,0.875
2014-15,0.951747
2014-16,1.30465
2014-17,0.763823
2014-18,0.982247
2014-19,1.14239
2014-20,0.823245
2014-21,1.20984
2014-22,1.21685
2014-23,1.48046
2014-24,1.28355
2014-25,1.3863
2014-26,0.994391
2014-27,1.03343
2014-28,1.16279
2014-29,1.1744
2014-30,0.917141
2014-31,0.833333
2014-32,1.13924
2014-33,0.806202
2014-34,0.849934
2014-35,0.701993
2014-36,0.840116
2014-37,1.0983
2014-38,0.85752
2014-39,1.24224
2014-40,0.557937
2014-41,0.660579
2014-42,0.493643
2014-43,0.789224
2014-44,0.923254
2014-45,0.970316
2014-46,0.955928
2014-47,0.931489
2014-48,2.0605
2014-49,1.81061
2014-50,2.99005
2014-51,4.59095
2014-52,8.65161
2015-1,7.65419
2015-2,3.79011
2015-3,3.70417
2015-4,4.64486
2015-5,3.47911
2015-6,3.27524
2015-7,3.1039
2015-8,3.29181
2015-9,3.04097
2015-10,2.08497
2015-11,1.83788
2015-12,1.6449
2015-13,1.41022
2015-14,1.33421
2015-15,0.895378
2015-16,0.986164
2015-17,0.642576
2015-18,0.76242
2015-19,0.896298
2015-20,0.727433
2015-21,0.601579
2015-22,0.647535
2015-23,0.536645
2015-24,0.540918
2015-25,0.42604
2015-26,0.448693
2015-27,0.499405
2015-28,0.510308
2015-29,0.672372
2015-30,0.63857
2015-31,0.460375
2015-32,0.591522
2015-33,1.06935
2015-34,0.503712
2015-35,0.969753
2015-36,0.651011
2015-37,0.310463
2015-38,0.765143
2015-39,0.813221
2015-40,1.11747
2015-41,0.835925
2015-42,1.28871
2015-43,1.24048
2015-44,1.40775
2015-45,1.17667
2015-46,0.972206
2015-47,1.17183
2015-48,1.56315
2015-49,1.55678
2015-50,1.53713
2015-51,1.78543
2015-52,2.76382
2015-53,2.62926
2016-1,1.56604
2016-2,1.72929
2016-3,1.85998
2016-4,1.52851
2016-5,1.6268
2016-6,2.16115
2016-7,3.12333
2016-8,4.19302
2016-9,3.99742
2016-10,3.83595
2016-11,3.97115
2016-12,3.45713
2016-13,3.03939
2016-14,2.63865
2016-15,2.29539
2016-16,2.5603
2016-17,2.10485
2016-18,1.96114
2016-19,1.99499
2016-20,1.30969
2016-21,1.3033
2016-22,1.16256
2016-23,1.23501
2016-24,1.10207
2016-25,1.02636
2016-26,0.71273
2016-27,0.922233
2016-28,0.631039
2016-29,0.517241
2016-30,0.734725
2016-31,0.827887
2016-32,1.0075
2016-33,0.749559
2016-34,0.80313
2016-35,0.921569
2016-36,1.22687
2016-37,1.23614
2016-38,1.43726
2016-39,1.68015
2016-40,0.830327
2016-41,0.921955
2016-42,0.951204
2016-43,1.06549
2016-44,0.949262
2016-45,1.40114
2016-46,1.57954
2016-47,1.95726
2016-48,1.61309
2016-49,1.53331
2016-50,2.16034
2016-51,2.96854
2016-52,3.41129
2017-1,2.56276
2017-2,2.18439
2017-3,2.66282
2017-4,2.84282
2017-5,5.17611
2017-6,5.64241
2017-7,6.66496
2017-8,7.59585
2017-9,5.96889
2017-10,5.24093
2017-11,3.25811
2017-12,5.45548
2017-13,4.06883
2017-14,3.0226
2017-15,2.45351
2017-16,1.443
2017-17,0.96977
2017-18,0.909018
2017-19,1.05145
2017-20,0.981997
2017-21,1.43239
2017-22,0.928737
2017-23,1.31473
2017-24,0.746269
2017-25,0.669437
2017-26,0.573709
2017-27,0.242522
2017-28,0.561935
2017-29,0.333933
2017-30,0.514766
2017-31,0.3276
2017-32,0.240626
2017-33,0.300365
2017-34,0.143885
2017-35,0.525146
2017-36,0.784929
2017-37,0.709349
2017-38,0.523469
2017-39,0.669344
2017-40,1.06519
2017-41,1.28615
2017-42,1.01247
2017-43,1.37457
2017-44,1.48312
2017-45,1.56343
2017-46,1.83144
2017-47,2.5641
2017-48,1.71829
