time,wili
2010-40,0.228257
2010-41,0.361628
2010-42,0.52356
2010-43,0.329518
2010-44,0.831798
2010-45,0.51801
2010-46,0.533199
2010-47,0.454502
2010-48,0.349567
2010-49,0.342466
2010-50,0.446457
2010-51,0.598156
2010-52,0.721306
2011-1,0.914853
2011-2,1.17144
2011-3,1.63964
2011-4,2.40387
2011-5,3.4932
2011-6,2.26706
2011-7,2.23717
2011-8,1.90649
2011-9,1.68197
2011-10,1.48446
2011-11,1.28231
2011-12,0.648695
2011-13,0.87309
2011-14,0.615465
2011-15,0.452128
2011-16,0.355802
2011-17,0.375144
2011-18,0.6618
2011-19,0.387558
2011-20,0.485879
2011-21,0.285442
2011-22,0.486244
2011-23,0.210239
2011-24,0.0583771
2011-25,0.0741198
2011-26,0.277497
2011-27,0.294551
2011-28,0.0705384
2011-29,0.0965018
2011-30,0.0353607
2011-31,0.162115
2011-32,0.172138
2011-33,0.0472701
2011-34,0.10066
2011-35,0.0569801
2011-36,0.125278
2011-37,0.21846
2011-38,0.103135
2011-39,0.212718
2011-40,0.494387
2011-41,0.651205
2011-42,0.677744
2011-43,0.620535
2011-44,0.755792
2011-45,0.85033
2011-46,0.66078
2011-47,0.805715
2011-48,0.698893
2011-49,0.574876
2011-50,0.674313
2011-51,0.515079
2011-52,0.536658
2012-1,0.71164
2012-2,0.809468
2012-3,0.710344
2012-4,0.621437
2012-5,0.928986
2012-6,0.87378
2012-7,0.830989
2012-8,1.00332
2012-9,0.847925
2012-10,0.892857
2012-11,0.714945
2012-12,0.770128
2012-13,0.687333
2012-14,0.690264
2012-15,0.495009
2012-16,0.48739
2012-17,0.374181
2012-18,0.479534
2012-19,0.640959
2012-20,0.36757
2012-21,0.337309
2012-22,0.262939
2012-23,0.248973
2012-24,0.093633
2012-25,0.0933085
2012-26,0.147874
2012-27,0.149303
2012-28,0.102656
2012-29,0.0404968
2012-30,0.258298
2012-31,0.0138255
2012-32,0.190269
2012-33,0.0631074
2012-34,0.196912
2012-35,0.301902
2012-36,0.297018
2012-37,0.367607
2012-38,0.482625
2012-39,0.498304
2012-40,0.919489
2012-41,0.754795
2012-42,0.864975
2012-43,0.863508
2012-44,0.804787
2012-45,0.923037
2012-46,0.971335
2012-47,1.6437
2012-48,1.6207
2012-49,2.27431
2012-50,2.99779
2012-51,4.87248
2012-52,5.31167
2013-1,3.67943
2013-2,2.89587
2013-3,3.00585
2013-4,2.65128
2013-5,2.02597
2013-6,1.68523
2013-7,1.50813
2013-8,2.11968
2013-9,1.58579
2013-10,1.1089
2013-11,1.17899
2013-12,0.823271
2013-13,0.866845
2013-14,0.881356
2013-15,0.625
2013-16,0.496079
2013-17,0.428266
2013-18,0.384353
2013-19,0.358543
2013-20,0.188147
2013-21,0.325998
2013-22,0.527929
2013-23,0.269427
2013-24,0.245523
2013-25,0.396264
2013-26,0.318514
2013-27,0.129486
2013-28,0.328431
2013-29,0.0859599
2013-30,0.180505
2013-31,0.374047
2013-32,0.126511
2013-33,0.309816
2013-34,0.275482
2013-35,0.299835
2013-36,0.364596
2013-37,0.322719
2013-38,0.247441
2013-39,0.723643
2013-40,0.478911
2013-41,0.646813
2013-42,0.525323
2013-43,0.541415
2013-44,0.565866
2013-45,0.684692
2013-46,0.71213
2013-47,0.683909
2013-48,0.97723
2013-49,0.776099
2013-50,0.817694
2013-51,0.948992
2013-52,1.90456
2014-1,2.31029
2014-2,1.83799
2014-3,1.69376
2014-4,1.83346
2014-5,1.71574
2014-6,1.21782
2014-7,1.2954
2014-8,0.976909
2014-9,1.12666
2014-10,0.995671
2014-11,0.796262
2014-12,0.715975
2014-13,0.718586
2014-14,0.71711
2014-15,0.750173
2014-16,0.580983
2014-17,0.592349
2014-18,0.571842
2014-19,0.432727
2014-20,0.250604
2014-21,0.321802
2014-22,0.367436
2014-23,0.436388
2014-24,0.248307
2014-25,0.23638
2014-26,0.26021
2014-27,0.317023
2014-28,0.226784
2014-29,0.219459
2014-30,0.310952
2014-31,0.287134
2014-32,0.234797
2014-33,0.241926
2014-34,0.198194
2014-35,0.258131
2014-36,0.416004
2014-37,0.400348
2014-38,0.446263
2014-39,0.164174
2014-40,0.392734
2014-41,0.576121
2014-42,0.49337
2014-43,0.605954
2014-44,0.534759
2014-45,0.551492
2014-46,0.626844
2014-47,0.487381
2014-48,0.578674
2014-49,1.03679
2014-50,1.97942
2014-51,3.35649
2014-52,6.96472
2015-1,4.96567
2015-2,3.43176
2015-3,2.39774
2015-4,1.86139
2015-5,1.53061
2015-6,1.2093
2015-7,1.38487
2015-8,1.35021
2015-9,1.01945
2015-10,1.01415
2015-11,0.921524
2015-12,0.885952
2015-13,1.19127
2015-14,1.16949
2015-15,0.85263
2015-16,0.608189
2015-17,0.483543
2015-18,0.637059
2015-19,0.592977
2015-20,0.479281
2015-21,0.430019
2015-22,0.483534
2015-23,0.340522
2015-24,0.477816
2015-25,0.365339
2015-26,0.392504
2015-27,0.317125
2015-28,0.318823
2015-29,0.324971
2015-30,0.383359
2015-31,0.546875
2015-32,0.361847
2015-33,0.426157
2015-34,0.516327
2015-35,0.442478
2015-36,0.414823
2015-37,0.417633
2015-38,0.288462
2015-39,0.533826
2015-40,0.57026
2015-41,0.54476
2015-42,0.650656
2015-43,0.572453
2015-44,0.589923
2015-45,0.736329
2015-46,0.959362
2015-47,0.645642
2015-48,0.768743
2015-49,0.622169
2015-50,0.904533
2015-51,0.722748
2015-52,0.975264
2015-53,0.925092
2016-1,0.833012
2016-2,0.893183
2016-3,0.734548
2016-4,0.841751
2016-5,0.874179
2016-6,1.09736
2016-7,1.44145
2016-8,1.67182
2016-9,1.65649
2016-10,2.44448
2016-11,1.78285
2016-12,1.82237
2016-13,1.47588
2016-14,1.14891
2016-15,0.880677
2016-16,1.05375
2016-17,0.838148
2016-18,0.737705
2016-19,0.635449
2016-20,0.547341
2016-21,0.468722
2016-22,0.493653
2016-23,0.481478
2016-24,0.495964
2016-25,0.432526
2016-26,0.444115
2016-27,0.422623
2016-28,0.41758
2016-29,0.336738
2016-30,0.36846
2016-31,0.507446
2016-32,0.390699
2016-33,0.411147
2016-34,0.445516
2016-35,0.474225
2016-36,0.677401
2016-37,0.629051
2016-38,0.628536
2016-39,0.836581
2016-40,0.581257
2016-41,0.600673
2016-42,0.57097
2016-43,0.691365
2016-44,0.75304
2016-45,0.761227
2016-46,0.724849
2016-47,0.797301
2016-48,0.951723
2016-49,1.02509
2016-50,1.28297
2016-51,1.28987
2016-52,1.57742
2017-1,1.43458
2017-2,1.27898
2017-3,1.73702
2017-4,1.99963
2017-5,2.73095
2017-6,3.02016
2017-7,3.09366
2017-8,3.58684
2017-9,2.46458
2017-10,2.07281
2017-11,2.01427
2017-12,2.15581
2017-13,1.71733
2017-14,1.24417
2017-15,1.1233
