time,wili
2010-40,0.624179
2010-41,0.958678
2010-42,2.07039
2010-43,1.67073
2010-44,1.62845
2010-45,2.57453
2010-46,3.35068
2010-47,2.6523
2010-48,2.14477
2010-49,2.33623
2010-50,3.40386
2010-51,4.09441
2010-52,4.9101
2011-1,3.02847
2011-2,5.76184
2011-3,10.3386
2011-4,14.4065
2011-5,12.8354
2011-6,7.32127
2011-7,7.16321
2011-8,5.65058
2011-9,4.77424
2011-10,3.57379
2011-11,3.2034
2011-12,1.86879
2011-13,1.21359
2011-14,1.56685
2011-15,0.674252
2011-16,0.592969
2011-17,0.293686
2011-18,0.310421
2011-19,0.387973
2011-20,0.215703
2011-21,0.229226
2011-22,0.047824
2011-23,0.195886
2011-24,0.297619
2011-25,0.0001
2011-26,0.175336
2011-27,0.172414
2011-28,0.106157
2011-29,0.102934
2011-30,0.101317
2011-31,0.0507099
2011-32,0.0001
2011-33,0.30722
2011-34,0.326397
2011-35,0.285225
2011-36,0.40783
2011-37,0.865426
2011-38,0.316313
2011-39,0.625782
2011-40,1.56483
2011-41,1.04128
2011-42,1.2191
2011-43,0.785855
2011-44,1.14192
2011-45,1.6163
2011-46,2.19328
2011-47,1.00604
2011-48,2.05744
2011-49,1.68188
2011-50,0.958606
2011-51,1.4556
2011-52,1.26582
2012-1,1.75579
2012-2,1.22227
2012-3,1.18125
2012-4,3.34881
2012-5,3.20573
2012-6,3.14499
2012-7,4.30293
2012-8,5.80408
2012-9,6.02966
2012-10,6.85728
2012-11,8.18255
2012-12,3.92518
2012-13,2.28607
2012-14,1.98482
2012-15,1.07081
2012-16,1.72618
2012-17,2.0202
2012-18,1.32064
2012-19,1.64096
2012-20,0.443262
2012-21,1.50404
2012-22,0.356189
2012-23,1.11607
2012-24,0.195122
2012-25,1.45081
2012-26,0.801974
2012-27,0.834671
2012-28,0.902201
2012-29,0.0001
2012-30,0.315209
2012-31,0.407095
2012-32,0.0001
2012-33,0.0329056
2012-34,1.32582
2012-35,1.33156
2012-36,1.95429
2012-37,1.35613
2012-38,0.667976
2012-39,1.88631
2012-40,1.79942
2012-41,2.38773
2012-42,1.23648
2012-43,1.80451
2012-44,1.68478
2012-45,1.76421
2012-46,1.68627
2012-47,1.95848
2012-48,2.77162
2012-49,3.04892
2012-50,4.37184
2012-51,4.44115
2012-52,10.4434
2013-1,7.87562
2013-2,8.43243
2013-3,9.74255
2013-4,8.25726
2013-5,8.98551
2013-6,5.18067
2013-7,4.9334
2013-8,4.83708
2013-9,4.42518
2013-10,2.98826
2013-11,3.59468
2013-12,2.84058
2013-13,1.78482
2013-14,1.84182
2013-15,1.14596
2013-16,1.42429
2013-17,1.74512
2013-18,0.911162
2013-19,0.66335
2013-20,0.397702
2013-21,0.322321
2013-22,0.0001
2013-23,0.102564
2013-24,0.0788644
2013-25,0.0800641
2013-26,0.0911162
2013-27,0.480307
2013-28,0.293974
2013-29,0.2772
2013-30,0.164069
2013-31,0.0495786
2013-32,0.265722
2013-33,0.162272
2013-34,1.0917
2013-35,0.430866
2013-36,1.62081
2013-37,1.04869
2013-38,0.842171
2013-39,1.02987
2013-40,2.33181
2013-41,1.87829
2013-42,2.11759
2013-43,2.4853
2013-44,2.48809
2013-45,3.53245
2013-46,3.42067
2013-47,3.03972
2013-48,2.54652
2013-49,4.32297
2013-50,4.06279
2013-51,4.68674
2013-52,7.26619
2014-1,6.62417
2014-2,6.94503
2014-3,7.63397
2014-4,7.53382
2014-5,8.74261
