time,wili
2010-40,0.551334
2010-41,0.624076
2010-42,0.484848
2010-43,0.751771
2010-44,0.764895
2010-45,0.775305
2010-46,0.657895
2010-47,1.06383
2010-48,0.718276
2010-49,0.980101
2010-50,1.39498
2010-51,2.06037
2010-52,2.29709
2011-1,1.22262
2011-2,1.64506
2011-3,1.90359
2011-4,2.11458
2011-5,1.6229
2011-6,2.25032
2011-7,2.5634
2011-8,1.81037
2011-9,1.91172
2011-10,2.09194
2011-11,1.625
2011-12,1.64474
2011-13,1.28979
2011-14,1.00822
2011-15,0.965873
2011-16,1.07246
2011-17,0.959752
2011-18,0.924745
2011-19,0.929924
2011-20,1.07901
2011-21,0.645819
2011-22,0.814053
2011-23,0.575595
2011-24,1.07849
2011-25,1.29577
2011-26,0.780814
2011-27,0.648088
2011-28,0.557414
2011-29,0.312663
2011-30,0.542005
2011-31,0.448934
2011-32,0.484131
2011-33,0.383693
2011-34,0.359343
2011-35,0.484914
2011-36,0.561167
2011-37,1.05332
2011-38,1.14144
2011-39,0.750268
2011-40,0.264473
2011-41,0.67861
2011-42,0.582686
2011-43,0.581751
2011-44,0.680828
2011-45,0.466418
2011-46,0.921502
2011-47,1.46477
2011-48,0.846785
2011-49,0.556638
2011-50,1.25354
2011-51,1.72481
2011-52,1.25433
2012-1,1.24555
2012-2,0.716662
2012-3,1.2901
2012-4,1.39747
2012-5,0.964467
2012-6,1.10165
2012-7,1.74752
2012-8,1.3885
2012-9,1.71788
2012-10,1.65916
2012-11,2.01274
2012-12,3.66636
2012-13,1.94405
2012-14,0.86135
2012-15,2.05532
2012-16,0.812536
2012-17,1.03448
2012-18,0.872347
2012-19,0.680904
2012-20,0.67402
2012-21,0.48185
2012-22,0.622407
2012-23,0.640593
2012-24,0.725191
2012-25,0.713861
2012-26,0.530348
2012-27,0.293902
2012-28,0.26441
2012-29,0.383387
2012-30,0.344116
2012-31,0.184957
2012-32,0.453662
2012-33,0.316056
2012-34,0.285307
2012-35,0.453172
2012-36,0.461184
2012-37,0.67981
2012-38,0.793651
2012-39,0.686342
2012-40,0.365059
2012-41,0.753693
2012-42,0.774749
2012-43,0.708383
2012-44,0.801233
2012-45,0.662252
2012-46,0.440044
2012-47,0.366151
2012-48,0.421257
2012-49,1.07246
2012-50,1.80769
2012-51,0.953107
2012-52,3.77588
2013-1,2.78761
2013-2,2.67185
2013-3,3.23712
2013-4,4.3911
2013-5,3.3109
2013-6,2.75387
2013-7,2.72505
2013-8,2.59301
2013-9,1.82687
2013-10,1.02113
2013-11,1.42123
2013-12,0.543971
2013-13,0.704887
2013-14,0.766871
2013-15,0.285533
2013-16,0.258065
2013-17,0.223428
2013-18,0.316256
2013-19,0.0809717
2013-20,0.223547
2013-21,0.230061
2013-22,0.137049
2013-23,0.415512
2013-24,0.4111
2013-25,0.156863
2013-26,0.187091
2013-27,0.0001
2013-28,0.268817
2013-29,0.0960615
2013-30,0.340136
2013-31,0.442968
2013-32,0.287081
2013-33,0.0001
2013-34,0.0001
2013-35,0.0001
2013-36,0.143062
2013-37,0.14245
2013-38,0.443787
2013-39,0.436137
2013-40,0.0904432
2013-41,0.151668
2013-42,0.443568
2013-43,0.321268
2013-44,0.459559
2013-45,0.307613
2013-46,0.484914
2013-47,0.496689
2013-48,0.324675
2013-49,0.746714
2013-50,0.898204
2013-51,1.76152
2013-52,4.26703
2014-1,5.00275
2014-2,3.47976
2014-3,3.30138
2014-4,2.36039
2014-5,1.44202
2014-6,1.2931
2014-7,0.794378
2014-8,0.880432
2014-9,0.473274
2014-10,0.508044
2014-11,0.44603
2014-12,0.720243
2014-13,0.594732
2014-14,0.497843
2014-15,0.503555
2014-16,0.421941
2014-17,0.409989
2014-18,0.34626
2014-19,0.701481
2014-20,0.417933
2014-21,0.370508
2014-22,0.211149
2014-23,0.171306
2014-24,0.371353
2014-25,0.232919
2014-26,0.097371
2014-27,0.471143
2014-28,0.471698
2014-29,0.262238
2014-30,0.0001
2014-31,0.176678
2014-32,0.188324
2014-33,0.0884956
2014-34,0.0001
2014-35,0.195503
2014-36,0.0001
2014-37,0.106383
2014-38,0.975976
2014-39,0.538117
2014-40,0.223499
2014-41,0.418535
2014-42,0.572246
2014-43,0.713776
2014-44,1.03776
2014-45,0.44891
2014-46,0.502753
2014-47,0.469832
2014-48,0.598653
2014-49,1.27639
2014-50,0.958827
2014-51,0.8
2014-52,1.24159
2015-1,1.39123
2015-2,1.52801
2015-3,2.22525
2015-4,2.16042
2015-5,1.24717
2015-6,1.0434
2015-7,1.13863
2015-8,0.85692
2015-9,0.384615
2015-10,0.588043
2015-11,0.565698
2015-12,0.991326
2015-13,0.581637
2015-14,0.89748
2015-15,0.55325
2015-16,0.588847
2015-17,0.83682
2015-18,0.55788
2015-19,0.24321
2015-20,0.364299
2015-21,0.0859845
2015-22,0.1619
2015-23,0.337981
2015-24,0.265135
2015-25,0.0001
2015-26,0.213828
2015-27,0.0856164
2015-28,0.069979
2015-29,0.210084
2015-30,0.0001
2015-31,0.0672043
2015-32,0.0001
2015-33,0.0001
2015-34,0.0001
2015-35,0.0001
2015-36,0.292398
2015-37,0.876011
2015-38,0.610772
2015-39,0.703518
2015-40,0.283587
2015-41,0.609618
2015-42,0.889757
2015-43,0.801527
2015-44,0.816957
2015-45,0.660981
2015-46,1.81065
2015-47,1.33049
2015-48,1.72911
2015-49,1.7094
2015-50,0.831409
2015-51,1.09102
2015-52,0.936037
2015-53,0.932306
2016-1,1.2949
2016-2,1.6622
2016-3,2.13383
2016-4,2.12389
2016-5,2.22763
2016-6,1.90729
2016-7,2.81959
2016-8,2.48518
2016-9,2.66258
2016-10,3.46895
2016-11,3.20603
2016-12,1.15677
2016-13,2.3569
2016-14,2.39763
2016-15,0.940513
2016-16,0.929494
2016-17,0.640394
2016-18,0.726453
2016-19,0.548246
2016-20,0.0763359
2016-21,0.0001
2016-22,0.0001
2016-23,0.133393
2016-24,0.268276
2016-25,0.0774593
2016-26,0.0001
2016-27,0.0001
2016-28,0.162075
2016-29,0.0804505
2016-30,0.0001
2016-31,0.0001
2016-32,0.0001
2016-33,0.0001
2016-34,0.0001
2016-35,0.0793651
2016-36,0.0001
2016-37,0.276625
2016-38,0.155159
2016-39,0.176367
2016-40,0.611951
2016-41,0.41806
2016-42,0.70714
2016-43,0.631649
2016-44,1.05812
2016-45,1.35724
2016-46,0.773422
2016-47,1.02576
2016-48,1.01609
2016-49,1.07239
2016-50,2.19922
2016-51,2.32236
2016-52,5.786
2017-1,5.1757
2017-2,1.91548
2017-3,2.63546
2017-4,2.97925
2017-5,3.01508
2017-6,3.29529
2017-7,2.9166
2017-8,2.5323
2017-9,2.61278
2017-10,1.59095
2017-11,2.26988
2017-12,1.55855
2017-13,0.894415
2017-14,1.08395
2017-15,0.76666
2017-16,0.874688
2017-17,0.451807
2017-18,1.0425
2017-19,0.754717
2017-20,0.703916
2017-21,0.321384
2017-22,0.38525
2017-23,0.480538
2017-24,0.316874
2017-25,0.467602
2017-26,0.496894
2017-27,0.0788333
2017-28,0.123191
2017-29,0.15748
2017-30,0.102284
2017-31,0.380068
2017-32,0.411692
2017-33,0.108617
2017-34,0.259067
2017-35,0.482121
2017-36,0.0570776
2017-37,0.769769
2017-38,0.534164
2017-39,0.350688
2017-40,0.844804
2017-41,0.932869
2017-42,1.10127
2017-43,1.08745
2017-44,1.2964
2017-45,1.49438
2017-46,1.26472
2017-47,1.64241
2017-48,1.56149
2017-49,1.85642
2017-50,2.48936
2017-51,3.8024
2017-52,4.88977
2018-1,4.78878
2018-2,4.70469
2018-3,4.98781
2018-4,4.66363
2018-5,4.6211
2018-6,3.60467
2018-7,3.15409
2018-8,3.13381
2018-9,2.67081
2018-10,2.13432
2018-11,2.44963
2018-12,2.36983
2018-13,2.11313
2018-14,1.69762
2018-15,1.35582
2018-16,1.19024
2018-17,1.01416
2018-18,0.989866
2018-19,0.876797
2018-20,0.758505
2018-21,0.71912
2018-22,0.782735
2018-23,0.81507
2018-24,0.7486
2018-25,0.697553
2018-26,0.58273
2018-27,0.599857
2018-28,0.469835
2018-29,0.421065
2018-30,0.349108
2018-31,0.298632
2018-32,0.38562
2018-33,0.412281
2018-34,0.400144
2018-35,0.483954
2018-36,0.601436
2018-37,0.493436
2018-38,0.610103
2018-39,0.705561
2018-40,0.778397
2018-41,0.793493
2018-42,0.856987
2018-43,0.879487
2018-44,0.927737
2018-45,0.99541
2018-46,1.16013
2018-47,1.36558
2018-48,1.22572
2018-49,1.28866
2018-50,1.56232
2018-51,1.591
2018-52,1.75539
2019-1,2.1389
2019-2,1.6373
2019-3,1.68362
2019-4,1.90252
2019-5,2.31881
2019-6,2.54826
2019-7,2.91153
2019-8,3.5372
2019-9,3.86993
2019-10,3.97757
2019-11,4.70603
2019-12,4.71255
2019-13,2.86383
2019-14,2.02488
2019-15,1.36199
2019-16,1.30762
2019-17,1.28452
2019-18,1.0602
2019-19,0.987481
2019-20,0.920709
2019-21,0.894641
2019-22,0.933567
2019-23,0.736127
2019-24,0.684507
2019-25,0.6272
2019-26,0.576515
2019-27,0.560258
2019-28,0.471256
2019-29,0.372871
2019-30,0.347495
2019-31,0.366468
