time,wili
2010-40,0.703292
2010-41,0.910726
2010-42,0.881081
2010-43,0.72118
2010-44,0.991455
2010-45,1.03377
2010-46,0.946337
2010-47,1.10846
2010-48,1.20878
2010-49,1.22407
2010-50,1.35668
2010-51,2.00375
2010-52,2.38516
2011-1,2.10846
2011-2,2.3239
2011-3,2.72705
2011-4,4.04659
2011-5,4.37266
2011-6,3.74081
2011-7,3.61821
2011-8,3.40457
2011-9,2.91082
2011-10,2.76817
2011-11,2.01834
2011-12,1.58492
2011-13,1.55592
2011-14,1.68153
2011-15,1.41556
2011-16,0.970285
2011-17,0.976213
2011-18,1.03274
2011-19,0.996843
2011-20,1.0065
2011-21,0.862225
2011-22,1.004
2011-23,1.02332
2011-24,0.697869
2011-25,0.810081
2011-26,0.624086
2011-27,0.821396
2011-28,0.538529
2011-29,0.599161
2011-30,0.527498
2011-31,0.519427
2011-32,0.628995
2011-33,0.575717
2011-34,0.47421
2011-35,0.530273
2011-36,0.614539
2011-37,0.815472
2011-38,0.978735
2011-39,0.778919
2011-40,0.728934
2011-41,0.819881
2011-42,0.806645
2011-43,0.905021
2011-44,0.980066
2011-45,1.04828
2011-46,0.979103
2011-47,1.32165
2011-48,1.17903
2011-49,1.00654
2011-50,1.19955
2011-51,1.62257
2011-52,2.10624
2012-1,1.59839
2012-2,1.50271
2012-3,1.36725
2012-4,1.29824
2012-5,1.33236
2012-6,1.34819
2012-7,1.29395
2012-8,1.35975
2012-9,1.31392
2012-10,1.29178
2012-11,1.34998
2012-12,1.21647
2012-13,1.2839
2012-14,1.23981
2012-15,1.16576
2012-16,1.12786
2012-17,0.904811
2012-18,0.9398
2012-19,1.00174
2012-20,0.932164
2012-21,0.843332
2012-22,0.757161
2012-23,0.630327
2012-24,0.573596
2012-25,0.721046
2012-26,0.632436
2012-27,0.502219
2012-28,0.514166
2012-29,0.612574
2012-30,0.758871
2012-31,0.581916
2012-32,0.505439
2012-33,0.610094
2012-34,0.738168
2012-35,0.559332
2012-36,0.603787
2012-37,0.855201
2012-38,0.707461
2012-39,0.774148
2012-40,1.03218
2012-41,0.870406
2012-42,1.10987
2012-43,0.969937
2012-44,1.25516
2012-45,1.16348
2012-46,1.20353
2012-47,1.46221
2012-48,1.42684
2012-49,2.06708
2012-50,3.22581
2012-51,4.09585
2012-52,6.06691
2013-1,4.19815
2013-2,4.30241
2013-3,4.96328
2013-4,3.63506
2013-5,2.72834
2013-6,2.49063
2013-7,2.98393
2013-8,2.50669
2013-9,2.56207
2013-10,2.57542
2013-11,2.65614
2013-12,2.23717
2013-13,1.71415
2013-14,1.58031
2013-15,1.28509
2013-16,1.05755
2013-17,0.915316
2013-18,0.8909
2013-19,0.847587
2013-20,0.738477
2013-21,0.885559
2013-22,0.960036
2013-23,0.76053
2013-24,0.845819
2013-25,0.614092
2013-26,0.604195
2013-27,0.542846
2013-28,0.611897
2013-29,0.437613
2013-30,0.417275
2013-31,0.563116
2013-32,0.570278
2013-33,0.571367
2013-34,0.403464
2013-35,0.36554
2013-36,0.475082
2013-37,0.66058
2013-38,0.72715
2013-39,0.607761
2013-40,0.754364
2013-41,0.826735
2013-42,0.711153
2013-43,0.794165
2013-44,0.829274
2013-45,0.773813
2013-46,0.887462
2013-47,0.725484
2013-48,1.01918
2013-49,1.0175
2013-50,1.20732
2013-51,1.83724
2013-52,3.10234
2014-1,3.24514
2014-2,2.83613
2014-3,2.71894
2014-4,3.07744
2014-5,2.83049
2014-6,2.51665
2014-7,1.97179
2014-8,1.78917
2014-9,1.69503
2014-10,1.46823
2014-11,1.5927
2014-12,1.54725
2014-13,1.75439
2014-14,1.90891
2014-15,1.53094
2014-16,1.22532
2014-17,1.14736
2014-18,0.950616
2014-19,1.24791
2014-20,1.27145
2014-21,1.25712
2014-22,1.13383
2014-23,1.21124
2014-24,0.914125
2014-25,0.874445
2014-26,0.938584
2014-27,0.806452
2014-28,0.876469
2014-29,0.613497
2014-30,0.930445
2014-31,1.01355
2014-32,0.454042
2014-33,0.778042
2014-34,0.693241
2014-35,0.67996
2014-36,0.777068
2014-37,0.929671
2014-38,1.2626
2014-39,1.06503
2014-40,0.937714
2014-41,1.1936
2014-42,1.01448
2014-43,1.1704
2014-44,1.08301
2014-45,1.18687
2014-46,1.21473
2014-47,1.43141
2014-48,2.25854
2014-49,1.7612
2014-50,2.75217
2014-51,4.4293
2014-52,7.0306
2015-1,6.34131
2015-2,4.48301
2015-3,3.79356
2015-4,5.3234
2015-5,4.86334
2015-6,4.2072
2015-7,2.83557
2015-8,2.58566
2015-9,1.974
2015-10,2.71926
2015-11,1.88728
2015-12,1.75258
2015-13,1.92067
2015-14,1.70947
2015-15,1.68904
2015-16,1.59007
2015-17,1.35877
2015-18,1.44705
2015-19,1.27918
2015-20,1.18577
2015-21,1.07339
2015-22,1.50939
2015-23,1.02753
2015-24,1.12459
2015-25,0.904048
2015-26,0.912012
2015-27,1.00606
2015-28,1.17045
2015-29,0.91977
2015-30,0.885329
2015-31,0.709442
2015-32,0.92326
2015-33,0.735294
2015-34,0.929204
2015-35,0.763889
2015-36,1.09982
2015-37,0.928897
2015-38,1.19428
2015-39,1.19665
2015-40,1.00901
2015-41,1.30656
2015-42,1.50744
2015-43,1.61744
2015-44,1.35201
2015-45,1.3918
2015-46,1.55583
2015-47,1.55956
2015-48,1.97417
2015-49,1.56455
2015-50,1.95162
2015-51,2.21809
2015-52,2.73918
2015-53,3.01098
2016-1,2.43179
2016-2,2.15585
2016-3,2.27801
2016-4,2.4708
2016-5,2.45783
2016-6,2.37481
2016-7,2.02913
2016-8,2.91049
2016-9,3.32486
2016-10,4.46836
2016-11,3.20347
2016-12,3.4132
2016-13,2.63062
2016-14,2.1044
2016-15,2.30566
2016-16,2.25348
2016-17,2.26749
2016-18,1.82765
2016-19,1.67658
2016-20,1.72241
2016-21,1.40242
2016-22,1.5011
2016-23,1.31918
2016-24,0.985171
2016-25,1.10414
2016-26,1.10257
2016-27,0.907464
2016-28,0.826792
2016-29,0.900429
2016-30,0.917026
2016-31,0.894644
2016-32,0.941457
2016-33,0.685439
2016-34,0.631064
2016-35,1.00456
2016-36,0.83632
2016-37,0.634293
2016-38,0.771227
2016-39,0.916372
2016-40,0.931615
2016-41,0.743974
2016-42,0.93133
2016-43,0.92762
2016-44,1.11433
2016-45,1.18041
2016-46,1.24774
2016-47,1.39111
2016-48,1.12638
2016-49,1.46324
2016-50,1.83919
2016-51,1.94061
2016-52,3.13256
2017-1,2.91819
2017-2,2.67744
2017-3,3.37152
2017-4,3.90425
2017-5,4.18771
2017-6,5.78649
2017-7,4.68299
2017-8,4.00976
2017-9,2.57151
2017-10,2.61716
2017-11,2.88777
2017-12,2.35755
2017-13,2.63832
2017-14,1.8562
2017-15,1.73473
2017-16,1.50122
2017-17,1.18574
2017-18,1.10505
2017-19,0.813853
2017-20,1.01958
2017-21,0.709366
2017-22,0.89144
2017-23,0.761653
2017-24,0.662025
2017-25,0.575667
2017-26,0.49621
2017-27,0.57329
2017-28,0.400867
2017-29,0.569988
2017-30,0.594923
2017-31,0.757909
2017-32,0.419336
2017-33,0.448725
2017-34,0.422483
2017-35,0.581959
2017-36,0.518403
2017-37,0.574933
2017-38,0.609258
2017-39,0.890782
2017-40,0.787036
2017-41,0.852218
2017-42,0.926832
2017-43,0.975943
2017-44,1.10597
2017-45,1.21881
2017-46,1.28185
2017-47,1.29776
2017-48,1.35232
2017-49,1.36633
2017-50,1.46136
2017-51,1.6969
2017-52,2.52226
2018-1,2.57178
2018-2,2.87291
2018-3,3.85401
2018-4,4.73499
2018-5,5.88179
2018-6,6.65385
2018-7,6.79851
2018-8,5.39183
2018-9,3.68232
2018-10,2.72218
2018-11,2.47876
2018-12,2.34462
2018-13,2.15666
2018-14,1.76142
2018-15,1.61448
2018-16,1.33948
2018-17,1.28933
2018-18,1.1062
2018-19,0.917737
2018-20,0.783355
2018-21,0.726085
2018-22,0.719716
2018-23,0.752059
2018-24,0.652549
2018-25,0.54252
2018-26,0.510015
2018-27,0.494634
2018-28,0.481905
2018-29,0.356381
2018-30,0.34642
2018-31,0.421819
2018-32,0.36568
2018-33,0.408946
2018-34,0.411591
2018-35,0.460419
2018-36,0.576526
2018-37,0.712996
2018-38,0.853632
2018-39,1.00661
2018-40,0.901871
2018-41,1.04907
2018-42,1.07662
2018-43,1.14248
2018-44,1.20261
2018-45,1.32262
2018-46,1.38527
2018-47,1.60346
2018-48,1.42853
2018-49,1.52263
2018-50,1.89283
2018-51,2.14732
2018-52,3.0173
2019-1,2.85305
2019-2,2.40853
2019-3,2.41556
2019-4,2.88148
2019-5,2.89507
2019-6,2.96059
2019-7,3.35409
2019-8,3.2371
2019-9,3.12216
2019-10,3.23066
2019-11,3.22501
2019-12,2.75972
2019-13,2.7371
2019-14,2.26521
2019-15,1.84945
2019-16,1.43752
2019-17,1.144
2019-18,1.06413
2019-19,0.94896
2019-20,0.76163
2019-21,0.91072
2019-22,0.635145
2019-23,0.807042
2019-24,0.699147
2019-25,0.697423
2019-26,0.591157
2019-27,0.497635
2019-28,0.491506
2019-29,0.450108
2019-30,0.51323
2019-31,0.479742
