time,wili
2013-40,5.16129
2013-41,6.28492
2013-42,7.71277
2013-43,4.5045
2013-44,7.33057
2013-45,4.75578
2013-46,2.81294
2013-47,3.97059
2013-48,3.62319
2013-49,4.12371
2013-50,3.14961
2013-51,4.10959
2013-52,0.0001
2014-1,3.00429
2014-2,3.48837
2014-3,3.31325
2014-4,3.84615
2014-5,4.59418
2014-6,4.83384
2014-7,5.02035
2014-8,3.72272
2014-9,4.20499
2014-10,2.87278
2014-11,3.52021
2014-12,3.77358
2014-13,4.68966
2014-14,4.09091
2014-15,3.45369
2014-16,3.26409
2014-17,5.37482
2014-18,3.39463
2014-19,6.58499
2014-20,5.41401
2014-21,5.11696
2014-22,5.40146
2014-23,7.93651
2014-24,9.02965
2014-25,8.12582
2014-26,8.41866
2014-27,0.0001
2014-28,10.4637
2014-29,14.212
2014-30,7.74476
2014-31,7.8765
2014-32,3.9173
2014-33,3.73776
2014-34,4.59815
2014-35,6.8991
2014-36,7.18778
2014-37,7.10806
2014-38,3.86579
2014-39,7.24346
2014-40,6.77821
2014-41,4.16171
2014-42,10.1388
2014-43,9.27433
2014-44,6.18928
2014-45,10.6045
2014-46,8.57318
2014-47,10.6413
2014-48,10.8524
2014-49,7.11392
2014-50,9.49755
2014-51,9.7204
2014-52,9.23584
2015-1,9.01288
2015-2,9.3279
2015-3,8.60215
2015-4,7.16591
2015-5,7.71321
2015-6,9.65075
2015-7,9.84674
2015-8,7.87868
2015-9,7.55727
2015-10,6.96457
2015-11,6.74732
2015-12,6.74956
2015-13,6.27178
2015-14,4.95627
2015-15,4.84637
2015-16,4.19323
2015-17,4.59048
2015-18,4.15688
2015-19,3.33403
2015-20,5.40362
2015-21,3.50598
2015-22,4.11239
2015-23,2.66667
2015-24,2.958
2015-25,2.30431
2015-26,3.4149
2015-27,3.58501
2015-28,1.91724
2015-29,1.79592
2015-30,1.8949
2015-31,2.52596
2015-32,3.0642
2015-33,2.42473
2015-34,2.14731
2015-35,2.52188
2015-36,4.16128
2015-37,2.8917
2015-38,3.39355
2015-39,3.70747
2015-40,3.79198
2015-41,3.35556
2015-42,2.96902
2015-43,4.26033
2015-44,3.55441
2015-45,4.98901
2015-46,3.60957
2015-47,3.39426
2015-48,4.11695
2015-49,4.06746
2015-50,4.92456
2015-51,4.65538
2015-52,4.9306
2015-53,4.91172
2016-1,4.34474
2016-2,4.28726
2016-3,5.11642
2016-4,7.33333
2016-5,8.57451
2016-6,8.05906
2016-7,6.56689
2016-8,6.60361
2016-9,5.72438
2016-10,6.58011
2016-11,5.66038
2016-12,5.38109
2016-13,3.69909
2016-14,4.09626
2016-15,4.02787
2016-16,4.11509
2016-17,4.24041
2016-18,4.46065
2016-19,5.2102
2016-20,3.95058
2016-21,5.6383
2016-22,3.72693
2016-23,4.16751
2016-24,3.53144
2016-25,3.56818
2016-26,4.69263
2016-27,3.89554
2016-28,3.72545
2016-29,4.25583
2016-30,4.7619
2016-31,3.35266
2016-32,2.87786
2016-33,2.30631
2016-34,3.39576
2016-35,4.12805
2016-36,3.95469
2016-37,3.87109
2016-38,3.17692
2016-39,3.95425
2016-40,4.05933
2016-41,4.36732
2016-42,3.83944
2016-43,5.19586
2016-44,5.99241
2016-45,7.06095
2016-46,7.61353
2016-47,9.97278
2016-48,10.7746
2016-49,11.2342
2016-50,9.98654
2016-51,12.1003
2016-52,12.0582
2017-1,9.92183
2017-2,5.74341
2017-3,5.35672
2017-4,6.01822
2017-5,5.65314
2017-6,5.69272
2017-7,4.76804
2017-8,4.44351
2017-9,3.84697
2017-10,3.61959
2017-11,3.84279
2017-12,3.48013
2017-13,3.41361
2017-14,3.89134
2017-15,4.78062
2017-16,4.82051
2017-17,6.06644
2017-18,3.80573
2017-19,4.60714
2017-20,4.76673
