time,wili
2010-40,0.235036
2010-41,0.201545
2010-42,0.362845
2010-43,0.322675
2010-44,0.530256
2010-45,0.477403
2010-46,0.504177
2010-47,0.67804
2010-48,0.765766
2010-49,0.635497
2010-50,0.468165
2010-51,0.854701
2010-52,1.28881
2011-1,0.588452
2011-2,0.415937
2011-3,0.502842
2011-4,0.950899
2011-5,1.40503
2011-6,2.31654
2011-7,2.72609
2011-8,4.95067
2011-9,2.48051
2011-10,2.27168
2011-11,1.31332
2011-12,0.897505
2011-13,0.906649
2011-14,0.701179
2011-15,0.529021
2011-16,0.464476
2011-17,0.71474
2011-18,0.390747
2011-19,0.0499002
2011-20,0.019992
2011-21,0.0237699
2011-22,0.030012
2011-23,0.0243368
2011-24,0.0242483
2011-25,0.0243132
2011-26,0.0288517
2011-27,0.0639182
2011-28,0.0001
2011-29,0.0530504
2011-30,0.0001
2011-31,0.0262261
2011-32,0.0001
2011-33,0.0001
2011-34,0.0001
2011-35,0.101112
2011-36,0.0875465
2011-37,0.0691324
2011-38,0.10915
2011-39,0.199601
2011-40,0.169309
2011-41,0.10597
2011-42,0.241619
2011-43,0.25887
2011-44,0.384672
2011-45,0.606157
2011-46,0.258324
2011-47,0.132743
2011-48,0.469217
2011-49,0.223914
2011-50,0.345397
2011-51,0.34214
2011-52,0.224575
2012-1,0.157127
2012-2,0.0913075
2012-3,0.182002
2012-4,0.275482
2012-5,0.295421
2012-6,0.34155
2012-7,0.183542
2012-8,0.250761
2012-9,0.275356
2012-10,0.164123
2012-11,0.140393
2012-12,0.245018
2012-13,0.428816
2012-14,0.466356
2012-15,0.654889
2012-16,0.379816
2012-17,0.156764
2012-18,0.247219
2012-19,0.232404
2012-20,0.110803
2012-21,0.119
2012-22,0.0530363
2012-23,0.0221533
2012-24,0.0684307
2012-25,0.0233481
2012-26,0.0263227
2012-27,0.0001
2012-28,0.0001
2012-29,0.0001
2012-30,0.0001
2012-31,0.0001
2012-32,0.0001
2012-33,0.0257136
2012-34,0.0001
2012-35,0.0001
2012-36,0.0417885
2012-37,0.115473
2012-38,0.0651148
2012-39,0.153421
2012-40,0.199203
2012-41,0.163339
2012-42,0.273185
2012-43,0.388408
2012-44,0.1693
2012-45,0.195754
2012-46,0.158914
2012-47,0.31348
2012-48,0.424328
2012-49,1.1959
2012-50,2.23984
2012-51,2.72449
2012-52,4.01822
2013-1,3.00717
2013-2,3.40512
2013-3,2.82409
2013-4,1.49655
2013-5,1.70721
2013-6,0.914897
2013-7,0.770366
2013-8,0.590364
2013-9,0.375646
2013-10,0.449944
2013-11,0.779912
2013-12,0.374298
2013-13,0.633453
2013-14,0.497804
2013-15,0.53143
2013-16,0.478627
2013-17,0.414013
2013-18,0.26575
2013-19,0.243467
2013-20,0.0001
2013-21,0.0001
2013-22,0.0001
2013-23,0.0001
2013-24,0.0243605
2013-25,0.0271961
2013-26,0.0001
2013-27,0.0001
2013-28,0.0478126
2013-29,0.0001
