time,wili
2010-40,0.446127
2010-41,0.765523
2010-42,0.38943
2010-43,0.418354
2010-44,0.44531
2010-45,0.5111
2010-46,0.455927
2010-47,0.513049
2010-48,0.509782
2010-49,0.484707
2010-50,0.804237
2010-51,0.799381
2010-52,1.17429
2011-1,1.45963
2011-2,2.46609
2011-3,2.48763
2011-4,4.84551
2011-5,7.12673
2011-6,6.04218
2011-7,4.84745
2011-8,3.85022
2011-9,2.88657
2011-10,2.19114
2011-11,1.43328
2011-12,0.769995
2011-13,0.792051
2011-14,0.641026
2011-15,0.500128
2011-16,0.509698
2011-17,0.248098
2011-18,0.230061
2011-19,0.0586625
2011-20,0.130208
2011-21,0.260465
2011-22,0.132567
2011-23,0.21322
2011-24,0.167584
2011-25,0.119104
2011-26,0.221511
2011-27,0.265565
2011-28,0.113604
2011-29,0.102643
2011-30,0.376344
2011-31,0.178518
2011-32,0.140174
2011-33,0.0896057
2011-34,0.0569909
2011-35,0.07357
2011-36,0.0830392
2011-37,0.146924
2011-38,0.179921
2011-39,0.103609
2011-40,0.263539
2011-41,0.27881
2011-42,0.151953
2011-43,0.260383
2011-44,0.403278
2011-45,0.371081
2011-46,0.339213
2011-47,0.198491
2011-48,0.372687
2011-49,0.501967
2011-50,0.343643
2011-51,0.340545
2011-52,0.856283
2012-1,0.446429
2012-2,0.403866
2012-3,0.78455
2012-4,0.716275
2012-5,0.963082
2012-6,0.630463
2012-7,0.648544
2012-8,0.70526
2012-9,0.568012
2012-10,0.338018
2012-11,0.408225
2012-12,0.33314
2012-13,0.29558
2012-14,0.287922
2012-15,0.219238
2012-16,0.395309
2012-17,0.283286
2012-18,0.309358
2012-19,0.141718
2012-20,0.283617
2012-21,0.169607
2012-22,0.262044
2012-23,0.0973331
2012-24,0.45565
2012-25,0.261643
2012-26,0.211353
2012-27,0.254731
2012-28,0.37703
2012-29,0.2442
2012-30,0.11611
2012-31,0.344234
2012-32,0.0583942
2012-33,0.0001
2012-34,0.0690131
2012-35,0.288958
2012-36,0.158228
2012-37,0.232919
2012-38,0.297075
2012-39,0.35369
2012-40,0.367021
2012-41,0.319978
2012-42,0.400475
2012-43,0.251326
2012-44,0.246609
2012-45,0.39693
2012-46,0.517197
2012-47,1.09422
2012-48,2.09501
2012-49,4.22179
2012-50,3.56573
2012-51,3.77206
2012-52,3.51324
2013-1,2.20832
2013-2,2.04398
2013-3,1.32181
2013-4,0.944414
2013-5,0.94416
2013-6,0.968492
2013-7,1.0661
2013-8,1.00689
2013-9,0.957829
2013-10,1.38795
2013-11,1.06724
2013-12,1.30239
2013-13,1.2638
2013-14,0.839717
2013-15,0.684182
2013-16,0.359911
2013-17,0.346177
2013-18,0.151286
2013-19,0.222328
2013-20,0.184264
2013-21,0.10014
2013-22,0.389579
2013-23,0.121753
2013-24,0.0609756
2013-25,0.0901713
2013-26,0.100503
2013-27,0.0287109
2013-28,0.0361402
2013-29,0.0001
2013-30,0.0245399
2013-31,0.0787815
2013-32,0.0239464
2013-33,0.0231
2013-34,0.0193311
2013-35,0.0722804
2013-36,0.0932662
2013-37,0.13901
2013-38,0.0937031
2013-39,0.0948227
2013-40,0.272533
2013-41,0.334804
2013-42,0.365519
2013-43,0.572246
2013-44,0.558744
2013-45,0.450721
2013-46,0.322779
2013-47,1.0033
2013-48,1.02503
2013-49,1.80626
2013-50,1.55164
2013-51,2.69722
2013-52,2.86885
2014-1,2.62621
2014-2,2.16539
2014-3,1.14888
2014-4,1.40867
2014-5,1.62555
2014-6,0.886173
2014-7,0.951452
2014-8,0.578668
2014-9,0.207138
2014-10,0.288971
2014-11,0.445996
2014-12,0.290847
2014-13,0.326052
2014-14,0.306947
2014-15,0.332005
2014-16,0.189068
2014-17,0.131666
2014-18,0.216177
2014-19,0.198592
2014-20,0.0930016
2014-21,0.190386
2014-22,0.145278
2014-23,0.0809498
2014-24,0.0276625
2014-25,0.0511771
2014-26,0.0267451
2014-27,0.0001
2014-28,0.0901442
2014-29,0.0861079
2014-30,0.0001
2014-31,0.0856164
2014-32,0.0001
2014-33,0.0001
2014-34,0.0001
2014-35,0.0431593
2014-36,0.0992063
2014-37,0.09802
2014-38,0.0190078
2014-39,0.0388576
2014-40,0.229709
2014-41,0.225802
2014-42,0.559589
2014-43,0.638763
2014-44,0.76835
2014-45,0.969485
2014-46,0.966702
2014-47,0.746849
2014-48,1.0565
2014-49,1.38277
2014-50,1.56376
2014-51,4.57035
2014-52,6.88426
2015-1,5.4304
2015-2,3.06247
2015-3,1.88298
2015-4,2.04403
2015-5,1.85737
2015-6,1.95052
2015-7,1.52505
2015-8,1.58842
2015-9,1.56058
2015-10,1.2911
2015-11,0.875182
2015-12,0.316623
2015-13,0.713371
2015-14,0.594354
2015-15,0.410984
2015-16,0.564175
2015-17,0.199927
2015-18,0.299177
2015-19,0.22567
2015-20,0.150319
2015-21,0.040016
2015-22,0.225225
2015-23,0.160085
2015-24,0.21575
2015-25,0.0001
2015-26,0.257898
2015-27,0.0877963
2015-28,0.105652
2015-29,0.0524934
2015-30,0.151899
2015-31,0.0668449
2015-32,0.237812
2015-33,0.0706714
2015-34,0.0439174
2015-35,0.121704
2015-36,0.0776699
2015-37,0.182565
2015-38,0.404115
2015-39,0.208044
2015-40,0.283086
2015-41,0.539773
2015-42,0.874568
2015-43,1.06744
2015-44,1.67598
2015-45,1.27774
2015-46,1.74586
2015-47,1.61504
2015-48,1.62472
2015-49,1.59563
2015-50,0.713063
2015-51,0.621302
2015-52,0.515668
2015-53,0.649351
2016-1,0.683018
2016-2,0.720721
2016-3,0.791053
2016-4,0.654387
2016-5,1.14037
2016-6,1.52526
2016-7,1.99443
2016-8,2.38253
2016-9,2.36412
2016-10,2.76159
2016-11,1.82311
2016-12,1.98708
2016-13,1.57959
2016-14,1.2024
2016-15,1.40845
2016-16,0.848939
2016-17,1.04306
2016-18,0.511945
2016-19,0.351438
2016-20,0.334697
2016-21,0.310452
2016-22,0.203252
2016-23,0.149198
2016-24,0.185529
2016-25,0.0373552
2016-26,0.07249
2016-27,0.0383436
2016-28,0.0001
2016-29,0.078125
2016-30,0.0767754
2016-31,0.0413565
2016-32,0.0001
2016-33,0.101626
2016-34,0.087745
2016-35,0.236197
2016-36,0.0299401
2016-37,0.243235
2016-38,0.26455
2016-39,0.0573888
2016-40,1.77453
2016-41,1.3986
2016-42,1.85556
2016-43,1.92631
2016-44,2.07612
2016-45,1.57226
2016-46,1.82691
2016-47,2.39391
2016-48,2.51108
2016-49,1.87075
2016-50,2.67559
2016-51,2.12046
2016-52,4.26055
2017-1,4.50584
2017-2,3.67389
2017-3,5.70071
2017-4,6.34603
2017-5,7.10465
2017-6,6.8482
2017-7,6.69307
2017-8,7.55091
2017-9,5.52172
2017-10,5.39361
2017-11,6.40835
2017-12,7.67776
2017-13,5.57259
2017-14,4.50734
2017-15,3.51038
2017-16,2.12303
2017-17,2.58416
2017-18,1.6986
2017-19,1.69225
2017-20,0.949294
2017-21,0.783476
2017-22,0.730816
2017-23,0.495954
2017-24,0.572618
2017-25,0.350263
2017-26,0.490647
2017-27,0.223571
2017-28,0.30104
2017-29,0.385109
