time,wili
2010-40,1.10275
2010-41,0.793794
2010-42,0.791023
2010-43,0.801311
2010-44,0.779833
2010-45,0.743424
2010-46,1.00136
2010-47,0.891996
2010-48,1.10714
2010-49,1.16321
2010-50,0.945846
2010-51,1.51849
2010-52,1.52446
2011-1,1.40617
2011-2,1.7554
2011-3,2.36777
2011-4,2.6757
2011-5,2.87303
2011-6,3.20291
2011-7,4.34783
2011-8,4.16738
2011-9,3.8888
2011-10,3.50391
2011-11,2.76452
2011-12,2.5306
2011-13,2.24277
2011-14,1.35374
2011-15,0.913621
2011-16,1.00823
2011-17,0.880395
2011-18,0.602007
2011-19,0.627521
2011-20,0.522938
2011-21,0.518623
2011-22,0.507343
2011-23,0.418994
2011-24,0.541942
2011-25,0.393604
2011-26,0.310188
2011-27,0.55142
2011-28,0.501672
2011-29,0.459418
2011-30,0.571837
2011-31,0.528973
2011-32,0.430725
2011-33,0.334821
2011-34,0.471592
2011-35,0.550297
2011-36,0.644681
2011-37,0.540662
2011-38,0.462749
2011-39,0.609756
2011-40,0.759828
2011-41,1.16589
2011-42,0.769625
2011-43,0.918044
2011-44,0.934423
2011-45,0.707623
2011-46,0.658106
2011-47,0.863596
2011-48,0.578577
2011-49,0.897813
2011-50,1.01878
2011-51,0.749702
2011-52,1.07882
2012-1,0.77837
2012-2,1.13681
2012-3,1.46238
2012-4,1.77074
2012-5,2.31326
2012-6,2.21764
2012-7,3.00468
2012-8,2.38732
2012-9,2.47816
2012-10,2.01789
2012-11,2.2012
2012-12,1.01982
2012-13,1.00735
2012-14,0.727273
2012-15,0.85034
2012-16,0.818331
2012-17,0.733347
2012-18,0.479781
2012-19,0.635209
2012-20,0.670055
2012-21,0.528465
2012-22,0.542547
2012-23,0.49054
2012-24,0.0001
2012-25,0.0001
2012-26,0.189753
2012-27,0.0001
2012-28,0.365631
2012-29,0.530973
2012-30,0.383142
2012-31,0.631579
2012-32,0.613497
2012-33,0.606061
2012-34,0.626305
2012-35,0.383877
2012-36,0.662252
2012-37,0.0001
2012-38,0.632911
2012-39,0.674536
2012-40,0.867285
2012-41,1.07613
2012-42,1.20384
2012-43,0.645552
2012-44,1.08809
2012-45,0.952381
2012-46,1.02297
2012-47,1.14613
2012-48,1.20015
2012-49,1.28948
2012-50,1.27857
2012-51,2.20365
2012-52,2.43493
2013-1,2.32558
2013-2,2.42227
2013-3,2.52996
2013-4,2.38565
