time,wili
2010-40,0.274655
2010-41,0.499492
2010-42,0.49955
2010-43,0.401638
2010-44,0.528096
2010-45,0.593704
2010-46,0.676526
2010-47,0.821849
2010-48,0.805777
2010-49,1.10577
2010-50,1.37845
2010-51,2.36079
2010-52,2.74332
2011-1,1.69993
2011-2,2.72602
2011-3,3.6452
2011-4,5.15049
2011-5,6.39836
2011-6,6.27479
2011-7,5.97049
2011-8,3.57057
2011-9,3.15196
2011-10,2.14712
2011-11,1.58316
2011-12,0.632749
2011-13,0.76575
2011-14,0.703437
2011-15,0.55213
2011-16,0.575935
2011-17,0.385999
2011-18,0.108425
2011-19,0.0807475
2011-20,0.0551876
2011-21,0.0248201
2011-22,0.0283006
2011-23,0.0731172
2011-24,0.0276167
2011-25,0.0375141
2011-26,0.0131216
2011-27,0.0176149
2011-28,0.0123153
2011-29,0.0131406
2011-30,0.0001
2011-31,0.0244828
2011-32,0.0232019
2011-33,0.0623377
2011-34,0.069993
2011-35,0.141898
2011-36,0.179662
2011-37,0.28157
2011-38,0.3606
2011-39,0.42677
2011-40,0.432601
2011-41,0.399626
2011-42,0.383643
2011-43,0.546111
2011-44,0.481309
2011-45,0.792317
2011-46,0.540284
2011-47,0.886824
2011-48,0.557509
2011-49,0.968213
2011-50,0.557461
2011-51,0.499792
2011-52,0.871586
2012-1,0.733628
2012-2,0.732759
2012-3,1.12704
2012-4,1.19528
2012-5,0.837799
2012-6,1.21736
2012-7,1.53065
2012-8,1.71779
2012-9,1.70906
2012-10,1.78885
2012-11,2.67709
2012-12,1.6463
2012-13,0.871651
2012-14,0.721431
2012-15,0.942408
2012-16,0.439858
2012-17,0.465196
2012-18,0.72657
2012-19,0.316957
2012-20,0.479094
2012-21,0.593097
2012-22,0.48022
2012-23,0.444123
2012-24,0.0679964
2012-25,0.583759
2012-26,0.521574
2012-27,0.42678
2012-28,0.0591017
2012-29,0.0001
2012-30,0.237476
2012-31,0.0628141
2012-32,0.0379603
2012-33,0.445736
2012-34,0.269639
2012-35,0.272633
2012-36,0.752309
2012-37,0.124399
2012-38,0.266129
2012-39,0.332657
2012-40,0.4004
2012-41,0.492271
2012-42,1.13016
2012-43,0.945958
2012-44,1.13824
2012-45,1.47361
2012-46,1.87212
2012-47,4.44269
2012-48,3.13324
2012-49,5.42548
2012-50,6.05845
2012-51,6.13868
2012-52,8.32991
2013-1,6.8863
2013-2,4.13007
2013-3,2.97487
2013-4,1.8338
2013-5,2.67506
2013-6,2.21057
2013-7,2.91918
2013-8,1.92291
2013-9,1.63353
2013-10,2.75723
2013-11,1.65702
2013-12,1.39777
2013-13,1.5576
2013-14,0.909323
2013-15,0.906748
2013-16,0.492706
2013-17,0.492424
2013-18,0.276696
2013-19,0.205181
2013-20,0.140193
2013-21,0.0904977
2013-22,0.0904568
2013-23,0.0473429
2013-24,0.117495
2013-25,0.0915152
2013-26,0.0367782
2013-27,0.0001
2013-28,0.0113559
2013-29,0.0112651
2013-30,0.0221558
2013-31,0.0222247
2013-32,0.0231401
2013-33,0.0590179
2013-34,0.0963763
2013-35,0.15842
2013-36,0.0511143
2013-37,0.149659
2013-38,0.16802
2013-39,0.255924
2013-40,0.292969
2013-41,0.245376
2013-42,0.323485
2013-43,0.260769
2013-44,0.294748
2013-45,0.370059
2013-46,0.492741
2013-47,0.869565
2013-48,1.14943
2013-49,1.74569
2013-50,1.72207
2013-51,3.19221
2013-52,7.30007
2014-1,6.56244
2014-2,5.68428
2014-3,5.08926
2014-4,4.22368
2014-5,3.23936
2014-6,3.12792
2014-7,2.31049
2014-8,1.50353
2014-9,1.38577
2014-10,1.6397
2014-11,1.03913
2014-12,1.14592
2014-13,1.22101
2014-14,0.406298
2014-15,0.411799
2014-16,0.189499
2014-17,0.202061
2014-18,0.146612
2014-19,0.157693
2014-20,0.130548
2014-21,0.145278
2014-22,0.0886132
2014-23,0.091348
2014-24,0.0770416
2014-25,0.0535117
2014-26,0.0364299
2014-27,0.0614156
2014-28,0.0357953
2014-29,0.0229964
2014-30,0.0248201
2014-31,0.0844187
2014-32,0.121968
2014-33,0.0455529
2014-34,0.15021
2014-35,0.141924
2014-36,0.179553
2014-37,0.17507
2014-38,0.20241
2014-39,0.135253
2014-40,0.235632
2014-41,0.468272
2014-42,0.5426
2014-43,0.786283
2014-44,0.83815
2014-45,1.02956
2014-46,0.960792
2014-47,0.846763
2014-48,1.20203
2014-49,2.09419
2014-50,3.20519
2014-51,4.54309
2014-52,8.03229
2015-1,6.78288
2015-2,5.80371
2015-3,3.20806
2015-4,3.76675
2015-5,4.02164
2015-6,3.66886
2015-7,2.28963
2015-8,1.50363
2015-9,1.19978
2015-10,1.94798
2015-11,0.769849
2015-12,0.922251
2015-13,0.627782
2015-14,0.551171
2015-15,0.414056
2015-16,0.388394
2015-17,0.269476
2015-18,0.28772
2015-19,0.262796
2015-20,0.984157
2015-21,0.908465
2015-22,0.950008
2015-23,0.595817
2015-24,0.0757193
2015-25,0.0673401
2015-26,0.17567
2015-27,0.149522
2015-28,0.0541638
2015-29,0.152102
2015-30,0.0944797
2015-31,0.102354
2015-32,0.128123
2015-33,0.193963
2015-34,0.208899
2015-35,0.292015
2015-36,0.439711
2015-37,0.58651
2015-38,0.637301
2015-39,0.596986
2015-40,0.411219
2015-41,0.734619
2015-42,0.604789
2015-43,0.757878
2015-44,0.642475
2015-45,0.698991
2015-46,0.587774
2015-47,0.939368
2015-48,1.23581
2015-49,0.953007
2015-50,1.47238
2015-51,1.2089
2015-52,1.22811
2015-53,1.15248
2016-1,1.23172
2016-2,1.81601
2016-3,1.87742
2016-4,1.3291
2016-5,1.7164
2016-6,1.63431
2016-7,3.11609
2016-8,3.338
2016-9,3.33087
2016-10,3.62272
2016-11,2.20175
2016-12,2.79813
2016-13,2.89898
2016-14,1.87846
2016-15,2.46828
2016-16,2.15215
2016-17,2.48082
2016-18,2.39991
2016-19,1.6918
2016-20,1.9096
2016-21,2.0209
2016-22,2.63069
2016-23,2.25254
2016-24,2.00154
2016-25,1.3655
2016-26,1.3735
2016-27,0.874954
2016-28,1.15235
2016-29,0.786794
2016-30,1.05929
2016-31,0.773949
2016-32,1.59193
2016-33,1.12704
2016-34,1.42315
2016-35,0.984378
2016-36,0.212585
2016-37,1.20764
2016-38,1.4904
2016-39,1.65425
2016-40,1.71033
2016-41,1.54795
2016-42,1.46531
2016-43,1.52313
2016-44,2.02179
2016-45,1.76655
2016-46,2.15979
2016-47,3.23104
2016-48,2.32558
2016-49,2.44096
2016-50,2.26017
2016-51,2.87308
2016-52,3.5409
2017-1,3.75696
2017-2,4.06364
2017-3,4.09586
2017-4,4.20838
2017-5,4.93514
2017-6,7.38839
2017-7,7.14343
2017-8,5.21413
2017-9,5.55114
2017-10,6.41042
2017-11,3.776
2017-12,5.9162
2017-13,4.82229
2017-14,3.68483
2017-15,2.51517
2017-16,3.24539
2017-17,2.20617
2017-18,1.69245
2017-19,2.40078
2017-20,2.37948
2017-21,1.88483
2017-22,1.14744
2017-23,1.07509
2017-24,0.706618
2017-25,0.307287
2017-26,0.25555
2017-27,0.292337
2017-28,0.267872
2017-29,0.297899
2017-30,0.0453104
2017-31,0.129744
2017-32,0.0893176
2017-33,0.0504371
2017-34,0.128518
2017-35,0.135639
2017-36,0.333778
2017-37,0.40542
2017-38,0.536553
2017-39,0.619509
2017-40,0.485437
2017-41,0.516129
2017-42,0.595094
2017-43,0.643559
2017-44,1.1645
2017-45,1.66189
2017-46,1.45126
2017-47,2.00841
2017-48,1.23239
2017-49,1.42824
2017-50,2.37249
2017-51,4.87661
2017-52,4.46826
2018-1,5.08143
2018-2,5.63063
2018-3,9.2934
2018-4,5.42749
2018-5,6.83224
2018-6,6.149
2018-7,5.61738
2018-8,3.28443
2018-9,2.032
2018-10,1.32833
2018-11,0.909673
2018-12,0.821326
2018-13,0.762646
2018-14,0.592353
2018-15,0.624164
2018-16,0.634171
2018-17,0.38324
2018-18,0.576822
2018-19,0.468165
2018-20,0.361426
2018-21,0.592034
2018-22,0.352811
2018-23,0.212643
2018-24,0.210768
2018-25,0.39128
2018-26,0.237954
2018-27,0.491768
2018-28,0.077821
2018-29,0.424119
2018-30,0.34558
2018-31,0.189717
2018-32,0.324383
2018-33,0.136585
2018-34,0.262009
2018-35,0.409079
2018-36,0.487313
2018-37,0.306492
2018-38,0.277228
2018-39,0.402706
2018-40,0.494046
2018-41,0.719327
2018-42,0.356136
2018-43,1.05912
2018-44,0.873892
2018-45,0.985641
2018-46,1.14754
2018-47,1.65037
2018-48,1.42759
2018-49,1.70342
2018-50,2.03743
2018-51,2.18245
2018-52,3.68171
2019-1,3.44764
2019-2,1.86881
2019-3,1.93262
2019-4,3.41845
2019-5,4.43559
2019-6,5.90819
2019-7,5.40028
2019-8,3.88561
2019-9,3.15449
2019-10,3.40322
2019-11,3.01374
2019-12,2.70198
2019-13,1.79431
2019-14,2.13897
2019-15,1.39879
2019-16,1.30362
2019-17,1.37931
2019-18,0.999144
2019-19,0.875845
2019-20,1.13049
2019-21,0.620219
2019-22,1.01723
2019-23,0.660793
2019-24,0.600912
2019-25,0.288825
2019-26,0.236052
2019-27,0.354925
2019-28,0.492126
2019-29,0.412116
2019-30,0.526205
2019-31,0.329179
