time,wili
2010-40,2.06514
2010-41,2.09394
2010-42,2.10072
2010-43,2.20655
2010-44,2.36381
2010-45,2.51778
2010-46,2.24622
2010-47,2.59866
2010-48,2.56617
2010-49,2.40335
2010-50,2.84097
2010-51,3.87315
2010-52,3.40711
2011-1,3.21248
2011-2,4.05996
2011-3,4.73202
2011-4,5.93439
2011-5,6.68052
2011-6,8.12867
2011-7,8.26519
2011-8,6.66045
2011-9,4.58565
2011-10,3.68025
2011-11,2.84749
2011-12,3.1125
2011-13,2.13536
2011-14,1.83216
2011-15,1.67025
2011-16,1.66212
2011-17,1.4454
2011-18,1.62718
2011-19,1.7883
2011-20,1.43878
2011-21,1.18284
2011-22,1.47219
2011-23,1.0381
2011-24,1.20398
2011-25,1.09499
2011-26,1.44139
2011-27,1.09916
2011-28,1.11008
2011-29,0.794791
2011-30,0.927915
2011-31,0.947032
2011-32,0.820541
2011-33,0.965857
2011-34,1.01165
2011-35,1.43408
2011-36,1.72981
2011-37,1.65811
2011-38,1.60235
2011-39,1.4147
2011-40,1.86712
2011-41,1.67872
2011-42,2.03903
2011-43,2.02721
2011-44,1.87592
2011-45,2.08825
2011-46,2.17252
2011-47,2.21466
2011-48,2.01649
2011-49,1.89337
2011-50,2.08667
2011-51,2.27904
2011-52,2.32308
2012-1,1.97471
2012-2,2.1558
2012-3,2.30727
2012-4,2.25494
2012-5,2.52889
2012-6,2.65401
2012-7,2.95371
2012-8,3.23367
2012-9,3.32506
2012-10,2.87245
2012-11,3.59362
2012-12,2.79685
2012-13,2.7007
2012-14,2.5217
2012-15,2.13492
2012-16,2.16547
2012-17,2.05988
2012-18,2.09649
2012-19,2.0889
2012-20,2.26203
2012-21,2.19944
2012-22,2.95784
2012-23,1.60563
2012-24,1.5692
2012-25,1.68002
2012-26,2.77603
2012-27,1.85638
2012-28,1.52724
2012-29,1.50484
2012-30,1.42374
2012-31,1.45901
2012-32,1.44944
2012-33,1.42747
2012-34,1.4741
2012-35,1.42978
2012-36,1.75285
2012-37,2.14994
2012-38,2.12454
2012-39,2.08406
2012-40,1.98396
2012-41,2.35146
2012-42,1.94499
2012-43,2.55229
2012-44,2.7858
2012-45,3.20738
2012-46,3.22458
2012-47,5.1617
2012-48,3.96355
2012-49,5.21819
2012-50,6.03698
2012-51,7.99241
2012-52,9.69432
2013-1,8.24784
2013-2,7.61521
2013-3,7.688
2013-4,7.58763
2013-5,5.83695
2013-6,4.63083
2013-7,3.98526
2013-8,3.23762
2013-9,3.29329
2013-10,3.38592
2013-11,3.0704
2013-12,2.68087
2013-13,2.54637
2013-14,2.46144
2013-15,2.34755
2013-16,2.28962
2013-17,2.10066
2013-18,1.91757
2013-19,2.04946
2013-20,1.9264
2013-21,1.72047
2013-22,1.9246
2013-23,1.66351
2013-24,1.57641
2013-25,2.07494
2013-26,1.84375
2013-27,1.99341
2013-28,1.87277
2013-29,1.75622
2013-30,1.55077
2013-31,1.71643
2013-32,1.42036
2013-33,1.64627
2013-34,1.65108
2013-35,2.14174
2013-36,2.89449
2013-37,2.86301
2013-38,3.05223
2013-39,3.29382
2013-40,2.2366
2013-41,2.39646
2013-42,2.65115
2013-43,2.45818
2013-44,2.54797
2013-45,2.98433
2013-46,3.57321
2013-47,4.24138
2013-48,5.07503
2013-49,5.62401
2013-50,6.56142
2013-51,10.0139
2013-52,11.0449
2014-1,9.17567
2014-2,7.02738
2014-3,5.47173
2014-4,4.97024
2014-5,4.69254
2014-6,4.15233
2014-7,4.02182
2014-8,3.86342
2014-9,3.97478
2014-10,3.78548
2014-11,3.66299
2014-12,3.39706
2014-13,3.34885
2014-14,3.21687
2014-15,3.35918
2014-16,3.0909
2014-17,2.84024
2014-18,2.41511
2014-19,2.52891
2014-20,2.6284
2014-21,2.77493
2014-22,2.77039
2014-23,2.5365
2014-24,2.22052
2014-25,2.00295
2014-26,3.19926
2014-27,1.9334
2014-28,1.90947
2014-29,1.76986
2014-30,1.57256
2014-31,1.68632
2014-32,1.37986
2014-33,1.41906
2014-34,1.52139
2014-35,1.5349
2014-36,1.9311
2014-37,2.21526
2014-38,2.25158
2014-39,2.33845
2014-40,1.61545
2014-41,1.73191
2014-42,1.97601
2014-43,2.1727
2014-44,2.26836
2014-45,2.31548
2014-46,2.2432
2014-47,4.10392
2014-48,4.66631
2014-49,4.91288
2014-50,8.96964
2014-51,12.9375
2014-52,7.69326
2015-1,11.3225
2015-2,9.06724
2015-3,9.74748
2015-4,7.17791
2015-5,6.20728
2015-6,5.65253
2015-7,5.05952
2015-8,4.73512
2015-9,4.00071
2015-10,4.28631
2015-11,4.17538
2015-12,3.60072
2015-13,3.35832
2015-14,3.18727
2015-15,2.63374
2015-16,2.74126
2015-17,1.67388
2015-18,2.65661
2015-19,2.39644
2015-20,2.3067
2015-21,2.3767
2015-22,2.15255
2015-23,2.59259
2015-24,1.7597
2015-25,1.75866
2015-26,1.47285
2015-27,1.58033
2015-28,1.26985
2015-29,1.29911
2015-30,1.28852
2015-31,1.0823
2015-32,1.12071
2015-33,1.14597
2015-34,1.58142
2015-35,1.1363
2015-36,1.52525
2015-37,2.01858
2015-38,1.8631
2015-39,2.09836
2015-40,2.17404
2015-41,3.1748
2015-42,3.42995
2015-43,3.63057
2015-44,3.84937
2015-45,3.47839
2015-46,3.86243
2015-47,3.96778
2015-48,4.81392
2015-49,4.43529
2015-50,4.49576
2015-51,4.67202
2015-52,5.12797
2015-53,5.70737
2016-1,4.68602
2016-2,4.16846
2016-3,4.36048
2016-4,4.96129
2016-5,4.89241
2016-6,5.62804
2016-7,6.36256
2016-8,4.48169
2016-9,4.7195
2016-10,4.01485
2016-11,3.73119
2016-12,3.46318
2016-13,3.2444
2016-14,2.83508
2016-15,3.25267
2016-16,3.57929
2016-17,3.0393
2016-18,2.74919
2016-19,2.30401
2016-20,2.35638
2016-21,2.78809
2016-22,2.47401
2016-23,1.99249
2016-24,2.1005
2016-25,1.87159
2016-26,1.84575
2016-27,1.66667
2016-28,1.55492
2016-29,1.42177
2016-30,1.57115
2016-31,1.27404
2016-32,1.30064
2016-33,1.31155
2016-34,1.76582
2016-35,2.89706
2016-36,3.0076
2016-37,2.60465
2016-38,2.57309
2016-39,2.75084
2016-40,2.08692
2016-41,1.95234
2016-42,1.84806
2016-43,2.06247
2016-44,2.01191
2016-45,2.08512
2016-46,2.24903
2016-47,2.59299
2016-48,2.49507
2016-49,3.06871
2016-50,3.41272
2016-51,4.10321
2016-52,4.32471
2017-1,4.19085
2017-2,5.06267
2017-3,5.47691
2017-4,6.20619
2017-5,8.48188
2017-6,10.2826
2017-7,9.2512
2017-8,8.99901
2017-9,7.50649
2017-10,7.26928
2017-11,5.85242
2017-12,4.48645
2017-13,4.00722
2017-14,3.50145
