time,wili
2010-40,0.747696
2010-41,0.410939
2010-42,0.440583
2010-43,0.755957
2010-44,0.651859
2010-45,0.6639
2010-46,0.907845
2010-47,0.743569
2010-48,0.838308
2010-49,1.16492
2010-50,1.1154
2010-51,1.10739
2010-52,1.09006
2011-1,0.519955
2011-2,2.5974
2011-3,2.13816
2011-4,0.895355
2011-5,2.03178
2011-6,2.90828
2011-7,2.45478
2011-8,1.88917
2011-9,1.18407
2011-10,1.89679
2011-11,1.53116
2011-12,1.22
2011-13,1.2719
2011-14,0.752299
2011-15,0.963515
2011-16,0.579542
2011-17,0.257927
2011-18,0.31746
2011-19,0.333333
2011-20,0.364577
2011-21,0.273444
2011-22,0.207684
2011-23,0.313112
2011-24,0.27362
2011-25,0.204012
2011-26,0.408598
2011-27,0.481314
2011-28,0.0862515
2011-29,0.318544
2011-30,0.208171
2011-31,0.085034
2011-32,0.261097
2011-33,0.218775
2011-34,0.273491
2011-35,0.345599
2011-36,0.324374
2011-37,0.310238
2011-38,0.765543
2011-39,0.725454
2011-40,2.03367
2011-41,1.5859
2011-42,1.57322
2011-43,1.64063
2011-44,1.95447
2011-45,2.31967
2011-46,2.198
2011-47,2.37411
2011-48,1.91974
2011-49,1.72094
2011-50,1.93403
2011-51,2.20977
2011-52,2.39593
2012-1,2.37858
2012-2,2.37303
2012-3,2.31099
2012-4,2.20285
2012-5,2.78306
2012-6,2.91572
2012-7,3.0526
2012-8,3.24193
2012-9,2.50308
2012-10,3.07356
2012-11,3.87886
2012-12,2.81957
2012-13,3.21779
2012-14,2.11272
2012-15,2.18589
2012-16,1.89499
2012-17,1.82514
2012-18,2.12011
2012-19,1.6985
2012-20,1.60944
2012-21,1.41423
2012-22,1.99791
2012-23,1.60122
2012-24,1.55346
2012-25,1.41023
2012-26,1.26907
2012-27,1.13541
2012-28,1.02053
2012-29,1.04715
2012-30,1.22336
2012-31,1.1039
2012-32,0.961181
2012-33,1.24962
2012-34,0.982697
2012-35,1.14983
2012-36,1.66558
2012-37,1.68124
2012-38,1.18388
2012-39,1.33656
2012-40,1.36854
2012-41,1.24436
2012-42,1.54044
2012-43,1.39703
2012-44,1.82982
2012-45,1.68754
2012-46,1.84277
2012-47,2.82368
2012-48,2.46774
2012-49,2.75824
2012-50,4.66899
2012-51,4.21213
2012-52,6.93167
2013-1,6.62258
2013-2,5.4211
2013-3,5.49212
2013-4,5.58777
2013-5,5.05722
2013-6,4.17015
2013-7,3.63476
2013-8,3.33351
2013-9,3.04991
2013-10,2.68849
2013-11,2.47748
2013-12,1.93257
2013-13,1.79954
2013-14,1.92144
2013-15,1.63571
2013-16,1.39591
2013-17,1.48716
2013-18,1.53596
2013-19,1.51779
2013-20,1.42519
2013-21,1.56193
2013-22,1.73724
2013-23,1.5233
2013-24,1.18249
2013-25,1.31288
2013-26,1.0177
2013-27,0.858116
2013-28,0.872766
2013-29,0.938416
2013-30,1.09557
2013-31,0.934849
2013-32,0.97318
2013-33,0.86334
2013-34,0.8474
2013-35,1.39539
2013-36,1.06429
2013-37,0.102071
2013-38,0.218716
2013-39,1.03354
2013-40,1.16469
2013-41,1.29191
2013-42,1.3136
2013-43,1.49544
2013-44,1.272
2013-45,1.263
2013-46,1.16391
2013-47,1.80261
2013-48,1.84716
2013-49,2.79971
2013-50,2.66735
2013-51,2.74928
2013-52,5.39844
2014-1,3.5726
2014-2,3.29272
2014-3,3.12789
2014-4,3.05851
