time,wili
2010-40,1.47641
2010-41,1.35777
2010-42,1.48221
2010-43,1.44393
2010-44,1.25276
2010-45,1.12705
2010-46,1.79054
2010-47,1.94011
2010-48,1.57528
2010-49,1.15663
2010-50,1.34553
2010-51,1.51873
2010-52,1.81087
2011-1,1.77179
2011-2,1.48631
2011-3,1.74683
2011-4,2.17977
2011-5,2.47765
2011-6,2.73263
2011-7,3.43809
2011-8,2.53743
2011-9,2.28095
2011-10,2.74522
2011-11,2.12912
2011-12,1.53347
2011-13,1.67224
2011-14,1.83993
2011-15,2.00573
2011-16,1.43522
2011-17,1.32743
2011-18,1.514
2011-19,1.96672
2011-20,1.4565
2011-21,1.1976
2011-22,1.12641
2011-23,1.06724
2011-24,0.586166
2011-25,1.18765
2011-26,0.645919
2011-27,0.759975
2011-28,0.711322
2011-29,0.8329
2011-30,1.0981
2011-31,1.01083
2011-32,0.996016
2011-33,1.81818
2011-34,1.49254
2011-35,1.45202
2011-36,2.0202
2011-37,2.17391
2011-38,1.10926
2011-39,1.27728
2011-40,1.43991
2011-41,1.52211
2011-42,1.06132
2011-43,1.23529
2011-44,1.66756
2011-45,1.29151
2011-46,1.10277
2011-47,2.11538
2011-48,1.84139
2011-49,1.60576
2011-50,1.58254
2011-51,2.23263
2011-52,2.79251
2012-1,2.18978
2012-2,2.66864
2012-3,2.09581
2012-4,1.97239
2012-5,1.82735
2012-6,2.17941
2012-7,1.73134
2012-8,2.30133
2012-9,1.99024
2012-10,1.89179
2012-11,2.68362
2012-12,2.87338
2012-13,3.0589
2012-14,2.89421
2012-15,2.58732
2012-16,2.7515
2012-17,2.55958
2012-18,1.90194
2012-19,2.09489
2012-20,1.84697
2012-21,1.97548
2012-22,1.84758
2012-23,1.65111
2012-24,1.14796
2012-25,1.31034
2012-26,1.25698
2012-27,1.11199
2012-28,0.96401
2012-29,1.14204
2012-30,1.14094
2012-31,1.08992
2012-32,1.17647
2012-33,1.44928
2012-34,1.71674
2012-35,1.16891
2012-36,1.60668
2012-37,1.24183
2012-38,1.95707
2012-39,1.69306
2012-40,1.31105
2012-41,1.24633
2012-42,1.29636
2012-43,1.09117
2012-44,0.993861
2012-45,1.03469
2012-46,0.983021
2012-47,1.13895
2012-48,1.30719
2012-49,1.30946
2012-50,2.59634
2012-51,3.46636
2012-52,5.20878
2013-1,4.49438
2013-2,5.14139
2013-3,5.1005
2013-4,5.39638
2013-5,5.94282
2013-6,5.43727
2013-7,5.07663
2013-8,3.04601
2013-9,3.56564
2013-10,3.25477
2013-11,2.13793
2013-12,1.85185
2013-13,2.69293
2013-14,3.38673
2013-15,3.79356
2013-16,3.40541
2013-17,2.08828
2013-18,2.31701
2013-19,1.75791
2013-20,1.88383
2013-21,2.23011
2013-22,1.95599
2013-23,2.14435
2013-24,1.8797
2013-25,1.17048
2013-26,1.75038
2013-27,1.27005
2013-28,1.44175
2013-29,1.15607
2013-30,1.92308
2013-31,1.46972
2013-32,1.34977
2013-33,1.71395
2013-34,1.35922
2013-35,2.2695
2013-36,1.64722
2013-37,1.67504
2013-38,2.22482
2013-39,3.54191
2013-40,1.77116
2013-41,1.84513
2013-42,1.4652
2013-43,1.56829
2013-44,1.31212
2013-45,1.86391
2013-46,1.87949
2013-47,1.89911
2013-48,1.79453
2013-49,2.4369
2013-50,1.88046
2013-51,3.07294
2013-52,4.66445
2014-1,4.38635
2014-2,4.19244
2014-3,3.0185
2014-4,5.33255
2014-5,4.62777
2014-6,3.84845
2014-7,3.48042
2014-8,2.76364
2014-9,3.46691
2014-10,2.78364
2014-11,2.98651
2014-12,2.89179
2014-13,2.69331
2014-14,3.49026
2014-15,3.26409
2014-16,3.20042
2014-17,2.16573
2014-18,1.52156
2014-19,1.57993
2014-20,1.76152
2014-21,2.01064
2014-22,1.87919
2014-23,2.30608
2014-24,1.34328
2014-25,1.73913
2014-26,1.29252
2014-27,1.59151
2014-28,1.04322
2014-29,2.26876
2014-30,1.51954
2014-31,1.85328
2014-32,1.49589
2014-33,1.9154
2014-34,1.46951
2014-35,1.12882
2014-36,1.43198
2014-37,1.88925
2014-38,2.3622
2014-39,1.77134
2014-40,1.33929
2014-41,1.06727
2014-42,1.30826
2014-43,1.06242
2014-44,1.37312
2014-45,1.1477
2014-46,0.953576
2014-47,1.24668
2014-48,1.82879
2014-49,1.62238
2014-50,2.01527
2014-51,2.18712
2014-52,2.79379
2015-1,5.03401
2015-2,3.10345
2015-3,3.9726
2015-4,6.78543
2015-5,5.62334
2015-6,6.05428
2015-7,5.58511
2015-8,4.63245
2015-9,3.44637
2015-10,3.08229
2015-11,2.20796
2015-12,2.33352
2015-13,2.14936
2015-14,3.23268
2015-15,2.5641
2015-16,2.07156
2015-17,1.33874
2015-18,1.35542
2015-19,1.4863
2015-20,1.04167
2015-21,0.881834
2015-22,0.826446
2015-23,0.810373
2015-24,0.415512
2015-25,0.157729
2015-26,0.174216
2015-27,0.37594
2015-28,0.0001
2015-29,0.0001
2015-30,0.561272
2015-31,0.686106
2015-32,0.44603
2015-33,0.57971
2015-34,0.694444
2015-35,0.776197
2015-36,0.398406
2015-37,0.616523
2015-38,1.25945
2015-39,0.701262
2015-40,0.806452
2015-41,0.222519
2015-42,0.295334
2015-43,0.486174
2015-44,0.445633
2015-45,0.891651
2015-46,0.925926
2015-47,0.764818
2015-48,1.22599
2015-49,1.30409
2015-50,0.828984
2015-51,1.29916
2015-52,1.38272
2015-53,1.93258
2016-1,1.50082
2016-2,1.35501
2016-3,1.52561
2016-4,1.80208
2016-5,1.06446
2016-6,1.7097
2016-7,2.73022
2016-8,1.53653
2016-9,2.19161
2016-10,2.58802
2016-11,2.64741
2016-12,2.20632
2016-13,2.23059
2016-14,2.23684
2016-15,1.43455
2016-16,1.58983
2016-17,1.62272
2016-18,1.03704
2016-19,0.928594
2016-20,0.572005
2016-21,1.12597
2016-22,0.970874
2016-23,0.499688
2016-24,0.542169
2016-25,0.454841
2016-26,0.454545
2016-27,0.469484
2016-28,0.819062
2016-29,0.759878
2016-30,0.443459
2016-31,1.05541
2016-32,0.913838
2016-33,0.531915
2016-34,1.13208
2016-35,1.44928
2016-36,1.1734
2016-37,1.69935
2016-38,0.956284
2016-39,1.81564
2016-40,0.777202
2016-41,0.848593
2016-42,0.551315
2016-43,0.377992
2016-44,0.228102
2016-45,0.209293
2016-46,0.30843
2016-47,0.500751
2016-48,0.616861
2016-49,0.401875
2016-50,0.562852
2016-51,0.958606
2016-52,0.964957
2017-1,0.976909
2017-2,1.17499
2017-3,1.1658
2017-4,1.4435
2017-5,1.91404
2017-6,1.28205
2017-7,1.07602
2017-8,1.75254
2017-9,1.80403
2017-10,1.99492
2017-11,1.61962
2017-12,1.48831
2017-13,1.42248
2017-14,1.44538
2017-15,1.49254
2017-16,1.18421
2017-17,0.815101
2017-18,1.35617
2017-19,0.645919
2017-20,1.11111
2017-21,0.521999
2017-22,1.57546
2017-23,1.2021
2017-24,0.602864
2017-25,0.673077
2017-26,0.753296
2017-27,0.855513
2017-28,0.865052
2017-29,0.792254
2017-30,0.740741
2017-31,0.8867
2017-32,0.26738
2017-33,0.717489
2017-34,0.893655
2017-35,1.02516
2017-36,0.95511
2017-37,0.773196
2017-38,0.918197
2017-39,0.561167
2017-40,0.711427
2017-41,0.617708
2017-42,0.383275
2017-43,0.630601
2017-44,0.492091
2017-45,0.580084
2017-46,0.737265
2017-47,1.10608
2017-48,0.988749
2017-49,1.02459
2017-50,2.03443
2017-51,1.00305
2017-52,1.79671
2018-1,2.67592
2018-2,2.45739
2018-3,3.25805
2018-4,3.99306
2018-5,4.5929
2018-6,5.64516
2018-7,4.47761
2018-8,3.80984
2018-9,3.82343
2018-10,3.40605
2018-11,2.28252
2018-12,2.69513
2018-13,2.98669
2018-14,2.82365
2018-15,2.33288
2018-16,2.6087
2018-17,2.59918
2018-18,1.80563
2018-19,1.84244
2018-20,1.61491
2018-21,1.11206
2018-22,1.30261
2018-23,2.0
2018-24,1.57068
2018-25,1.27551
2018-26,1.67598
2018-27,1.65138
2018-28,1.1535
2018-29,1.42857
2018-30,1.1396
2018-31,1.43541
2018-32,1.64093
2018-33,0.959024
2018-34,1.46277
2018-35,1.95258
2018-36,2.50696
2018-37,1.96629
2018-38,1.4531
2018-39,2.54351
2018-40,1.06898
2018-41,1.0993
2018-42,1.12488
2018-43,1.42456
2018-44,1.16677
2018-45,0.89695
2018-46,1.13384
2018-47,0.763151
2018-48,0.93551
2018-49,1.29148
2018-50,2.08899
2018-51,1.85324
2018-52,3.19773
2019-1,2.61241
2019-2,3.36988
2019-3,3.69641
2019-4,4.26533
2019-5,4.19684
2019-6,3.10186
2019-7,3.9679
2019-8,3.7409
2019-9,2.96093
2019-10,3.15853
2019-11,2.78866
2019-12,3.19274
2019-13,2.07367
2019-14,2.14785
2019-15,1.95526
2019-16,1.62958
2019-17,0.902778
2019-18,0.930641
2019-19,1.04722
2019-20,1.08485
2019-21,1.18343
2019-22,1.15681
2019-23,0.985222
2019-24,1.31894
2019-25,0.845411
2019-26,0.760456
2019-27,1.27119
2019-28,1.05263
2019-29,0.896861
2019-30,2.39234
2019-31,1.766
