time,wili
2011-40,0.0001
2011-41,0.0001
2011-42,0.0001
2011-43,0.0001
2011-44,0.0001
2011-45,0.0001
2011-46,0.0001
2011-47,0.0001
2011-48,0.0001
2011-49,0.0001
2011-50,0.0001
2011-51,0.0001
2011-52,0.0001
2012-1,0.0001
2012-2,0.0001
2012-3,0.0001
2012-4,0.0001
2012-5,0.0001
2012-6,0.0001
2012-7,0.0001
2012-8,0.0001
2012-9,0.0001
2012-10,0.0001
2012-11,0.0001
2012-12,0.0001
2012-13,0.0001
2012-14,0.250627
2012-15,0.0001
2012-16,0.460829
2012-17,0.0001
2012-18,1.44092
2012-19,0.0001
2012-20,0.0001
2012-21,0.0001
2012-22,1.20192
2012-23,0.247525
2012-24,1.06157
2012-25,1.54639
2012-26,0.487805
2012-27,0.0001
2012-28,0.539084
2012-29,0.0001
2012-30,0.0001
2012-31,0.854701
2012-32,0.5
2012-33,0.636943
2012-34,0.275482
2012-35,0.446429
2012-36,0.456621
2012-37,0.0001
2012-38,0.0001
2012-39,0.234192
2012-40,0.20284
2012-41,0.462963
2012-42,0.585938
2012-43,0.423729
2012-44,0.223714
2012-45,0.0001
2012-46,0.218341
2012-47,0.4329
2012-48,0.808081
2012-49,0.455581
2012-50,0.689655
2012-51,0.242131
2012-52,0.0001
2013-1,0.0001
2013-2,0.257069
2013-3,1.08696
2013-4,0.806452
2013-5,0.0001
2013-6,0.835655
2013-7,0.0001
2013-8,0.0001
2013-9,0.274725
2013-10,0.258398
2013-11,0.480769
2013-12,0.290698
2013-13,0.0001
2013-14,0.280899
2013-15,0.292398
2013-16,0.299401
2013-17,0.0001
2013-18,0.0001
2013-19,0.0001
2013-20,0.684932
2013-21,0.22779
2013-22,0.0001
2013-23,0.253165
2013-24,0.564972
2013-25,4.39276
2013-26,4.11899
2013-27,6.03015
2013-28,1.74129
2013-29,1.28617
2013-30,1.44928
2013-31,0.815217
2013-32,1.54799
2013-33,2.31884
2013-34,2.94118
2013-35,0.606061
2013-36,2.67062
2013-37,0.833333
2013-38,1.05541
2013-39,1.28535
2013-40,1.59151
2013-41,0.952381
2013-42,2.98913
2013-43,1.79949
2013-44,2.16718
2013-45,2.43902
2013-46,0.831025
2013-47,0.755668
2013-48,3.60111
2013-49,2.41935
2013-50,1.28866
2013-51,3.18841
2013-52,1.83246
2014-1,2.17391
2014-2,3.49462
2014-3,1.5674
2014-4,0.566572
2014-5,3.57143
2014-6,1.41844
2014-7,1.92308
2014-8,2.20386
2014-9,2.12264
2014-10,2.15311
2014-11,1.21359
2014-12,0.594059
2014-13,0.471698
2014-14,1.23153
2014-15,1.52672
2014-16,1.17925
2014-17,1.01523
2014-18,0.26455
2014-19,1.14286
2014-20,0.797872
2014-21,1.00503
2014-22,0.490196
2014-23,0.239234
2014-24,1.3369
2014-25,1.88679
2014-26,2.34375
2014-27,0.291545
2014-28,1.86916
2014-29,1.7341
2014-30,0.21692
2014-31,0.920245
2014-32,1.19048
2014-33,1.05263
2014-34,0.314465
2014-35,0.898204
2014-36,1.05263
2014-37,1.60428
2014-38,2.31959
2014-39,1.78571
2014-40,1.40845
2014-41,1.63043
2014-42,1.80412
2014-43,3.35917
2014-44,2.97767
2014-45,6.84932
2014-46,4.25532
2014-47,4.81013
2014-48,3.20197
2014-49,3.82775
2014-50,4.0
2014-51,5.89888
2014-52,1.57068
2015-1,0.928074
2015-2,0.819672
2015-3,3.56164
2015-4,2.21607
2015-5,1.72911
2015-6,1.00756
2015-7,1.87166
2015-8,1.39276
2015-9,0.0001
