time,wili
2010-40,1.14343
2010-41,1.23653
2010-42,1.22545
2010-43,1.26902
2010-44,1.26547
2010-45,1.41165
2010-46,1.53242
2010-47,1.62726
2010-48,1.57146
2010-49,1.69937
2010-50,1.75344
2010-51,2.19585
2010-52,2.3964
2011-1,2.48912
2011-2,2.81105
2011-3,3.97236
2011-4,4.7423
2011-5,5.34851
2011-6,5.12923
2011-7,5.14304
2011-8,4.35908
2011-9,3.47331
2011-10,2.8357
2011-11,2.26876
2011-12,1.85296
2011-13,1.81293
2011-14,1.51176
2011-15,1.48654
2011-16,1.3181
2011-17,1.05721
2011-18,1.07273
2011-19,1.06423
2011-20,1.1395
2011-21,0.999368
2011-22,1.01137
2011-23,0.964833
2011-24,0.911056
2011-25,0.82836
2011-26,0.817877
2011-27,0.723917
2011-28,0.629352
2011-29,0.625742
2011-30,0.673763
2011-31,0.560293
2011-32,0.588899
2011-33,0.677421
2011-34,0.774693
2011-35,0.723238
2011-36,0.800381
2011-37,0.916186
2011-38,1.08084
2011-39,1.21326
2011-40,1.24903
2011-41,1.35433
2011-42,1.28256
2011-43,1.38842
2011-44,1.45224
2011-45,1.53378
2011-46,1.50762
2011-47,1.60014
2011-48,1.67932
2011-49,1.52293
2011-50,1.70213
2011-51,1.75168
2011-52,1.97506
2012-1,1.79988
2012-2,1.39757
2012-3,1.66761
2012-4,1.47628
2012-5,1.68142
2012-6,1.47935
2012-7,1.6923
2012-8,1.63359
2012-9,1.55302
2012-10,1.57107
2012-11,1.50433
2012-12,1.35354
2012-13,1.30649
2012-14,1.28639
2012-15,1.15225
2012-16,1.0998
2012-17,1.0616
2012-18,1.15984
2012-19,0.960439
2012-20,0.968512
2012-21,1.00561
2012-22,1.06786
2012-23,0.967892
2012-24,1.02416
2012-25,0.955853
2012-26,0.937844
2012-27,0.871453
2012-28,0.72054
2012-29,0.78756
2012-30,0.734682
2012-31,0.74864
2012-32,0.739357
2012-33,0.785321
2012-34,0.772323
2012-35,0.906959
2012-36,0.934876
2012-37,1.08288
2012-38,1.22811
2012-39,1.2518
2012-40,1.24717
2012-41,1.36244
2012-42,1.34905
2012-43,1.43984
2012-44,1.61346
2012-45,1.5578
2012-46,1.75717
2012-47,2.08133
2012-48,2.25777
2012-49,2.9019
2012-50,4.04577
2012-51,5.75511
2012-52,7.31564
2013-1,6.80646
2013-2,7.06235
2013-3,6.24657
2013-4,2.96131
2013-5,3.83966
2013-6,3.28483
2013-7,3.16161
2013-8,3.076
2013-9,3.03836
2013-10,3.17296
2013-11,2.96363
2013-12,2.62536
2013-13,2.41272
2013-14,2.19136
2013-15,1.79362
2013-16,1.2814
2013-17,1.21938
2013-18,1.21462
2013-19,1.06852
2013-20,0.953416
2013-21,1.02018
2013-22,0.982714
2013-23,0.887691
2013-24,0.93743
2013-25,0.845789
2013-26,0.827225
2013-27,0.844016
2013-28,0.751779
2013-29,0.731653
2013-30,0.751795
2013-31,0.752373
2013-32,0.627758
2013-33,0.74843
2013-34,1.00721
2013-35,0.812642
2013-36,1.03449
2013-37,1.17679
2013-38,1.29821
2013-39,1.28907
2013-40,1.28394
2013-41,1.28999
2013-42,1.44527
2013-43,1.51564
2013-44,1.63527
2013-45,1.56031
2013-46,1.57625
2013-47,1.72339
2013-48,1.91655
2013-49,1.98556
2013-50,2.18044
2013-51,2.61354
2013-52,3.4295
2014-1,3.88364
2014-2,4.06224
2014-3,4.6483
2014-4,4.37013
2014-5,3.69423
2014-6,3.28552
2014-7,3.13499
2014-8,2.68339
2014-9,2.44837
2014-10,2.26653
2014-11,1.89497
2014-12,1.92425
2014-13,1.95655
2014-14,1.89131
2014-15,1.87299
2014-16,1.47833
2014-17,1.37131
2014-18,1.51772
2014-19,1.39582
2014-20,1.3232
2014-21,1.24352
2014-22,1.28038
2014-23,1.1475
2014-24,1.06692
2014-25,1.01355
2014-26,0.918973
2014-27,1.08524
2014-28,0.838727
2014-29,0.871626
2014-30,0.79369
2014-31,0.803004
2014-32,0.752559
2014-33,0.799029
2014-34,0.871769
2014-35,0.96272
2014-36,1.03362
2014-37,1.35542
2014-38,1.43986
2014-39,1.46903
2014-40,1.43013
2014-41,1.77161
2014-42,1.87367
2014-43,1.70346
2014-44,1.71274
2014-45,1.70635
2014-46,1.75274
2014-47,1.99125
2014-48,2.39042
2014-49,2.46464
2014-50,3.42276
2014-51,5.44911
2014-52,9.87439
2015-1,8.66942
2015-2,6.49073
2015-3,4.9923
2015-4,4.34338
2015-5,4.05259
2015-6,3.08799
2015-7,2.64815
2015-8,2.43285
2015-9,1.70949
2015-10,1.75565
2015-11,1.62989
2015-12,1.62236
2015-13,1.88077
2015-14,1.8815
2015-15,1.75242
2015-16,1.46854
2015-17,1.47072
2015-18,1.53866
2015-19,1.46258
2015-20,1.39585
2015-21,1.38784
2015-22,1.36031
2015-23,1.14471
2015-24,1.20665
2015-25,1.12833
2015-26,0.985268
2015-27,0.993886
2015-28,0.941369
2015-29,0.832394
2015-30,0.779566
2015-31,0.815613
2015-32,0.80996
2015-33,0.814073
2015-34,0.800209
2015-35,0.865735
2015-36,1.05626
2015-37,1.14117
2015-38,1.07965
2015-39,1.29069
2015-40,1.31923
2015-41,1.33996
2015-42,1.50892
2015-43,1.7641
2015-44,1.54868
2015-45,1.65955
2015-46,1.67621
2015-47,1.90304
2015-48,2.17016
2015-49,2.07325
2015-50,2.22075
2015-51,2.36551
2015-52,2.80804
2015-53,2.67095
2016-1,2.32881
2016-2,2.22837
2016-3,2.18843
2016-4,1.93452
2016-5,1.74534
2016-6,1.9085
2016-7,2.32802
2016-8,2.69247
2016-9,3.34539
2016-10,3.94309
2016-11,3.7071
2016-12,3.14517
2016-13,2.81424
2016-14,2.43005
2016-15,2.49676
2016-16,2.61728
2016-17,2.52094
2016-18,2.17544
2016-19,1.87636
2016-20,1.75606
2016-21,1.71059
2016-22,1.66439
2016-23,1.34067
2016-24,1.43361
2016-25,1.25253
2016-26,1.30854
2016-27,1.1676
2016-28,0.976184
2016-29,0.944046
2016-30,1.01157
2016-31,0.868836
2016-32,1.03551
2016-33,0.952447
2016-34,1.01161
2016-35,1.02227
2016-36,1.13904
2016-37,1.19647
2016-38,1.41489
2016-39,1.54346
2016-40,1.5353
2016-41,1.64101
2016-42,1.62658
2016-43,1.85403
2016-44,2.00273
2016-45,1.96096
2016-46,2.05058
2016-47,2.29704
2016-48,2.15431
2016-49,2.22633
2016-50,2.31392
2016-51,2.89868
2016-52,3.4293
2017-1,3.18906
2017-2,3.36477
2017-3,3.19863
2017-4,3.30228
2017-5,3.73817
2017-6,5.21859
2017-7,5.8855
2017-8,6.67057
2017-9,4.02646
2017-10,3.60225
2017-11,3.60761
2017-12,3.86367
2017-13,3.80323
2017-14,2.70719
2017-15,1.91896
2017-16,1.40519
2017-17,1.2409
2017-18,1.08838
2017-19,0.975527
2017-20,0.991409
2017-21,0.983982
2017-22,1.06009
2017-23,0.873619
2017-24,0.793261
2017-25,0.765601
2017-26,0.774195
2017-27,0.659217
2017-28,0.60003
2017-29,0.622391
2017-30,0.575314
2017-31,0.614038
2017-32,0.597921
2017-33,0.616115
2017-34,0.595491
2017-35,0.606678
2017-36,0.715319
2017-37,0.680643
2017-38,0.792722
2017-39,0.855961
2017-40,1.26377
2017-41,1.28371
2017-42,1.43663
2017-43,1.61552
2017-44,1.68481
2017-45,1.78649
2017-46,2.02666
2017-47,2.19032
2017-48,2.33085
2017-49,2.36303
2017-50,2.60214
2017-51,3.05112
2017-52,3.92037
2018-1,4.34703
2018-2,4.86431
2018-3,6.14761
2018-4,8.50462
2018-5,10.5629
2018-6,10.929
2018-7,10.7374
2018-8,7.80826
2018-9,5.06014
2018-10,3.99101
2018-11,3.89013
2018-12,3.63202
2018-13,3.50826
2018-14,2.85806
2018-15,2.22966
2018-16,1.83831
2018-17,1.8337
2018-18,1.66889
2018-19,0.915147
