time,wili
2010-40,0.510041
2010-41,1.04007
2010-42,0.904393
2010-43,0.95511
2010-44,0.78637
2010-45,1.06724
2010-46,1.33132
2010-47,1.87333
2010-48,0.981767
2010-49,0.96463
2010-50,0.647549
2010-51,0.387097
2010-52,2.45902
2011-1,1.5224
2011-2,1.21906
2011-3,0.721046
2011-4,1.81388
2011-5,2.81109
2011-6,2.16644
2011-7,4.14244
2011-8,3.80721
2011-9,3.46903
2011-10,3.04946
2011-11,3.64271
2011-12,3.06081
2011-13,1.54696
2011-14,0.79858
2011-15,0.970497
2011-16,1.38714
2011-17,0.649087
2011-18,0.720721
2011-19,0.580781
2011-20,0.498132
2011-21,0.18018
2011-22,0.297177
2011-23,0.332226
2011-24,0.268097
2011-25,0.0001
2011-26,0.0001
2011-27,0.0001
2011-28,0.0001
2011-29,0.0001
2011-30,0.0001
2011-31,0.0001
2011-32,0.0001
2011-33,0.0001
2011-34,0.0791766
2011-35,0.0001
2011-36,0.0934579
2011-37,0.078064
2011-38,0.22409
2011-39,0.0001
2011-40,0.505386
2011-41,0.495616
2011-42,0.395257
2011-43,0.467738
2011-44,0.666747
2011-45,0.515399
2011-46,0.671551
2011-47,0.818984
2011-48,0.508475
2011-49,0.350482
2011-50,0.658171
2011-51,0.777116
2011-52,0.953437
2012-1,0.922381
2012-2,0.587215
2012-3,0.965825
2012-4,0.605462
2012-5,1.15514
2012-6,1.1169
2012-7,1.0736
2012-8,1.29669
2012-9,1.1092
2012-10,1.44724
2012-11,1.50504
2012-12,1.14068
2012-13,1.51493
2012-14,1.62086
2012-15,1.7378
2012-16,1.67574
2012-17,1.37635
2012-18,1.52914
2012-19,1.17981
2012-20,0.843486
2012-21,0.46595
2012-22,0.558036
2012-23,0.362457
2012-24,0.313849
2012-25,0.350443
2012-26,0.367985
2012-27,0.379673
2012-28,0.275166
2012-29,0.274348
2012-30,0.295455
2012-31,0.201381
2012-32,0.320366
2012-33,0.24758
2012-34,0.29017
2012-35,0.160037
2012-36,0.341566
2012-37,0.192926
2012-38,0.396476
2012-39,0.340393
2012-40,0.527558
2012-41,0.527774
2012-42,0.657718
2012-43,0.63963
2012-44,0.851955
2012-45,0.793966
2012-46,1.21024
2012-47,1.23484
2012-48,0.970748
2012-49,0.98488
2012-50,1.15527
2012-51,1.46423
2012-52,2.72053
2013-1,2.77656
2013-2,2.30206
2013-3,2.94155
