time,wili
2010-40,0.465022
2010-41,0.581832
2010-42,1.18822
2010-43,1.01049
2010-44,1.09649
2010-45,1.03383
2010-46,1.12402
2010-47,0.978261
2010-48,1.27081
2010-49,1.27947
2010-50,0.661686
2010-51,0.693594
2010-52,1.38822
2011-1,0.801901
2011-2,0.842289
2011-3,1.24703
2011-4,2.37759
2011-5,2.98987
2011-6,2.93542
2011-7,2.81324
2011-8,2.76498
2011-9,3.19263
2011-10,3.12896
2011-11,3.71758
2011-12,1.02041
2011-13,1.29545
2011-14,1.00159
2011-15,0.79756
2011-16,0.251397
2011-17,0.440529
2011-18,0.42125
2011-19,0.227661
2011-20,0.524292
2011-21,0.41021
2011-22,0.421496
2011-23,0.121729
2011-24,0.111359
2011-25,0.395604
2011-26,0.427148
2011-27,0.291886
2011-28,0.29301
2011-29,0.157563
2011-30,0.262329
2011-31,0.0478011
2011-32,0.231267
2011-33,0.111919
2011-34,0.319149
2011-35,0.287356
2011-36,0.215332
2011-37,0.211034
2011-38,0.519781
2011-39,0.501771
2011-40,0.763807
2011-41,0.410628
2011-42,0.61546
2011-43,0.899101
2011-44,0.383828
2011-45,0.717397
2011-46,0.67726
2011-47,0.897053
2011-48,0.91417
2011-49,0.894226
2011-50,0.708475
2011-51,1.00935
2011-52,0.902335
2012-1,0.970874
2012-2,0.733098
2012-3,1.22105
2012-4,1.46199
2012-5,0.877646
2012-6,1.1233
2012-7,1.12242
2012-8,1.01394
2012-9,1.19924
2012-10,1.18483
2012-11,2.01794
2012-12,1.45985
2012-13,0.691857
2012-14,1.44552
2012-15,0.502828
2012-16,0.713908
2012-17,0.376142
2012-18,0.518269
2012-19,0.380849
2012-20,0.319489
2012-21,0.171013
2012-22,0.34965
2012-23,0.142113
2012-24,0.176289
2012-25,0.512821
2012-26,0.13947
2012-27,0.373599
2012-28,0.462574
2012-29,0.158646
2012-30,0.180668
2012-31,0.551932
2012-32,0.646054
2012-33,0.0001
2012-34,0.0751597
2012-35,0.0956938
2012-36,0.200535
2012-37,0.283213
2012-38,0.31864
2012-39,0.706298
2012-40,0.803627
2012-41,0.686253
2012-42,0.429092
2012-43,0.548176
2012-44,0.351453
2012-45,0.408954
2012-46,0.838926
2012-47,1.01373
2012-48,0.663183
2012-49,1.41519
2012-50,1.46168
2012-51,2.58314
2012-52,4.24335
2013-1,3.99261
2013-2,3.8992
2013-3,3.36249
2013-4,2.79702
2013-5,2.69296
2013-6,1.62695
2013-7,1.57358
2013-8,1.40097
2013-9,0.762361
2013-10,1.16854
2013-11,0.638686
2013-12,1.00223
2013-13,0.838072
2013-14,0.538819
2013-15,0.789963
2013-16,0.506096
2013-17,0.337458
2013-18,0.270669
2013-19,0.163858
2013-20,0.159744
2013-21,0.170882
2013-22,0.428367
2013-23,0.143524
2013-24,0.390472
2013-25,0.22927
2013-26,0.192976
2013-27,0.747012
2013-28,0.293363
2013-29,0.116369
2013-30,0.186776
2013-31,0.259548
2013-32,0.248447
2013-33,0.291181
2013-34,0.2849
2013-35,0.223285
2013-36,0.4
2013-37,0.194553
2013-38,0.484262
2013-39,0.434888
2013-40,0.704887
2013-41,1.06082
2013-42,0.492459
2013-43,0.945354
2013-44,0.988609
2013-45,1.09842
2013-46,0.802139
2013-47,1.1101
2013-48,1.11873
2013-49,1.02852
2013-50,1.69048
2013-51,1.31054
2013-52,3.02158
2014-1,2.05023
2014-2,2.11346
2014-3,2.14545
2014-4,2.62035
2014-5,1.56174
2014-6,2.47756
2014-7,1.8717
2014-8,2.24364
2014-9,2.44775
2014-10,2.17066
2014-11,1.95062
2014-12,2.2929
2014-13,1.90797
2014-14,1.50108
2014-15,1.94161
2014-16,2.13027
2014-17,1.82174
2014-18,1.66397
2014-19,2.09549
2014-20,1.93464
2014-21,2.064
2014-22,0.142248
2014-23,0.122951
2014-24,0.431373
2014-25,0.34188
2014-26,0.393529
2014-27,0.208877
2014-28,0.126103
2014-29,0.514801
2014-30,0.397878
2014-31,0.338983
2014-32,0.493421
2014-33,0.123865
2014-34,0.349498
2014-35,0.38961
2014-36,0.460688
2014-37,0.487465
2014-38,0.671624
2014-39,0.689491
2014-40,0.783875
2014-41,0.783972
2014-42,1.00767
2014-43,1.93198
2014-44,2.2283
2014-45,2.3772
2014-46,2.21648
2014-47,2.17391
2014-48,1.74868
2014-49,2.47511
