time,wili
2010-40,0.632911
2010-41,0.440621
2010-42,0.441798
2010-43,0.490305
2010-44,0.566636
2010-45,0.463336
2010-46,0.744725
2010-47,0.500147
2010-48,0.593776
2010-49,0.418323
2010-50,0.311785
2010-51,1.63244
2010-52,1.46377
2011-1,0.806285
2011-2,1.06561
2011-3,2.36327
2011-4,2.898
2011-5,2.92516
2011-6,3.37715
2011-7,2.60146
2011-8,2.36935
2011-9,2.28645
2011-10,1.53282
2011-11,1.10763
2011-12,0.770102
2011-13,1.11902
2011-14,0.837521
2011-15,0.515717
2011-16,0.575576
2011-17,0.347136
2011-18,0.252434
2011-19,0.692308
2011-20,0.424809
2011-21,0.166875
2011-22,0.182232
2011-23,0.20284
2011-24,0.326087
2011-25,0.279799
2011-26,0.102934
2011-27,0.170455
2011-28,0.251256
2011-29,0.188679
2011-30,0.121212
2011-31,0.095057
2011-32,0.121457
2011-33,0.230203
2011-34,0.154381
2011-35,0.263736
2011-36,0.420561
2011-37,0.386399
2011-38,0.713719
2011-39,0.439722
2011-40,0.445765
2011-41,0.435066
2011-42,0.774239
2011-43,0.767583
2011-44,0.799201
2011-45,0.715052
2011-46,0.649906
2011-47,0.605602
2011-48,0.631427
2011-49,0.544806
2011-50,0.415958
2011-51,0.449006
2011-52,0.558909
2012-1,0.723787
2012-2,0.582169
2012-3,0.763775
2012-4,0.814224
2012-5,1.16279
2012-6,0.836343
2012-7,1.08675
2012-8,1.44808
2012-9,1.66914
2012-10,1.57437
2012-11,1.85497
2012-12,1.02019
2012-13,1.79785
2012-14,1.57119
2012-15,0.875532
2012-16,0.723367
2012-17,1.05873
2012-18,0.532589
2012-19,0.36544
2012-20,0.27049
2012-21,0.431282
2012-22,0.37843
2012-23,0.404531
2012-24,0.112771
2012-25,0.128733
2012-26,0.0869313
2012-27,0.15873
2012-28,0.0282087
2012-29,0.0365631
2012-30,0.0722022
2012-31,0.034002
2012-32,0.165837
2012-33,0.0962464
2012-34,0.0648298
2012-35,0.131363
2012-36,0.346021
2012-37,0.208478
2012-38,0.206469
2012-39,0.328827
2012-40,0.561915
2012-41,0.800493
2012-42,0.701344
2012-43,0.691338
2012-44,0.771417
2012-45,0.623747
2012-46,0.409748
2012-47,0.895615
2012-48,1.37893
2012-49,2.72908
2012-50,2.98924
2012-51,6.54849
2012-52,7.16007
2013-1,4.55894
2013-2,7.20103
2013-3,4.97664
2013-4,5.56492
2013-5,3.85627
2013-6,2.94999
2013-7,2.87059
2013-8,2.2997
2013-9,1.37017
2013-10,0.972898
2013-11,0.677887
2013-12,0.719068
2013-13,0.444664
2013-14,0.467654
2013-15,0.430571
2013-16,0.270736
2013-17,0.0568182
2013-18,0.156904
2013-19,0.217037
2013-20,0.0289184
2013-21,0.0659631
2013-22,0.281492
2013-23,0.0001
2013-24,0.088968
2013-25,0.0319183
2013-26,0.0317965
2013-27,0.0381825
2013-28,0.0001
2013-29,0.0839631
2013-30,0.0001
2013-31,0.0819001
2013-32,0.299658
2013-33,0.231214
2013-34,0.0001
2013-35,0.0732601
2013-36,0.129814
2013-37,0.195771
2013-38,0.112066
2013-39,0.205086
2013-40,0.451778
2013-41,0.645919
2013-42,0.305052
2013-43,0.368
2013-44,0.576541
2013-45,0.576419
2013-46,0.373648
2013-47,0.76438
2013-48,0.511447
2013-49,0.721955
2013-50,0.748734
2013-51,1.08108
2013-52,1.88179
2014-1,2.4724
2014-2,2.19116
2014-3,2.62159
2014-4,2.36266
2014-5,2.07193
2014-6,1.52225
2014-7,1.4562
2014-8,1.47792
2014-9,1.01649
2014-10,0.978887
2014-11,0.601358
2014-12,0.319693
2014-13,0.1886
2014-14,0.191617
2014-15,0.15625
2014-16,0.197824
2014-17,0.277521
2014-18,0.160772
2014-19,0.101729
2014-20,0.106213
2014-21,0.304288
2014-22,0.0592768
2014-23,0.11544
2014-24,0.134553
2014-25,0.163345
2014-26,0.114384
2014-27,0.10453
2014-28,0.0586854
2014-29,0.074184
2014-30,0.0845785
2014-31,0.201613
2014-32,0.209754
2014-33,0.0446828
2014-34,0.123839
2014-35,0.0288101
2014-36,0.367261
2014-37,0.565536
2014-38,0.609975
2014-39,0.538793
2014-40,0.519785
2014-41,0.470793
2014-42,0.512343
2014-43,0.84832
2014-44,0.43082
2014-45,0.605727
2014-46,0.721421
2014-47,0.677574
2014-48,1.23187
2014-49,1.33509
2014-50,1.64936
2014-51,2.23061
2014-52,2.61481
2015-1,3.15126
2015-2,2.58503
2015-3,3.02352
2015-4,3.46154
2015-5,3.4508
2015-6,3.39601
2015-7,2.54425
2015-8,1.79856
2015-9,2.04493
2015-10,2.07863
2015-11,1.51281
2015-12,1.68433
2015-13,1.06229
2015-14,1.24876
2015-15,1.14504
2015-16,1.1676
2015-17,0.542075
2015-18,0.441379
2015-19,0.666154
2015-20,0.765156
2015-21,0.289436
2015-22,0.361119
2015-23,0.352113
2015-24,0.328623
2015-25,0.152486
2015-26,0.110254
2015-27,0.0424268
2015-28,0.0402253
2015-29,0.0733138
2015-30,0.349786
2015-31,0.270688
2015-32,0.190549
2015-33,0.11583
2015-34,0.174581
2015-35,0.114025
2015-36,0.104858
2015-37,0.208333
2015-38,0.374532
2015-39,0.311526
2015-40,0.227964
2015-41,0.418318
2015-42,0.416336
2015-43,0.541691
2015-44,0.540324
2015-45,0.666159
2015-46,0.801443
2015-47,0.429185
2015-48,0.708174
2015-49,0.625809
2015-50,0.714905
2015-51,0.665281
2015-52,0.425791
2015-53,0.897868
2016-1,0.805195
2016-2,0.700389
2016-3,0.806452
2016-4,0.703675
