mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,true_value
beta[0],0.666,0.091,0.457,0.82,0.034,0.025,7.0,7.0,8.0,16.0,1.43,-0.093867
beta[1],2.012,0.118,1.76,2.167,0.04,0.03,8.0,8.0,9.0,30.0,1.38,2.440637
beta[2],-255.124,53.736,-339.328,-158.694,22.04,17.085,6.0,6.0,6.0,12.0,1.91,-523.855855
beta[3],0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,54.0,1.36,0.000370
beta[4],0.018,0.008,0.003,0.034,0.002,0.002,15.0,15.0,15.0,53.0,1.23,0.009313
beta[5],1.302,0.047,1.218,1.387,0.009,0.006,28.0,28.0,28.0,64.0,1.11,1.344916
beta[6],0.08,0.011,0.063,0.102,0.002,0.001,43.0,43.0,43.0,78.0,1.07,0.065428
beta[7],-1.056,1.388,-3.834,1.427,0.213,0.159,43.0,39.0,39.0,125.0,1.1,-0.156122
beta[8],-6.395,2.455,-10.656,-1.572,0.463,0.331,28.0,28.0,29.0,66.0,1.13,-1.018456
beta[9],-8.997,2.452,-13.586,-4.507,0.635,0.458,15.0,15.0,15.0,86.0,1.19,-3.457978
beta[10],-0.752,2.254,-4.614,3.816,0.502,0.36,20.0,20.0,20.0,87.0,1.14,-0.308894
beta[11],-0.629,2.714,-6.034,4.241,0.776,0.562,12.0,12.0,12.0,42.0,1.24,-1.264787
beta[12],2.54,1.593,-0.129,5.585,0.259,0.184,38.0,38.0,38.0,71.0,1.09,2.479402
beta[13],-0.008,0.003,-0.013,-0.003,0.001,0.0,20.0,19.0,20.0,51.0,1.15,-0.011828
beta[14],0.021,0.003,0.014,0.025,0.001,0.001,14.0,14.0,15.0,42.0,1.21,0.022330
beta[15],-0.041,0.003,-0.046,-0.035,0.001,0.001,13.0,13.0,13.0,54.0,1.25,-0.045567
beta[16],0.0,0.037,-0.065,0.072,0.006,0.004,42.0,42.0,42.0,58.0,1.07,-0.003602
beta[17],-0.013,0.005,-0.023,-0.004,0.002,0.001,11.0,11.0,12.0,51.0,1.25,-0.000284
beta[18],-0.005,0.009,-0.019,0.011,0.002,0.002,14.0,14.0,14.0,61.0,1.23,-0.005154
beta[19],0.03,0.011,0.008,0.05,0.003,0.002,12.0,12.0,12.0,28.0,1.27,0.005227
beta[20],0.031,0.007,0.018,0.046,0.002,0.001,13.0,13.0,14.0,43.0,1.24,0.040239
beta[21],0.03,0.009,0.014,0.046,0.002,0.001,23.0,23.0,25.0,135.0,1.15,0.024589
beta[22],-0.0,0.001,-0.002,0.001,0.0,0.0,23.0,23.0,22.0,89.0,1.12,-0.001046
beta[23],0.005,0.007,-0.008,0.017,0.002,0.002,8.0,8.0,8.0,57.0,1.44,0.005240
beta[24],-0.0,0.003,-0.005,0.006,0.0,0.0,35.0,35.0,35.0,84.0,1.1,0.002279
beta[25],0.013,0.006,0.001,0.023,0.001,0.001,38.0,38.0,39.0,37.0,1.08,1.469477
beta[26],0.327,99.308,-197.014,183.404,1.484,2.659,4480.0,698.0,4514.0,1200.0,1.01,0.015542
beta[27],0.001,0.006,-0.009,0.012,0.002,0.001,10.0,10.0,11.0,36.0,1.29,0.001517
beta[28],0.008,0.003,0.002,0.015,0.001,0.0,33.0,33.0,33.0,99.0,1.11,0.011388
