mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
beta[0],2.409,0.157,2.065,2.649,0.056,0.042,8.0,8.0,8.0,30.0,1.47
beta[1],0.465,0.165,0.152,0.798,0.061,0.045,7.0,7.0,8.0,25.0,1.5
beta[2],-1.239,1.28,-4.177,0.681,0.571,0.435,5.0,5.0,6.0,11.0,1.74
beta[3],-0.027,0.039,-0.08,0.059,0.018,0.013,5.0,5.0,5.0,11.0,2.23
beta[4],-0.299,0.078,-0.447,-0.16,0.026,0.019,9.0,9.0,9.0,29.0,1.35
beta[5],-0.271,0.07,-0.392,-0.143,0.029,0.022,6.0,6.0,6.0,22.0,1.88
beta[6],-0.031,0.059,-0.153,0.078,0.027,0.021,5.0,5.0,5.0,12.0,2.57
beta[7],0.094,0.179,-0.259,0.397,0.085,0.065,4.0,4.0,5.0,13.0,2.7
beta[8],-0.083,0.078,-0.255,0.016,0.037,0.028,5.0,5.0,6.0,16.0,1.92
beta[9],0.008,0.058,-0.076,0.161,0.026,0.02,5.0,5.0,5.0,11.0,2.22
beta[10],0.097,0.042,0.017,0.164,0.019,0.014,5.0,5.0,5.0,17.0,2.09
beta[11],-0.216,0.149,-0.482,0.004,0.07,0.053,5.0,5.0,5.0,12.0,2.77
beta[12],0.105,0.06,0.0,0.204,0.026,0.019,5.0,5.0,6.0,16.0,1.76
beta[13],-0.033,0.057,-0.134,0.09,0.025,0.018,5.0,5.0,6.0,11.0,1.95
beta[14],0.107,0.057,0.018,0.218,0.023,0.018,6.0,6.0,7.0,11.0,1.57
beta[15],-0.006,0.088,-0.155,0.168,0.041,0.031,5.0,5.0,5.0,14.0,2.49
beta[16],-0.076,0.051,-0.18,0.002,0.023,0.017,5.0,5.0,5.0,16.0,2.21
beta[17],0.069,0.069,-0.044,0.207,0.028,0.021,6.0,6.0,6.0,12.0,1.78
beta[18],-0.075,0.071,-0.195,0.055,0.03,0.022,6.0,6.0,6.0,18.0,1.82
beta[19],0.106,0.123,-0.122,0.326,0.055,0.042,5.0,5.0,5.0,14.0,2.25
beta[20],-0.228,0.085,-0.418,-0.105,0.035,0.026,6.0,6.0,6.0,18.0,1.71
beta[21],-0.053,0.061,-0.165,0.058,0.024,0.018,7.0,7.0,7.0,19.0,1.67
beta[22],0.031,0.076,-0.096,0.202,0.035,0.026,5.0,5.0,5.0,13.0,2.17
beta[23],-0.039,0.088,-0.158,0.105,0.042,0.032,4.0,4.0,5.0,11.0,2.35
beta[24],-0.175,0.093,-0.396,-0.054,0.043,0.033,5.0,4.0,6.0,12.0,1.96
beta[25],0.061,0.069,-0.044,0.205,0.03,0.022,5.0,5.0,6.0,13.0,1.92
beta[26],0.386,0.157,0.143,0.667,0.072,0.054,5.0,5.0,5.0,14.0,2.32
beta[27],0.125,0.066,-0.017,0.259,0.019,0.014,13.0,13.0,12.0,27.0,1.24
beta[28],0.15,0.081,0.017,0.328,0.031,0.023,7.0,7.0,7.0,31.0,1.66
