Areaname,STCOU,PST045200F,PST045200D,PST045200N1,PST045200N2,PST045201F,PST045201D,PST045201N1,PST045201N2,PST045202F,PST045202D,PST045202N1,PST045202N2,PST045203F,PST045203D,PST045203N1,PST045203N2,PST045204F,PST045204D,PST045204N1,PST045204N2,PST045205F,PST045205D,PST045205N1,PST045205N2,PST045206F,PST045206D,PST045206N1,PST045206N2,PST045207F,PST045207D,PST045207N1,PST045207N2,PST045208F,PST045208D,PST045208N1,PST045208N2,PST045209F,PST045209D,PST045209N1,PST045209N2
UNITED STATES,00000,0,282171957,0000,0000,0,285081556,0000,0000,0,287803914,0000,0000,0,290326418,0000,0000,0,293045739,0000,0000,0,295753151,0000,0000,0,298593212,0000,0000,0,301579895,0000,0000,0,304374846,0000,0000,0,307006550,0000,0000
ALABAMA,01000,0,4451849,0000,0000,0,4464034,0000,0000,0,4472420,0000,0000,0,4490591,0000,0000,0,4512190,0000,0000,0,4545049,0000,0000,0,4597688,0000,0000,0,4637904,0000,0000,0,4677464,0000,0000,0,4708708,0000,0000
"Autauga, AL",01001,0,43872,0000,0000,0,44434,0000,0000,0,45157,0000,0000,0,45762,0000,0000,0,46933,0000,0000,0,47870,0000,0000,0,49105,0000,0000,0,49834,0000,0000,0,50354,0000,0000,0,50756,0000,0000
"Baldwin, AL",01003,0,141358,0000,0000,0,144988,0000,0000,0,148141,0000,0000,0,151707,0000,0000,0,156573,0000,0000,0,162564,0000,0000,0,168516,0000,0000,0,172815,0000,0000,0,176212,0000,0000,0,179878,0000,0000
"Barbour, AL",01005,0,29035,0000,0000,0,29223,0000,0000,0,29289,0000,0000,0,29480,0000,0000,0,29458,0000,0000,0,29452,0000,0000,0,29556,0000,0000,0,29736,0000,0000,0,29836,0000,0000,0,29737,0000,0000
"Bibb, AL",01007,0,19936,0000,0000,0,20942,0000,0000,0,20983,0000,0000,0,21037,0000,0000,0,21208,0000,0000,0,21375,0000,0000,0,21285,0000,0000,0,21485,0000,0000,0,21589,0000,0000,0,21587,0000,0000
"Blount, AL",01009,0,51181,0000,0000,0,51999,0000,0000,0,52775,0000,0000,0,53726,0000,0000,0,54469,0000,0000,0,55035,0000,0000,0,55978,0000,0000,0,56866,0000,0000,0,57794,0000,0000,0,58345,0000,0000
"Bullock, AL",01011,0,11604,0000,0000,0,11381,0000,0000,0,11261,0000,0000,0,11305,0000,0000,0,11038,0000,0000,0,10975,0000,0000,0,10739,0000,0000,0,10966,0000,0000,0,10921,0000,0000,0,10985,0000,0000
"Butler, AL",01013,0,21313,0000,0000,0,21036,0000,0000,0,20607,0000,0000,0,20536,0000,0000,0,20476,0000,0000,0,20338,0000,0000,0,20231,0000,0000,0,20243,0000,0000,0,20171,0000,0000,0,19964,0000,0000
"Calhoun, AL",01015,0,111342,0000,0000,0,111019,0000,0000,0,110860,0000,0000,0,111378,0000,0000,0,111615,0000,0000,0,112081,0000,0000,0,112453,0000,0000,0,112808,0000,0000,0,113422,0000,0000,0,114081,0000,0000
"Chambers, AL",01017,0,36593,0000,0000,0,36281,0000,0000,0,35952,0000,0000,0,35626,0000,0000,0,35387,0000,0000,0,35173,0000,0000,0,34822,0000,0000,0,34731,0000,0000,0,34473,0000,0000,0,34320,0000,0000
