density_metric,Latitude,is_coastal,airport_boardings,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,spring,summer,fall,winter,partisan_score,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,cancer,NY_dest,NJ_dest,PA_dest,IL_dest,MD_dest,MA_dest,VA_dest,CA_dest,RI_dest,MI_dest,TX_dest,MO_dest,MN_dest,CT_dest,GA_dest,OH_dest,CO_dest,DE_dest,FL_dest,IN_dest,UT_dest,KY_dest,NE_dest,TN_dest,OR_dest,LA_dest,NC_dest,OK_dest,WA_dest,KS_dest,WI_dest,NH_dest,AZ_dest,SC_dest,AL_dest,IA_dest,NM_dest,WV_dest,NV_dest,AR_dest,ID_dest,ME_dest,MS_dest,VT_dest,SD_dest,ND_dest,MT_dest,WY_dest,NY_is_neighbor,NJ_is_neighbor,PA_is_neighbor,IL_is_neighbor,MD_is_neighbor,MA_is_neighbor,VA_is_neighbor,CA_is_neighbor,RI_is_neighbor,MI_is_neighbor,TX_is_neighbor,MO_is_neighbor,MN_is_neighbor,CT_is_neighbor,GA_is_neighbor,OH_is_neighbor,CO_is_neighbor,DE_is_neighbor,FL_is_neighbor,IN_is_neighbor,UT_is_neighbor,KY_is_neighbor,NE_is_neighbor,TN_is_neighbor,OR_is_neighbor,LA_is_neighbor,NC_is_neighbor,OK_is_neighbor,WA_is_neighbor,KS_is_neighbor,WI_is_neighbor,NH_is_neighbor,AZ_is_neighbor,SC_is_neighbor,AL_is_neighbor,IA_is_neighbor,NM_is_neighbor,WV_is_neighbor,NV_is_neighbor,AR_is_neighbor,ID_is_neighbor,ME_is_neighbor,MS_is_neighbor,VT_is_neighbor,SD_is_neighbor,ND_is_neighbor,MT_is_neighbor,WY_is_neighbor,overall_vacc_rate,child_vacc_rate,smoking_rate
NY,10711.4,40.7056258,1,2.6250450637528897,0.22,0.09,0.13,0.26,0.14,0.16,43.6,66.5,48.1,23.3,-12,18.737000000000002,29.75600000000001,51.436000000000014,5.347,61.622797,14.718999999999994,33.42499999999999,24.046000000000003,24.675000000000008,200.16500000000005,0.9115382920370633,0.0618641444039248,0.004792960436781173,0.00021635723010370806,0.0007222590183651243,0.001984687892365313,0.0004950616321110898,0.00019866346543169806,0.00169205380750109,0.0001963851374594785,0.00014821701532131257,0.00014743876490730309,0.00020739358116866283,0.033303237153328516,0.00032061429120138797,0.000261344337938079,0.00023741369395823906,0.002078103735909321,0.0005704389747310161,0.00015284242177660576,0.00017113591918621794,0.0001219071813930465,0.0001560497190831285,0.000232268454429922,9.76227553944403e-05,0.00026404186552526465,0.0003676793299301147,8.903459047153945e-05,0.0001262539891204454,0.00011741540307831642,0.00015544261934177437,0.0010474982339134199,0.0001429908587539739,0.0002514396704778262,0.00012176404721934433,0.00011915879797331565,8.838473974336373e-05,0.0001678364851694069,0.00023291543096205181,9.945409987523654e-05,8.037857030764579e-05,0.0008574476365987861,0.00013143274839020157,0.012476407970709926,8.106315556756491e-05,0.0,0.00010511261705149002,0.00020935868820813803,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81.7,69.6,0.141
NJ,2789.6,40.1430058,1,2.333069529728179,0.23,0.08,0.11,0.27,0.14,0.16,50.6,72.2,54.8,33.0,-7,19.372,27.143,51.199000000000005,5.676,72.829584,11.590000000000002,36.24,22.909000000000002,25.672,200.31899999999996,0.028067919138830007,0.8230142447122315,0.019685682500892157,0.00012836468226974323,0.000792926087787899,0.0004465738666622681,0.0003154596211684904,7.172392644689868e-05,0.00047217896817969784,8.93395550627097e-05,9.910297885181404e-05,0.00011237405298144392,7.937517970182459e-05,0.0019025784694707503,0.00014193324224143867,0.00017050225961001702,0.00015449785611855254,0.016296297946174217,0.0002445042393322593,8.127947151995079e-05,6.69347675464066e-05,9.102710141824833e-05,6.515760200313084e-05,9.832802955513657e-05,5.246570543925803e-05,8.007284643748627e-05,0.000204604213546393,5.917867989425676e-05,6.70677845622154e-05,6.028492337155351e-05,6.857762618019457e-05,0.00036764985149680585,0.00013219614403403495,0.00018290452383855628,5.083962796271593e-05,1.5428274117757124e-05,2.4767152345667862e-05,0.0001370754573409304,8.109456181349658e-05,4.526876270183181e-05,4.082721031499469e-05,0.0003252127998337801,3.4037711762590665e-05,0.0005657292713758567,0.0,0.0,0.00011420890121940742,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.4,72.8,0.13699999999999998
PA,1957.6000000000001,40.99459279999999,1,1.6212567740263457,0.22,0.08,0.12,0.25,0.14,0.18,47.4,68.6,50.9,28.4,0,6.766999999999994,17.371000000000002,51.06700000000001,5.198999999999997,54.96070000000003,11.11,28.103999999999992,23.155000000000005,29.33100000000001,230.83500000000004,0.003141793762877293,0.028441539445311782,0.877457364482669,0.000198665194356755,0.012777922499009275,0.000453599310529048,0.0007314063799833621,7.851515151840518e-05,0.0003515215658480648,0.00021571000157836586,0.0001434448012514018,0.00018834759548747214,0.00015799620092667223,0.0005872812069733978,0.00022244809965840022,0.0029014855800336046,0.00016404212522240136,0.06959865647141104,0.0002477486941069532,0.00015870318063383181,0.00012482429623519067,0.0002286047711567148,5.803954464144429e-05,0.00020217125307570548,5.324877566969471e-05,0.00017955729201133284,0.00031356565786966426,0.00020339339080773834,5.769911399144031e-05,0.00010619960338128321,0.00011658196450633077,0.00036613063723442234,0.0001558193603052057,0.0002499262760725426,0.0001514728010082565,9.125660010077617e-05,0.00010003987025897214,0.011997340520260724,0.00011405079926281711,0.00020748182905006246,6.506836643952278e-05,0.00029886454058798776,0.00010143912119346328,0.0002940513726925357,7.983492593775332e-05,0.00013678446485308307,0.0001374549607596408,0.0002324236284344583,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82.5,69.7,0.187
IL,1761.899999999998,39.739318,0,4.102417090600058,0.24,0.09,0.12,0.26,0.13,0.15,51.6,73.4,53.8,28.3,-7,16.91800000000001,22.729000000000003,50.902,5.962999999999999,59.266824000000014,12.396999999999993,32.077999999999975,21.199000000000012,27.34000000000001,225.471,0.0001432544838498631,0.00018733164890295538,0.00020067107114344487,0.9005154227788623,0.00015016752252339634,0.00017334519106076412,0.0001969747872272349,0.00014057567470150017,0.00023086416351643174,0.0007840228903521375,0.0001939109650407084,0.0180359520161124,0.0004918998666082194,0.00021040279544735354,0.0002854148471255112,0.0003416979701996376,0.00029666769797796706,0.00020380117024191088,0.0003036490542414332,0.01566688803883894,0.00011577905737756817,0.001515428402345319,0.000490598415082397,0.0003536027216694335,9.214126378138349e-05,0.0001586015883982166,0.00020387011334402252,0.00015940923683227724,0.0001375558774280471,0.0002881058547175406,0.01149765446934457,0.00013672928361451456,0.00022324721601960695,0.00011436937719928637,0.00013096957656238755,0.018255587415123977,7.138767440810148e-05,0.00010793343097711055,0.0003358573861408283,0.00030350647720546323,0.00019010169802919402,9.560654069187518e-05,0.00018130979136904733,0.00014223137048715044,0.0001412464074283328,0.00034642152511704736,0.0001728293991904307,0.00021290714055064884,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.0,60.1,0.155
MD,1737.6,38.806352399999994,1,2.316046690148456,0.23,0.08,0.12,0.27,0.14,0.15,52.8,73.3,56.1,34.7,-12,9.407000000000002,40.312,51.53699999999999,5.266,75.29606199999999,11.088999999999999,37.12899999999999,21.545,28.940000000000005,225.486,0.0002151913536217324,0.0005207069148012931,0.0058078884278291495,6.75726651656754e-05,0.8452446604793722,0.0002209960277224015,0.02457472943463237,3.846571354730757e-05,0.00022706393037212833,6.687819467321756e-05,7.579866681041635e-05,9.734631929893285e-05,7.74897835093822e-05,0.0001404550575991642,0.00016742961375680983,0.0001026307449813219,6.104355447669965e-05,0.04559689242193747,0.0001836042275777592,7.634409564018148e-05,4.052267008214886e-05,7.351302620866131e-05,4.325588704409527e-05,8.66673337425082e-05,3.6804300830524285e-05,6.77200106234388e-05,0.000280740891677957,1.5461096548949963e-05,7.569290984959566e-05,4.486319878813284e-05,5.363122047425473e-05,0.00010938342689161165,2.5031222538988866e-05,0.00014312387089967406,6.464792197728076e-05,2.2650019449473223e-05,1.6025804458961556e-05,0.015275278819035572,4.9989798378182825e-05,4.1839310981996065e-05,0.0,0.0001400221777062109,5.8976233252013535e-05,8.31014748913688e-05,0.0,0.00011299586226993819,1.111768064967683e-05,0.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81.9,74.5,0.138
MA,1498.0,42.062939799999995,1,2.712286233688561,0.21,0.09,0.13,0.26,0.14,0.17,45.7,68.0,50.3,27.4,-12,11.179999999999998,17.804000000000002,51.486,5.008000000000001,69.63228300000002,10.580999999999998,39.81999999999999,20.328,24.139000000000003,199.67400000000004,0.0006706023118259983,0.0003325790779552165,0.00023381446892743477,8.846017873476537e-05,0.0002506256114087134,0.9815348426124938,0.0001949750431944711,6.461058793326539e-05,0.10546692039556627,5.4332209590798534e-05,5.841985390582457e-05,4.441530177275495e-05,8.95563191410135e-05,0.014414550024803468,0.0001164368707260675,6.371080875107398e-05,8.629609981396628e-05,0.0002249608545839672,0.00018445523210882647,6.786141834682798e-05,0.00012735696311532498,6.22210566656381e-05,0.00010567577467734668,5.5467093595205245e-05,3.941453493197991e-05,7.257291040752887e-05,9.878891294756648e-05,3.945245326283784e-05,8.758963438391324e-05,3.1544436647905904e-05,4.694929792336398e-05,0.09021322172172552,5.240912219100794e-05,8.323669229059594e-05,6.799538719293283e-05,5.4491351139312394e-05,2.233900015491611e-05,5.936338703741081e-05,9.294399550313992e-05,4.595465304579896e-05,6.251666579483561e-05,0.004925618864149128,1.887239464064433e-05,0.008501920123501577,0.0,0.0,9.50056346426929e-05,3.193607108259733e-05,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92.6,81.1,0.13699999999999998
VA,1274.1000000000008,38.0033855,1,3.1806022579109876,0.24,0.09,0.12,0.26,0.13,0.16,54.1,73.2,56.5,36.8,-1,8.757000000000001,29.781999999999993,50.80299999999998,4.579999999999991,69.54726299999996,12.12799999999999,35.464,21.448000000000015,27.333999999999985,182.72499999999997,0.00020440598362006764,0.000287082624062574,0.00046070110173850113,0.00012283104994360373,0.03405581174292706,0.00023825418330818683,0.914960385070711,7.271710956012295e-05,0.00029831830182781713,7.709710187744596e-05,0.00012542969313748855,0.00011521262489925157,5.147131605367723e-05,0.00020956342259317528,0.0003556072869249136,0.00019225928409507767,0.00015250946672191738,0.001733980448451668,0.00023503681392413614,9.315521973064569e-05,6.5487529329187e-05,0.0008065692530730865,6.461005912915496e-05,0.0036857253386132125,4.6984213826201214e-05,8.051401914513082e-05,0.004784865119050603,6.82420813195033e-05,0.00010305537627852611,0.0001005917035327666,6.066482315940289e-05,0.00019901706837223787,8.745283374559236e-05,0.0004920693809179126,0.0001433133545451046,0.00012506749869926518,6.118943520694413e-05,0.02044636949714894,6.183923206782615e-05,7.373321197646848e-05,6.570629160069457e-05,0.00013174129622896185,8.593679702436258e-05,0.00021094989780116695,0.0,0.00013529767719163652,2.7288852503752216e-05,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92.1,69.6,0.16399999999999998
CA,1244.2,37.2718745,1,2.80378626098125,0.24,0.09,0.14,0.26,0.12,0.14,57.1,73.4,60.9,46.2,-12,38.82600000000001,27.07199999999999,50.332,6.336,63.17477899999998,18.73,30.620000000000005,17.497999999999994,22.79,150.71699999999998,0.0003819259491977078,0.0003039163120028517,0.0002302718254588373,0.00040816383791538873,0.0002482007609873437,0.0003676139866812857,0.00033858166154732193,0.9012134442849505,0.00029356801039743787,0.0001985098607395656,0.0004657283247727104,0.00028235441841251364,0.00033824007692416464,0.0003273554131295261,0.0003579814429769522,0.00021366958309033656,0.0008907984496925553,0.00011470776248588426,0.00023402624604349376,0.00019001197137111836,0.0011002628546412025,0.00013435139272617412,0.0004785524718549274,0.0002518079987645966,0.001991869642820786,0.0003438941256089286,0.00022841003439469192,0.00035134009054338026,0.0012736930704553768,0.00035014324679175557,0.000218041683239593,0.0001899017827979369,0.002785818623448592,0.00017879673902421517,0.00014770690264064793,0.00023175237291779847,0.0005929547649815776,0.00015704314207169587,0.009833548783192763,0.0002901316154981039,0.0007508379146991992,0.00021379730359442952,0.00019074598868936947,0.0001166616859051908,0.00032179616301063646,0.0006229640301461066,0.0008014837050176114,0.0005198482681778343,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80.9,63.5,0.113
RI,1092.3000000000002,41.5827282,1,1.712955089794759,0.2,0.09,0.13,0.26,0.15,0.17,47.0,68.8,53.1,31.4,-10,14.331,15.181000000000001,51.537,5.994,55.10571399999999,14.697000000000001,31.304000000000002,22.904999999999998,27.139999999999997,226.705,9.190786589935382e-05,5.6529343961608274e-05,2.912840185291275e-05,1.8939051482421133e-05,4.139566076481168e-05,0.01695438150206739,3.92449766429897e-05,8.294421134764855e-06,0.8123359368097233,6.374169840261281e-06,0.0,4.174370467364188e-06,4.902030100350213e-06,0.005202712741148323,1.0735314322261542e-05,2.2103749974862403e-05,0.0,1.8932349148155657e-05,4.0475903008886085e-05,7.557294315896753e-06,0.0,5.0698638764594e-06,0.0,0.0,0.0,1.3896940290803402e-05,1.0172531375704828e-05,0.0,1.6209287178007716e-05,9.112837253839484e-06,9.671203692078722e-06,0.00030536206673908257,1.0481824438201588e-05,4.7563824166054825e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020401080730313522,0.0,0.00027966842511518346,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,78.0,0.149
MI,1057.2,44.9435598,0,1.879937148661829,0.23,0.09,0.12,0.25,0.14,0.17,42.6,66.2,47.3,21.7,-1,4.905999999999998,20.730000000000008,50.84899999999999,5.5740000000000025,50.63421300000002,10.811,26.420999999999992,22.770000000000003,31.469000000000005,235.49000000000004,0.00010016460848436034,0.00010043342196800826,0.00016784257500110806,0.0006039453083838738,0.00011448758060895615,8.201442079262585e-05,9.523780956037627e-05,5.266554778773025e-05,5.9853672022778596e-05,0.8493047096009163,0.00010649991066017577,0.00018400625020141337,0.00024057655415564888,0.00016060000609944273,0.00014998472798313483,0.0032659807511877083,0.00013183021699691164,6.459272062311929e-05,0.00021301707168277104,0.005427525393280054,9.407048411927414e-05,0.00027238995918068236,0.00010512823180337078,0.00022013502770597084,7.282553143061189e-05,0.0001102931769111381,9.815968420267751e-05,7.997118904629293e-05,9.324057853771411e-05,0.0001268787340726882,0.0022637650242149357,6.988385606964078e-05,0.0001429908587539739,9.772203874116719e-05,0.0001228101300992356,0.00017988711099001923,2.9623456727171363e-05,5.936338703741081e-05,9.368458510874262e-05,9.259519643556506e-05,3.6361734186792145e-05,6.699985922501488e-05,9.908007186338274e-05,0.00015981052863724767,7.492200741850697e-05,0.0005709264619954772,0.0001202730906646857,0.000152583450727965,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,56.7,0.193
